Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,LAL,31,34.7,26.1,9.5,18,52.7,0.7,2.2,32.4,6.4,8.3,77.7,2.5,9,11.6,3.5,2.2,1.3,2,1.9,53.1,23,0,-0.5,,,,
2023-24,LAL,76,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,3.1,9.5,12.6,3.5,2.1,1.2,2.3,2.3,53.6,64,2,2,,,,
2022-23,LAL,56,34,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2,2.6,52,40,0,3.7,,,,
2021-22,LAL,40,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,2.7,7.2,9.9,3.1,2.1,1.2,2.3,2.4,47.9,19,0,-2.3,,,,
2020-21,LAL,36,32.3,21.8,8.4,17,49.1,0.7,2.8,26,4.4,5.9,73.8,1.7,6.2,7.9,3.1,2.1,1.3,1.6,1.7,42.6,12,0,3.2,,,,
2019-20,LAL,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,2.3,7,9.3,3.2,2.5,1.5,2.3,2.5,50.9,29,0,3.9,,,,
2018-19,NOP,56,33,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12,3.9,2,1.6,2.4,2.4,56.1,37,0,2.4,,,,
2017-18,NOP,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50,1,3.9,,,,
2016-17,NOP,75,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49,0,0.7,,,,
2015-16,NOP,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,2.1,8.1,10.3,1.9,2,1.3,2,2.4,47.5,36,0,-3.3,,,,
2014-15,NOP,68,36.1,24.4,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,51.8,42,0,3.9,,,,
2013-14,NOP,67,35.2,20.8,7.8,15,51.9,0,0.1,22.2,5.2,6.6,79.1,3.1,7,10,1.6,1.6,1.3,2.8,3,46,36,0,-1.7,,,,
2012-13,NOH,64,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.4,1.2,1.8,2.5,32.2,20,0,-2.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,LAL,31,34.7,112.8,113.9,-1,17.7,1.62,13,7.6,25,16.7,8,54.7,60.3,29.5,99.22,18.1,,,,,,,,,,,
2023-24,LAL,76,35.5,116.5,114,2.6,15.1,1.67,13.8,9.3,25.2,17.6,8.3,56.7,62.1,26.1,102.06,16.8,,,,,,,,,,,
2022-23,LAL,56,34,114.3,109.5,4.8,12.8,1.21,10.4,10.2,24.8,17.7,8.6,57.3,62.7,27.7,102.39,18.6,,,,,,,,,,,
2021-22,LAL,40,35.1,105.9,108.9,-3,14.7,1.49,12.2,7.2,19.6,13.4,8.2,54.2,57.8,26.3,101.79,15.9,,,,,,,,,,,
2020-21,LAL,36,32.3,112.5,107.4,5.2,15.4,1.49,12.4,5.4,19.8,12.5,8.3,51.2,55.6,28.7,99.29,15.3,,,,,,,,,,,
2019-20,LAL,62,34.4,111.3,106.4,5,15.3,1.3,12,6.5,19.7,13.1,9.3,53.6,61,28.4,102.47,17.9,,,,,,,,,,,
2018-19,NOP,56,33,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17,7.3,54,59.7,28.8,103.73,19.7,,,,,,,,,,,
2017-18,NOP,75,36.4,109.2,104.3,5,10.4,1.07,8.5,7,21.3,14.6,7.9,55.2,61.2,29.1,102.71,18.8,,,,,,,,,,,
2016-17,NOP,75,36.1,105.2,104.1,1.1,11,0.87,7.4,6.2,24.1,15.5,8.5,51.8,58,32.1,98.95,19.2,,,,,,,,,,,
2015-16,NOP,61,35.5,103.7,107.8,-4.1,10,0.96,7.5,5.9,23.4,14.5,7.8,50.8,55.9,29,98.35,16.5,,,,,,,,,,,
2014-15,NOP,68,36.1,109.9,103.8,6.1,10.9,1.57,9.1,7.2,21.5,14.4,5.8,53.6,59.1,27.2,93.4,19.2,,,,,,,,,,,
2013-14,NOP,67,35.2,106.6,108.7,-2.1,7.8,0.96,7.4,9.1,20.8,15,7.7,52,58.2,25,93.84,16.4,,,,,,,,,,,
2012-13,NOH,64,28.8,104,107.8,-3.8,6,0.71,6.8,9.4,21.3,15.2,9.6,51.6,55.9,21.2,91.04,13.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,LAL,31,34.7,4.2,3.5,2.3,14.8,12,11.4,12.1,37,2,0.9,1.9,5.9,,,,,,,,,,,,,,
2023-24,LAL,76,35.5,3.6,4.5,1.9,15.7,12,10.6,11.6,36.4,2.3,1.1,2.3,5.4,,,,,,,,,,,,,,
2022-23,LAL,56,34,3.3,5.1,1.8,15.8,11.4,8.9,11.3,35.6,2,1,2.6,5.9,,,,,,,,,,,,,,
2021-22,LAL,40,35.1,3.7,3.4,2.2,14.3,13.4,9,11.6,36.6,2.3,0.5,2.4,5.1,,,,,,,,,,,,,,
2020-21,LAL,36,32.3,2.8,2.5,1.8,11.7,10.6,7.1,8.8,32.4,1.6,0.7,1.7,4.9,,,,,,,,,,,,,,
2019-20,LAL,62,34.4,4.1,3.4,3.2,12.6,12.8,8.3,12.6,33,2.3,0.7,2.5,6.5,,,,,,,,,,,,,,
