Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIN,32,36.1,24.8,8.8,19.9,44.3,4,9.7,41.5,3.1,3.8,81.1,0.7,5,5.7,3.9,3.1,1.3,0.6,1.9,40,1,0,2,,,,
2023-24,MIN,79,35.1,25.9,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,0.7,4.8,5.4,5.1,3.1,1.3,0.5,1.8,42.5,9,0,5.5,,,,
2022-23,MIN,79,36,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4,5.3,75.6,0.6,5.2,5.8,4.4,3.3,1.6,0.7,2.4,41.9,9,0,1.2,,,,
2021-22,MIN,72,34.2,21.3,7.6,17.3,44.1,3,8.4,35.7,3.1,3.9,78.6,0.9,3.9,4.8,3.8,2.6,1.5,0.6,2.3,36.4,4,0,2.6,,,,
2020-21,MIN,72,32.1,19.3,7,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1,0.5,1.8,32,3,0,-3.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MIN,32,36.1,110.6,108.1,2.5,19.3,1.29,13.8,1.8,13.5,7.7,10.8,54.5,57.4,29.6,97.37,13,,,,,,,,,,,
2023-24,MIN,79,35.1,115.8,108.5,7.3,24.1,1.68,16.8,2,13.1,7.8,10,52.2,57.5,31.4,98.18,14.5,,,,,,,,,,,
2022-23,MIN,79,36,113.8,111.9,1.9,19.2,1.35,15.1,1.7,13.9,7.9,11.2,52.8,56.4,29.2,101.77,12.5,,,,,,,,,,,
2021-22,MIN,72,34.2,114.6,110.6,4,17.3,1.45,15,2.3,11.3,6.7,10.4,52.7,56,26.2,101.18,11.1,,,,,,,,,,,
2020-21,MIN,72,32.1,110.6,115.6,-5,14.2,1.32,12.4,2.3,12.1,7,9.4,48.8,52.3,26.4,102.71,9.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,MIN,32,36.1,3.4,1.8,2.6,7.3,13.9,9.6,10.8,34.4,0.6,0.8,1.9,3.2,,,,,,,,,,,,,,
2023-24,MIN,79,35.1,4.1,1.7,3.9,10.7,12,9.1,9.7,33.7,0.5,0.7,1.8,4.3,,,,,,,,,,,,,,
2022-23,MIN,79,36,3.4,1.5,3.6,10.4,13.3,10.4,10.6,37.9,0.7,0.7,2.4,3.5,,,,,,,,,,,,,,
2021-22,MIN,72,34.2,4.3,1.7,3.5,8.3,11.4,9.9,10.4,33.4,0.6,0.6,2.3,2.8,,,,,,,,,,,,,,
2020-21,MIN,72,32.1,3,1.5,2.2,8.4,11.3,9.8,10.4,34.1,0.5,0.9,1.8,2.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,MIN,32,36.1,51.1,48.9,38.6,9.3,48.9,10.6,12.5,13.8,29.3,35.9,64.1,50.4,49.6,42.6,57.4,,,,,,,,,,,
2023-24,MIN,79,35.1,65.9,34.1,51.5,10.2,27.8,15.1,20.7,15.9,41.3,33.1,66.9,55.8,44.2,39.1,60.9,,,,,,,,,,,
2022-23,MIN,79,36,62.5,37.5,50.8,8.7,32.8,14.4,16.4,14,42,34.8,65.2,51.6,48.4,39.9,60.1,,,,,,,,,,,
2021-22,MIN,72,34.2,51.6,48.4,43.6,4.7,42.1,16.6,14.3,20,38.9,36.5,63.5,55.3,44.7,43.9,56.1,,,,,,,,,,,
2020-21,MIN,72,32.1,57.1,42.9,48,4.5,36.9,11.1,15.1,15.5,43.5,39.2,60.8,63.2,36.8,47.3,52.7,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
