Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DET,29,35.9,23.8,8.9,19.8,44.9,2.4,6.6,37.2,3.6,4.4,79.8,1,5.7,6.8,9.7,4.4,0.8,0.9,2.8,46.9,16,6,-1.5,,,,
2023-24,DET,62,33.5,22.7,8.5,18.8,44.9,1.9,5.4,35.5,3.8,4.4,86.9,0.5,3.8,4.3,7.5,3.4,0.9,0.4,2.5,39.4,14,0,-5.6,,,,
2022-23,DET,12,33.3,19.9,7.8,18.7,41.5,1.4,5.1,27.9,3,3.6,83.7,1,5.2,6.2,6,3.3,0.8,0.6,2.8,37.3,3,0,-5,,,,
2021-22,DET,64,32.6,17.4,6.7,16.1,41.6,1.8,5.7,31.4,2.2,2.6,84.5,0.9,4.6,5.5,5.6,3.7,1.2,0.7,3.1,34.4,10,2,-4.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DET,29,35.9,111.9,114.2,-2.3,42.6,2.17,27,2.9,16,9.4,12.4,51,54.6,30.6,100.27,14,,,,,,,,,,,
2023-24,DET,62,33.5,109.9,117.8,-7.9,35.9,2.19,23.8,1.6,11.5,6.4,10.9,50,54.6,29.8,100.77,12.6,,,,,,,,,,,
2022-23,DET,12,33.3,111.2,117.3,-6.1,30.6,1.85,20.3,2.7,14.8,8.6,11,45.3,49.2,28.7,102.37,10.9,,,,,,,,,,,
2021-22,DET,64,32.6,106.9,113.1,-6.2,28.3,1.52,21,2.6,14.3,8.3,13.8,47.1,50.4,27.3,98.71,10,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DET,29,35.9,3.2,1.8,2,10.8,14.8,9.8,12,33.7,0.9,1.3,2.8,3.6,,,,,,,,,,,,,,
2023-24,DET,62,33.5,2.4,1.1,1.9,9.2,14,9,9.5,37.1,0.4,1.5,2.5,3.1,,,,,,,,,,,,,,
2022-23,DET,12,33.3,2.5,1.4,1.2,8.2,12.5,10.8,10.1,40.3,0.6,1.9,2.8,3.1,,,,,,,,,,,,,,
2021-22,DET,64,32.6,2.5,1.3,1.2,8.1,11.4,8.4,6.7,33.2,0.7,1.2,3.1,2.4,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DET,29,35.9,66.8,33.2,54.2,8.7,30.9,8.4,14.9,13.6,45.5,22.5,77.5,59.2,40.8,32.6,67.4,,,,,,,,,,,
2023-24,DET,62,33.5,71.3,28.7,57.7,17.2,25.4,8.5,16.9,10.4,40.4,26.2,73.8,70.6,29.4,36.3,63.7,,,,,,,,,,,
2022-23,DET,12,33.3,72.8,27.2,63.6,22.6,21.3,5.9,15.1,12.6,41,15.8,84.2,58.8,41.2,23.7,76.3,,,,,,,,,,,
2021-22,DET,64,32.6,64.8,35.2,56.6,10.2,30.7,6.6,12.7,14.5,46.3,23.5,76.5,71.1,28.9,36.1,63.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,DET,29,1040,30.6,28.2,30,24.2,24.3,33.1,31.3,12.7,22.4,20,48.6,37.6,17.2,23.6,35.9,18.5,28.6,28.3,,,,,,,,
2023-24,DET,62,2074,29.8,28.8,30.5,27,26.3,33.8,30.2,6.7,16.3,13.9,41.2,31.1,20.3,10.6,33.3,16.2,25.6,29.4,,,,,,,,
2022-23,DET,12,400,28.7,28.4,30,17.5,21.5,18.8,17.8,12.4,22.4,19.8,41.4,33.9,20,22.6,31.1,19,19.6,25.3,,,,,,,,
2021-22,DET,64,2088,27.3,25.4,26.9,23.3,25.1,19.8,19.2,12.1,21.1,18.8,34.5,37.5,24.8,22.2,34.1,20.9,19.4,24.3,,,,,,,,
