Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BKN,18,32.9,24.7,7.9,17.5,45.4,2.9,7.4,39.1,5.9,6.8,87,0.4,3,3.4,3.4,2.8,0.7,0.1,1.9,33.3,0,0,-2.8,,,,
2023-24,BKN,66,31.4,22.5,8,18,44.2,2.2,6,36.4,4.3,5.1,85.6,0.4,2.8,3.2,2.9,1.9,0.7,0.2,2.1,31.6,0,0,-3,,,,
2022-23,BKN,57,16.6,10.6,3.5,8,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1,15,0,0,-0.1,,,,
2021-22,BKN,67,17.6,8.5,3.3,7.5,43.3,0.7,2.6,27,1.3,1.6,82.9,0.2,2.2,2.4,1.2,0.8,0.5,0.1,1,14.2,0,0,-2.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BKN,18,32.9,115.7,119.3,-3.6,18.8,1.24,13,1.2,9.5,5.4,10.5,53.7,60.3,31.4,96.03,12.2,,,,,,,,,,,
2023-24,BKN,66,31.4,111.5,116.7,-5.2,15.1,1.55,11.7,1.3,8.9,5,7.6,50.3,55.4,29.6,99.74,10.5,,,,,,,,,,,
2022-23,BKN,57,16.6,112.1,113.7,-1.6,13.3,1.24,11.6,0.9,8.9,5,9.4,49.7,56.7,26.8,100.71,10.2,,,,,,,,,,,
2021-22,BKN,67,17.6,106.3,112.7,-6.4,10.2,1.42,11.5,1.3,11.8,6.5,8.1,48,51.9,21.2,100.69,8.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BKN,18,32.9,3.7,1.3,1.4,6.8,11.7,10.4,11,35.2,0.1,1.3,1.9,4.9,,,,,,,,,,,,,,
2023-24,BKN,66,31.4,2.2,1.9,2.2,8,10.2,9,11.2,33,0.2,1.2,2.1,4.1,,,,,,,,,,,,,,
2022-23,BKN,57,16.6,2,0.8,0.9,3.6,5.8,5.3,4.4,17.9,0.1,0.2,1,2.2,,,,,,,,,,,,,,
2021-22,BKN,67,17.6,1.1,0.8,1.1,3,6.1,5,4.9,17.8,0.1,0.4,1,1.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,BKN,18,32.9,57.8,42.2,40.9,13.5,35.1,5.8,24,15.1,27.4,51.6,48.4,51.9,48.1,51.7,48.3,,,,,,,,,,,
2023-24,BKN,66,31.4,66.7,33.3,51.6,15.9,29.1,9.7,19.3,9.9,35.6,43.2,56.8,67.4,32.6,49.8,50.2,,,,,,,,,,,
2022-23,BKN,57,16.6,70.8,29.2,49.7,15.6,25.3,8.6,25,18.5,34.1,32.7,67.3,45.1,54.9,35.8,64.2,,,,,,,,,,,
2021-22,BKN,67,17.6,65.4,34.6,60,25.3,24.7,13,15.3,13.5,34.7,41.5,58.5,70.2,29.8,47.7,52.3,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,BKN,18,592,31.4,30.3,31,28,27.7,45.1,43.6,6.9,15,13.3,20.5,28.9,15.2,2.3,40,13.2,38.2,32.6,,,,,,,,
2023-24,BKN,66,2075,29.6,29.3,30.7,26.7,26.7,41.5,37.4,5.9,13.5,11.6,17.2,22.5,16,7.2,36.3,17.5,34.1,30.8,,,,,,,,
2022-23,BKN,57,948,26.8,25.6,27.5,21.2,22.1,35.2,33.4,4.5,13.8,11.8,17.5,22.7,14.6,7.3,20.3,13.2,30.2,26.9,,,,,,,,
2021-22,BKN,67,1176,21.2,22.2,23.1,21.5,24,19.3,18.4,5.5,17.9,14.6,15,15.4,20.9,6.5,22.3,14.2,16.4,21.7,,,,,,,,
