Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIL,24,36.3,25.2,7.7,17.5,44,3.4,9.3,36.8,6.3,6.9,92.1,0.6,3.9,4.5,7.6,2.9,1.1,0.2,1.9,43,7,0,-0.7,,,,
2023-24,MIL,73,35.3,24.3,7.4,17.5,42.4,3,8.5,35.4,6.5,7,92,0.5,3.9,4.4,7,2.6,1,0.2,1.8,41.1,12,0,5.3,,,,
2022-23,POR,58,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16,2,1.8,,,,
2021-22,POR,29,36.4,24,7.7,19,40.2,3.2,9.8,32.4,5.5,6.2,87.8,0.4,3.7,4.1,7.3,2.9,0.6,0.4,1.3,39.9,8,0,-1,,,,
2020-21,POR,67,35.8,28.8,9,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,3,0.9,0.3,1.5,45.7,16,0,3,,,,
2019-20,POR,66,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,0.5,3.8,4.3,8,2.9,1.1,0.3,1.7,48.4,19,1,1.3,,,,
2018-19,POR,80,35.5,25.8,8.5,19.2,44.4,3,8,36.9,5.9,6.4,91.2,0.9,3.8,4.6,6.9,2.7,1.1,0.4,1.9,43.7,13,0,6.2,,,,
2017-18,POR,73,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,0.8,3.6,4.5,6.6,2.8,1.1,0.4,1.6,43.6,11,0,4.7,,,,
2016-17,POR,75,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,42.6,11,0,1.1,,,,
2015-16,POR,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3,,,,
2014-15,POR,82,35.7,21,7.2,16.6,43.4,2.4,7,34.3,4.2,4.9,86.4,0.6,4,4.6,6.2,2.7,1.2,0.3,2,37.4,6,0,3.7,,,,
2013-14,POR,82,35.8,20.7,6.7,15.9,42.4,2.7,6.8,39.4,4.5,5.2,87.1,0.4,3.1,3.5,5.6,2.4,0.8,0.3,2.4,34,6,0,4.4,,,,
2012-13,POR,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,3,0.9,0.2,2.1,33,7,0,-0.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MIL,24,36.3,113.5,114.9,-1.4,33.2,2.61,24.8,1.8,10.3,6.2,9.5,53.8,61.3,27.7,100.35,14.6,,,,,,,,,,,
2023-24,MIL,73,35.3,119.4,112.4,6.9,28.4,2.63,23.2,1.4,10.2,6,8.8,51,59,27.4,102.06,13.2,,,,,,,,,,,
2022-23,POR,58,36.3,119.5,117.4,2.1,33.8,2.23,20.8,2.2,11.2,6.8,9.3,56.4,64.5,33.1,99.78,17.3,,,,,,,,,,,
2021-22,POR,29,36.4,113,114.8,-1.8,32.1,2.55,23,1.2,10.4,5.7,9,48.6,55,28.8,99.37,12.6,,,,,,,,,,,
2020-21,POR,67,35.8,119.6,115.6,4,33.4,2.49,22.5,1.2,10.4,5.7,9,55.4,62.3,30.6,100.4,15.8,,,,,,,,,,,
2019-20,POR,66,37.5,115.7,114.3,1.4,33.5,2.73,23.2,1.3,9.2,5.3,8.5,56.3,62.7,29.4,102.12,16.8,,,,,,,,,,,
2018-19,POR,80,35.5,116,107.9,8.2,29.9,2.6,22,2.3,10,6.2,8.5,52.2,58.8,28.1,101.18,15.5,,,,,,,,,,,
2017-18,POR,73,36.6,110.7,104.5,6.1,30.1,2.33,20.8,2.2,9.4,5.8,8.9,51.9,59.4,29.5,98.61,16.5,,,,,,,,,,,
2016-17,POR,75,35.9,111.8,110.4,1.4,27.7,2.23,18.8,1.7,11.8,6.7,8.4,51.6,58.6,30.4,98.21,15.9,,,,,,,,,,,
2015-16,POR,75,35.7,109.4,107.8,1.6,33,2.12,21.2,1.6,9.3,5.4,10,49.7,56,30.4,98.54,14.3,,,,,,,,,,,
2014-15,POR,82,35.7,108.9,103.6,5.3,28.5,2.28,22.5,1.6,10.7,6.3,9.9,50.6,56,26.2,95.53,13.7,,,,,,,,,,,
2013-14,POR,82,35.8,111.5,105.5,6,24.9,2.37,21.5,1.2,8.2,4.7,9.1,50.8,56.8,24.4,97.16,11.7,,,,,,,,,,,
2012-13,POR,82,38.6,106.3,107.8,-1.5,28,2.19,24.2,1.4,7,4.2,11.1,50.1,54.6,23.7,93.14,10.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
