Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,SAC,34,37.2,26.8,9.9,20.2,49.2,2.1,6.3,32.9,4.8,6,80.4,1.1,3.9,5,6.2,3.4,1.6,0.4,2.8,44.5,5,0,0.6,,,,
2023-24,SAC,74,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.6,2,0.4,2.6,45.3,6,0,3.1,,,,
2022-23,SAC,73,33.4,25,9.3,18.2,51.2,1.6,5,32.4,4.7,6,78,0.5,3.6,4.2,6.1,2.5,1.1,0.3,2.4,41.1,11,0,2.4,,,,
2021-22,SAC,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75,0.4,3.5,3.9,5.6,2.8,1.2,0.4,2.9,38.1,5,0,-3.3,,,,
2020-21,SAC,58,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,3,1.5,0.5,2.9,43.1,11,0,-3.4,,,,
2019-20,SAC,51,32,21.1,7.7,16,48,1.1,3.6,29.2,4.7,6.7,70.5,0.7,3.2,3.8,6.8,3.1,1.5,0.5,2.8,38.7,9,0,-2.4,,,,
2018-19,SAC,81,31.4,17.3,6.2,13.6,45.8,1.1,2.9,37.1,3.7,5.1,72.7,0.5,3.2,3.8,7.3,2.8,1.6,0.6,2.5,36.5,16,1,0.8,,,,
2017-18,SAC,73,27.7,11.6,4.5,10.9,41.2,0.6,2.1,30.7,1.9,2.7,72.3,0.5,2.3,2.8,4.4,2.4,1,0.3,2.2,22.8,3,0,-5.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,SAC,34,37.2,112.7,111.5,1.2,26.9,1.85,19.1,2.8,10.3,6.6,10.3,54.3,58.6,29.5,101.43,13.6,,,,,,,,,,,
2023-24,SAC,74,35.9,116.6,112.3,4.3,24.4,2.15,17.8,2.4,10.4,6.2,8.3,53.4,56.7,30,101.7,12.8,,,,,,,,,,,
2022-23,SAC,73,33.4,119.9,116.8,3.1,28.1,2.47,20.8,1.7,11.1,6.4,8.4,55.7,59.9,28.8,103.08,13.7,,,,,,,,,,,
2021-22,SAC,59,35.3,112.1,116.5,-4.4,25.4,1.96,19,1.2,9.6,5.4,9.7,50.6,54.9,28.4,101.88,11,,,,,,,,,,,
2020-21,SAC,58,35.1,113.5,118,-4.5,32.6,2.4,22.2,1.6,8.5,5,9.3,52.3,56.5,30.4,101.86,12.4,,,,,,,,,,,
2019-20,SAC,51,32,110.7,114.6,-4,33.6,2.2,23.7,2.1,9.9,5.9,10.7,51.3,55.8,29,102.19,12.4,,,,,,,,,,,
2018-19,SAC,81,31.4,110,109.1,0.9,32.2,2.6,28.1,1.5,9.5,5.4,10.8,49.7,54.4,23.8,105.57,11.9,,,,,,,,,,,
2017-18,SAC,73,27.7,101.6,111.8,-10.2,24,1.85,23.3,1.6,8.7,5,12.6,44.1,47.8,22.7,98.06,7.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,SAC,34,37.2,4.2,2.1,3.1,13,12.7,10.2,9.2,33.9,0.4,1,2.8,4.8,,,,,,,,,,,,,,
2023-24,SAC,74,35.9,4.1,2.3,3.7,11.5,11.6,7.8,9,36.2,0.4,0.9,2.6,4.5,,,,,,,,,,,,,,
2022-23,SAC,73,33.4,2.8,1.6,3.3,12.2,11.1,8.4,8.6,37.6,0.3,0.7,2.4,4.7,,,,,,,,,,,,,,
2021-22,SAC,59,35.3,2.6,1.3,2.8,11.7,12.6,10.6,10.1,38.6,0.4,0.8,2.9,4.8,,,,,,,,,,,,,,
2020-21,SAC,58,35.1,3.8,1.4,3.4,12.4,11.9,10.2,8.9,39.4,0.5,1.1,2.9,5.5,,,,,,,,,,,,,,
2019-20,SAC,51,32,3.3,1.2,3.5,11.6,10.6,8,8.9,31.8,0.5,0.9,2.8,5.5,,,,,,,,,,,,,,
2018-19,SAC,81,31.4,4,0.8,4.3,8.3,10.6,9.4,9.8,34.4,0.6,1,2.5,4.6,,,,,,,,,,,,,,
2017-18,SAC,73,27.7,1.9,0.6,2.2,5.4,9.5,7,7.7,25.2,0.3,0.9,2.2,2.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,SAC,34,37.2,69,31,58.9,10.3,23.1,11.8,18,15.8,48.6,28.4,71.6,58.6,41.4,34.6,65.4,,,,,,,,,,,
2023-24,SAC,74,35.9,62.6,37.4,51.5,8.3,32.7,13.9,15.8,15.3,43.1,19.8,80.2,62.6,37.4,32.5,67.5,,,,,,,,,,,
2022-23,SAC,73,33.4,72.4,27.6,61.7,13,19.6,13.3,18.7,11.2,48.6,16,84,61.3,38.7,23.9,76.1,,,,,,,,,,,
2021-22,SAC,59,35.3,77.2,22.8,64.7,14.3,16.2,11.9,19.1,11.3,50.3,21.5,78.5,55.4,44.6,26.4,73.6,,,,,,,,,,,
2020-21,SAC,58,35.1,71.2,28.8,58.3,9.2,21.1,13.5,20.6,15.1,49.1,16,84,52.4,47.6,23.1,76.9,,,,,,,,,,,
2019-20,SAC,51,32,77.3,22.7,62.6,7.8,15,16.8,22.4,15.7,54.8,14.5,85.5,61.1,38.9,21,79,,,,,,,,,,,
2018-19,SAC,81,31.4,78.9,21.1,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8,,,,,,,,,,,
2017-18,SAC,73,27.7,80.8,19.2,66.6,20.1,16.7,18.8,16.7,16.4,46.4,21.7,78.3,61.7,38.3,27.4,72.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,SAC,34,1265,29.5,30.1,29.1,23.9,23.8,35,34.8,13.5,15.4,14.9,32,33.7,27,9.9,28.2,18.4,33,30.3,,,,,,,,
2023-24,SAC,74,2659,30,29.6,30.4,26.3,26.5,34.9,35.5,11.1,14.8,13.9,27.4,27.9,35,13.2,26,17.9,31.9,29.9,,,,,,,,
2022-23,SAC,73,2435,28.8,30,29.4,17.7,20.2,32.3,32.8,7.8,15.9,14,33.8,28.2,23.4,13.5,25.6,17.3,31.9,29.1,,,,,,,,
2021-22,SAC,59,2083,28.4,28.4,28.5,15.7,18.4,30.5,31.8,6,14,12.3,32.3,28,24.1,13.8,23.9,20.1,30.7,27.6,,,,,,,,
