Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ORL,25,33.2,24.4,8.8,18.9,46.5,2,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,2.4,1.7,0.5,2.3,43.8,2,0,5.8,,,,
2023-24,ORL,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85,1,4.3,5.3,3.7,1.9,1.1,0.4,2.3,34.1,0,0,2.8,,,,
2022-23,ORL,80,32.6,18.6,6.8,14,48.5,1.6,4.5,36.1,3.4,4,84.2,0.9,3.2,4.1,3.5,2.1,1,0.2,2.3,30.2,2,0,0.6,,,,
2021-22,ORL,79,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,1.1,3.4,4.5,2.9,1.5,0.9,0.4,2.1,27.3,2,0,-3.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ORL,25,33.2,113.2,104.6,8.6,30.1,2.33,19.3,2.8,14.9,8.6,8.3,51.9,57.3,31.1,97.25,17,,,,,,,,,,,
2023-24,ORL,72,32.5,112.5,108.2,4.3,18.3,1.96,16.5,3.1,13.7,8.4,8.4,52.5,57.5,25,98.46,13.1,,,,,,,,,,,
2022-23,ORL,80,32.6,111.3,110.1,1.2,16.7,1.69,16.6,2.7,9.8,6.3,9.8,54.3,58.9,23,101.14,11,,,,,,,,,,,
2021-22,ORL,79,30.7,105.9,110.8,-4.9,15.1,1.94,16.2,3.3,10.6,6.9,8.4,51.7,55.9,20.8,100.13,10.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ORL,25,33.2,4.3,2,3.6,12.3,10.2,7.3,9,29.4,0.5,1.2,2.3,4.4,,,,,,,,,,,,,,
2023-24,ORL,72,32.5,3.6,2.1,2.7,11.6,10.1,7.5,9.8,31.1,0.4,1.1,2.3,3.8,,,,,,,,,,,,,,
2022-23,ORL,80,32.6,2.7,1.5,2.5,9.5,11.6,8.4,9.6,31.6,0.2,1.1,2.3,3.6,,,,,,,,,,,,,,
2021-22,ORL,79,30.7,2.1,1.6,1.9,8.8,10.3,8.3,7.7,27.1,0.4,1.1,2.1,2.4,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ORL,25,33.2,66.4,33.6,55.4,4.9,25.1,14.6,19.5,17.5,50.5,51.5,48.5,60.8,39.2,53.6,46.4,,,,,,,,,,,
2023-24,ORL,72,32.5,69.5,30.5,61.1,2.3,19.8,13.7,19.1,18.4,58.8,41.9,58.1,78.7,21.3,48.5,51.5,,,,,,,,,,,
2022-23,ORL,80,32.6,67.8,32.2,55.5,4.4,26.3,13.4,18.2,14.7,51,46.4,53.6,80,20,54.4,45.6,,,,,,,,,,,
2021-22,ORL,79,30.7,72.2,27.8,60.2,2,24.1,12.8,15.7,13.6,58.1,53.1,46.9,83.3,16.7,59.4,40.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,ORL,25,829,31.1,31.8,31.9,26,25.2,37.1,34.3,13.1,21.6,19.5,32.2,26.3,24.3,10.3,50.8,17,29.9,32.1,,,,,,,,
2023-24,ORL,72,2337,25,26.4,26.5,19.3,23,29.7,26.4,14.3,19.6,18.3,22.8,19.9,19,11.3,31.8,17.7,26,26.3,,,,,,,,
2022-23,ORL,80,2609,23,24.2,23.9,23.3,22.1,25.1,23.5,13.9,14.1,14.1,21.9,21.3,19.3,6.8,30.7,16.6,24.8,24.3,,,,,,,,
2021-22,ORL,79,2429,20.8,22.9,21.8,16.2,15.4,23.7,21.6,16.9,15,15.4,18.9,16.6,20.6,14.5,31.7,16.2,20.2,22.3,,,,,,,,
