Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIL,25,35,32.6,12.7,20.8,61,0.2,0.7,22.2,7,11.4,61.4,2,9.6,11.6,6,3.4,0.8,1.4,2.4,58.7,21,3,0.9,,,,
2023-24,MIL,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7,10.7,65.7,2.7,8.8,11.5,6.5,3.4,1.2,1.1,2.9,57.4,57,10,4.6,,,,
2022-23,MIL,63,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46,6,5.4,,,,
2021-22,MIL,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46,4,5.9,,,,
2020-21,MIL,61,33,28.1,10.3,18,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7,,,,
2019-20,MIL,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10,63.3,2.2,11.4,13.6,5.6,3.7,1,1,3.1,56.6,56,4,10.8,,,,
2018-19,MIL,72,32.8,27.7,10,17.3,57.8,0.7,2.8,25.6,6.9,9.5,72.9,2.2,10.3,12.5,5.9,3.7,1.3,1.5,3.2,56.2,54,5,9.1,,,,
2017-18,MIL,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76,2.1,8,10,4.8,3,1.5,1.4,3.1,51.7,42,1,2,,,,
2016-17,MIL,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,1.8,7,8.8,5.4,2.9,1.6,1.9,3.1,49.2,32,3,0.6,,,,
2015-16,MIL,80,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1,,,,
2014-15,MIL,81,31.4,12.7,4.7,9.6,49.1,0.1,0.5,15.9,3.2,4.3,74.1,1.2,5.5,6.7,2.6,2.1,0.9,1,3.1,28.3,10,0,0.1,,,,
2013-14,MIL,77,24.6,6.8,2.2,5.4,41.4,0.5,1.5,34.7,1.8,2.6,68.3,1,3.4,4.4,1.9,1.6,0.8,0.8,2.2,18.2,2,0,-2.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MIL,25,35,114.1,112.1,2.1,33.9,1.77,17,5.9,26,16.4,9.6,61.4,63,36.1,100.94,21.5,,,,,,,,,,,
2023-24,MIL,73,35.2,119.8,113.2,6.6,31.4,1.9,19.6,7.7,23.7,15.9,10.3,62.4,64.9,32,102.1,19.7,,,,,,,,,,,
2022-23,MIL,63,32.1,116.4,109.2,7.2,31.4,1.46,16.2,6.5,26.8,17.1,11.1,57.2,60.5,37.3,103.63,20.4,,,,,,,,,,,
2021-22,MIL,67,32.9,115.9,107.9,8,30.4,1.77,17.8,6,26.7,16.8,10,58.2,63.3,34,103.12,21,,,,,,,,,,,
2020-21,MIL,61,33,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16,10.8,60,63.3,32,104.17,19.6,,,,,,,,,,,
2019-20,MIL,63,30.4,112.8,97.4,15.4,32.8,1.54,17,6.8,30.7,19.6,11,58.9,61.3,36.3,107.47,23.9,,,,,,,,,,,
2018-19,MIL,72,32.8,114.3,101.8,12.5,29.4,1.58,19,6.6,27.3,17.6,12,59.9,64.4,31.4,105.27,21.8,,,,,,,,,,,
2017-18,MIL,75,36.7,109.4,106.5,2.8,23.7,1.62,15.9,6,21.8,14.1,9.8,54.5,59.8,30.7,97.61,18.6,,,,,,,,,,,
2016-17,MIL,80,35.6,108.6,107.5,1.1,26.9,1.85,19.7,5.2,19.9,12.7,10.6,54.1,59.9,28,95.24,17.6,,,,,,,,,,,
2015-16,MIL,80,35.3,104.8,107.9,-3.1,19.5,1.66,19.7,4.2,18,11.2,11.9,52,56.6,22.1,95.64,12.8,,,,,,,,,,,
2014-15,MIL,81,31.4,101.6,101.1,0.6,13.3,1.2,15.8,4.1,17.7,11,13.2,49.6,55.2,19.3,94.98,11.1,,,,,,,,,,,
2013-14,MIL,77,24.6,103.8,108.3,-4.5,12,1.23,19.1,4.2,14,9.1,15.6,46.3,51.8,14.8,94.24,7.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,MIL,25,35,5.6,2.9,6.1,21,12.3,9.2,12,34.2,1.4,1.4,2.4,8.5,,,,,,,,,,,,,,
2023-24,MIL,73,35.2,3.9,3.7,5.5,20.3,10.6,9.5,8.9,37,1.1,1.2,2.9,8.3,,,,,,,,,,,,,,
2022-23,MIL,63,32.1,4,3.6,5.4,18.8,10,8.4,8.7,32.1,0.8,1.3,3.1,9,,,,,,,,,,,,,,
2021-22,MIL,67,32.9,4,3.2,4.3,15.9,10.3,8.1,6.6,28.3,1.4,0.9,3.2,8.8,,,,,,,,,,,,,,
2020-21,MIL,61,33,4.1,2.2,4.7,16.7,10.7,8.1,7,29.1,1.2,0.9,2.8,7.7,,,,,,,,,,,,,,
2019-20,MIL,63,30.4,4.7,3.4,6,17.5,9.2,6.6,7.7,22.9,1,1.1,3.1,8.2,,,,,,,,,,,,,,
2018-19,MIL,72,32.8,3.9,2.9,4.7,17.5,9.5,7.8,6.3,28,1.5,1.4,3.2,7.7,,,,,,,,,,,,,,
2017-18,MIL,75,36.7,4.2,3,4.7,15.7,11.3,9.5,7,34.4,1.4,1.1,3.1,6.8,,,,,,,,,,,,,,
2016-17,MIL,80,35.6,4.7,2.4,5.4,13.1,11.4,9.4,7.7,31.3,1.9,0.9,3.1,5.9,,,,,,,,,,,,,,
2015-16,MIL,80,35.3,3.9,2.1,4,10.5,12.5,10.5,9.3,32.1,1.4,0.8,3.2,4.1,,,,,,,,,,,,,,
2014-15,MIL,81,31.4,2.7,1.7,3.1,7.3,11.1,8.6,6.5,26.1,1,0.8,3.1,3.5,,,,,,,,,,,,,,
2013-14,MIL,77,24.6,1.5,1.1,1.7,3.2,8.6,6.8,6.3,20.8,0.8,0.4,2.2,2.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,MIL,25,35,96.5,3.5,77.1,12.5,1.5,18.8,21.4,17.1,64.5,42,58,25,75,41.8,58.2,,,,,,,,,,,
2023-24,MIL,73,35.2,90.9,9.1,72.3,5.5,4.6,18,23.1,12.7,66.8,50.9,49.1,50,50,50.9,49.1,,,,,,,,,,,
2022-23,MIL,63,32.1,86.6,13.4,67.4,7,7.2,17.5,25.4,12.9,60.3,41.5,58.5,61.7,38.3,42.9,57.1,,,,,,,,,,,
2021-22,MIL,67,32.9,80.6,19.4,61.7,8.5,10.6,14.4,27.7,13.2,53.2,43.2,56.8,42.3,57.7,43.1,56.9,,,,,,,,,,,
2020-21,MIL,61,33,79.9,20.1,65.1,5.9,11.7,16.6,23.2,14.7,59.2,42.8,57.2,29.9,70.1,41.4,58.6,,,,,,,,,,,
2019-20,MIL,63,30.4,76.3,23.7,64.2,4.8,14.4,20.5,21.4,16,59.3,43.8,56.2,55.1,44.9,45.3,54.7,,,,,,,,,,,
2018-19,MIL,72,32.8,83.7,16.3,67.1,4,7.8,16.9,25.1,14.1,63.1,47.2,52.8,67.3,32.7,48.7,51.3,,,,,,,,,,,
2017-18,MIL,75,36.7,90,10,69.4,11.1,6.4,17.6,24.2,15.6,58.3,42.9,57.1,90.7,9.3,45.7,54.3,,,,,,,,,,,
2016-17,MIL,80,35.6,85.7,14.3,66.3,9.3,8,23.4,25.7,20.6,57,42,58,71.4,28.6,44.2,55.8,,,,,,,,,,,
2015-16,MIL,80,35.3,89.2,10.8,71.9,9.9,6.2,23.6,21.9,23.2,61.9,48.5,51.5,82.1,17.9,50.3,49.7,,,,,,,,,,,
2014-15,MIL,81,31.4,94.4,5.6,73,15.5,2,24.1,25,20.9,57.5,51.9,48.1,85.7,14.3,52.5,47.5,,,,,,,,,,,
2013-14,MIL,77,24.6,71.8,28.2,50.3,3.8,23.4,24.6,26.3,21.3,46.5,62.1,37.9,70.7,29.3,64.2,35.8,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,MIL,25,875,36.1,42,34,1.6,2.8,52.4,59.7,34.2,38.2,37.5,32.6,34.3,13.3,36.4,44.2,17.2,54.5,39,,,,,,,,
2023-24,MIL,73,2567,32,35.6,29,4.5,6.1,48.2,54.6,38.4,34.3,35.2,32.3,37.4,23.9,28.5,40,20.7,54.3,34,,,,,,,,
2022-23,MIL,63,2024,37.3,38.2,33.8,7.9,10.5,61.9,67.7,29,37.7,35.7,32.3,41.6,18.7,25.1,51.6,24.5,62,38.4,,,,,,,,
2021-22,MIL,67,2204,34,35,30.8,11,13.9,59.9,63.1,31.8,36.6,35.7,33,36.3,20.2,46.7,33.7,24.7,58.1,36.4,,,,,,,,
2020-21,MIL,61,2013,32,33.1,29,11.5,14.3,54,58.2,24.3,35.7,33.4,32.7,35.9,21.8,34.6,34.6,23.9,55.1,33.6,,,,,,,,
2019-20,MIL,63,1917,36.3,38.8,34,16.2,18.7,51.3,57.7,36.9,40.9,40.2,33.9,39.9,20.7,25,40.1,25.1,54.1,38.3,,,,,,,,
2018-19,MIL,72,2358,31.4,33.3,28.1,8.3,11.1,52,55,37.3,37.4,37.4,33,40.2,24.2,32.9,40.7,24.3,51.2,33.7,,,,,,,,
2017-18,MIL,75,2756,30.7,32.7,29.7,8.5,10.1,44.9,46,32.4,32.4,32.4,27.3,28.5,21.7,32,34.3,19.1,43.4,32.9,,,,,,,,
2016-17,MIL,80,2845,28,28.9,26.1,9.4,12.8,44.6,44.4,26.8,30.1,29.4,30.9,29.2,26.6,44.5,24.8,20.4,41,29.9,,,,,,,,
