Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NYK,33,34.9,25.2,8.6,17.8,48.3,2.5,6.2,40.3,5.6,6.8,82.5,0.4,2.5,3,7.7,2.4,0.8,0.1,2.2,40.5,7,0,6.3,,,,
2023-24,NYK,77,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,0.6,3.1,3.6,6.7,2.4,0.9,0.2,1.9,44,9,0,6.6,,,,
2022-23,NYK,68,35,24,8.6,17.6,49.1,2,4.7,41.6,4.8,5.8,82.9,0.6,3,3.5,6.2,2.1,0.9,0.2,2.2,38.8,5,0,2.2,,,,
2021-22,DAL,79,31.9,16.3,6.4,12.8,50.2,1.2,3.2,37.3,2.3,2.7,84,0.5,3.4,3.9,4.8,1.6,0.8,0,1.9,29.2,7,0,2.9,,,,
2020-21,DAL,68,25,12.6,4.8,9.2,52.3,1.2,2.9,40.5,1.8,2.2,79.5,0.4,3,3.4,3.5,1.2,0.5,0,1.6,22.4,1,0,2.4,,,,
2019-20,DAL,57,17.9,8.2,3.2,6.8,46.6,0.8,2.1,35.8,1.1,1.3,81.3,0.4,2,2.4,3.3,1.2,0.4,0.1,1.3,16.2,2,0,3,,,,
2018-19,DAL,73,21.8,9.3,3.6,7.7,46.7,0.9,2.5,34.8,1.2,1.6,72.5,0.3,2,2.3,3.2,1.2,0.5,0.1,1.7,17.3,3,0,-1.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NYK,33,34.9,120.8,112.6,8.2,33.3,3.2,25.1,1.3,7.3,4.4,7.8,55.4,60.9,28.6,97.54,14,,,,,,,,,,,
2023-24,NYK,77,35.4,121.2,112.6,8.6,31.5,2.79,20.5,1.5,8.8,5.1,7.4,54.3,59.2,31.1,96.68,15.6,,,,,,,,,,,
2022-23,NYK,68,35,119.2,117.1,2.1,28,2.96,22,1.6,8.5,5,7.4,54.7,59.7,26.6,97.64,13.8,,,,,,,,,,,
2021-22,DAL,79,31.9,113.8,109.4,4.4,23.7,3.04,23.7,1.7,10.5,6.2,7.8,54.9,58.3,21.5,95.68,12.2,,,,,,,,,,,
2020-21,DAL,68,25,113.7,108.7,4.9,21.5,2.99,23.7,1.6,11.7,6.7,7.9,58.8,61.8,19.6,98.84,12.3,,,,,,,,,,,
2019-20,DAL,57,17.9,113.2,105.6,7.6,26.5,2.85,27.9,2.1,10,6.1,9.8,52.2,55.3,19.9,100.74,10.7,,,,,,,,,,,
2018-19,DAL,73,21.8,107.7,110.4,-2.8,22.3,2.61,24.6,1.5,8.7,5,9.4,52.3,54.9,18.6,100.42,8.8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NYK,33,34.9,3.5,1.6,2.5,9.8,10.7,8.9,10.9,34.2,0.1,1,2.2,6.1,,,,,,,,,,,,,,
2023-24,NYK,77,35.4,3.5,2.1,2.6,11.6,10.3,9.3,10.6,35.3,0.2,0.8,1.9,6.2,,,,,,,,,,,,,,
2022-23,NYK,68,35,2.8,1.3,1.8,10.4,10.8,9.5,9.7,33.4,0.2,0.8,2.2,5.7,,,,,,,,,,,,,,
2021-22,DAL,79,31.9,2.1,1.4,1.1,7.6,9.1,8.8,7.7,31.3,0,0.5,1.9,3.4,,,,,,,,,,,,,,
2020-21,DAL,68,25,1.7,0.8,1.6,5.7,7.2,6,6,22,0,0.3,1.6,2.6,,,,,,,,,,,,,,
2019-20,DAL,57,17.9,1,0.5,1,3.6,5.1,4.8,6.3,17.7,0.1,0.2,1.3,2.1,,,,,,,,,,,,,,
2018-19,DAL,73,21.8,1,0.8,1.3,4.5,6.6,5.4,7.2,22.2,0.1,0.6,1.7,2.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,NYK,33,34.9,64.8,35.2,48,9.4,29.9,10,22.1,13.8,38.7,21.5,78.5,48.2,51.8,29.3,70.7,,,,,,,,,,,
2023-24,NYK,77,35.4,68.1,31.9,52.4,12.1,28.6,9.2,19,12.3,40.2,23,77,58.3,41.7,32.4,67.6,,,,,,,,,,,
2022-23,NYK,68,35,73.1,26.9,55.5,12.2,24.6,7.5,19.9,11.7,43.2,16.6,83.4,57.5,42.5,25.9,74.1,,,,,,,,,,,
2021-22,DAL,79,31.9,75,25,64.1,17.4,21.9,6.5,14,13.1,46.7,26.2,73.8,80.9,19.1,36.4,63.6,,,,,,,,,,,
2020-21,DAL,68,25,68.1,31.9,57.6,12.1,28.4,12.4,14,13.2,45.5,23.5,76.5,86.4,13.6,39,61,,,,,,,,,,,
2019-20,DAL,57,17.9,69.1,30.9,59.2,15.5,27.7,12.7,13.1,12.4,43.8,23.9,76.1,81.4,18.6,37.6,62.4,,,,,,,,,,,
2018-19,DAL,73,21.8,68,32,59.3,10.6,27.9,13.9,12.8,10.9,48.7,33.8,66.2,76.2,23.8,43.9,56.1,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,NYK,33,1152,28.6,27.2,28.4,26.3,25.6,42.2,41.4,6.3,10.9,9.9,37.9,26,13.9,2.2,29.1,18.3,41.1,29.4,,,,,,,,
2023-24,NYK,77,2726,31.1,32.4,32.3,27.8,26.3,40.4,37.3,5.8,12.8,10.8,36.9,26.1,16.1,5.8,23.2,14.5,41.2,33.1,,,,,,,,
2022-23,NYK,68,2379,26.6,28.1,27.4,21.9,19.2,32.5,30,6.7,12.5,10.9,38.5,23.9,21.6,7.7,25.1,15.2,35.6,28.2,,,,,,,,
2021-22,DAL,79,2524,21.5,24.2,22.6,13.9,13.2,20.7,19.2,9.3,15.3,14,30.6,19.9,19.7,1.4,20.4,15,24.7,22.4,,,,,,,,
2020-21,DAL,68,1697,19.6,22.8,20.4,17.1,15.1,19.5,19.8,8.9,16.6,15.1,29.4,19.6,17.8,0.7,14.4,15.4,23.7,21.6,,,,,,,,
2019-20,DAL,57,1022,19.9,20.3,20.3,14.2,14.8,17.6,16.8,10.1,14.6,13.6,35.9,25.4,17.7,3.9,12.5,18,26.2,19.2,,,,,,,,
2018-19,DAL,73,1591,18.6,20.4,19.5,16,15,14.3,14.7,7.1,12.7,11.4,29.2,19.8,18.4,2.9,28.1,19.5,20.7,18.9,,,,,,,,
