Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BOS,28,35.4,24.4,9,19.4,46.1,2.3,7,33.2,4.1,5.6,73.4,1.5,4.5,6,4.6,2.8,1.4,0.3,2.4,40.7,3,0,8.5,,,,
2023-24,BOS,70,33.5,23,9,17.9,49.9,2.1,5.9,35.4,3,4.3,70.3,1.2,4.3,5.5,3.6,2.4,1.2,0.5,2.6,37.7,6,1,5.9,,,,
2022-23,BOS,67,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,2.9,1.1,0.4,2.6,41.6,13,0,3.8,,,,
2021-22,BOS,66,33.6,23.6,8.7,18.4,47.3,2.5,7,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,2.7,1.1,0.3,2.5,37.5,11,2,6.9,,,,
2020-21,BOS,58,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6,3.4,2.7,1.2,0.6,2.9,39.5,10,0,1.2,,,,
2019-20,BOS,57,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,1.1,5.3,6.4,2.1,2.2,1.1,0.4,2.9,33.4,8,0,4,,,,
2018-19,BOS,74,25.9,13,5,10.7,46.5,1.3,3.7,34.4,1.8,2.7,65.8,0.9,3.4,4.2,1.4,1.3,0.9,0.4,2.5,22.9,2,0,0.9,,,,
2017-18,BOS,70,30.7,14.5,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,64.4,0.9,4,4.9,1.6,1.8,1,0.4,2.6,25.2,2,0,4.9,,,,
2016-17,BOS,78,17.2,6.6,2.5,5.4,45.5,0.6,1.7,34.3,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.9,0.4,0.2,1.8,12.4,0,0,-1.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BOS,28,35.4,120.9,109,11.9,20.4,1.68,15.7,4.2,11.9,8.1,9.4,52.1,55.7,29.5,100.39,11.7,,,,,,,,,,,
2023-24,BOS,70,33.5,120.2,111.6,8.7,16.5,1.5,13.9,3.7,11.9,8,9.3,55.7,58,28.3,99.94,11.6,,,,,,,,,,,
2022-23,BOS,67,35.9,116.6,111.2,5.4,16.3,1.18,11.9,3.2,15.2,9.3,10.1,55,58.1,30.7,100.51,13.2,,,,,,,,,,,
2021-22,BOS,66,33.6,113.5,103.8,9.8,17.3,1.3,13.1,2.4,14.5,8.8,10.1,54.1,57.4,29.8,98.57,13.5,,,,,,,,,,,
2020-21,BOS,58,34.5,113.5,111.8,1.8,16.2,1.23,12.4,3.5,13.6,8.5,10.1,55.8,58.6,29,100.17,12.9,,,,,,,,,,,
2019-20,BOS,57,33.9,113.7,106.8,6.9,9.5,0.94,9.6,3.1,14.9,9,10.1,55.4,58.3,24.5,99.75,11.3,,,,,,,,,,,
2018-19,BOS,74,25.9,108.3,105.9,2.4,7.9,1.01,9.2,3.2,12.2,7.7,9.1,52.5,54.7,21.5,102.15,8.4,,,,,,,,,,,
2017-18,BOS,70,30.7,109,101.3,7.7,8.1,0.92,10,3,12.4,7.8,10.9,54,56.2,20.8,97.62,8.9,,,,,,,,,,,
2016-17,BOS,78,17.2,101.8,106.2,-4.4,7.7,0.94,10.6,3.3,12.7,8.1,11.3,50.9,54,17.6,99.09,7.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BOS,28,35.4,3.9,2.3,3.4,11.9,10.1,8.5,11.3,35.9,0.3,1.1,2.4,5.4,,,,,,,,,,,,,,
2023-24,BOS,70,33.5,3.4,2.1,4.4,11.5,9.5,9.9,9.6,33.3,0.5,1,2.6,3.4,,,,,,,,,,,,,,
2022-23,BOS,67,35.9,3.8,1.8,4.7,12.5,11.9,9.8,9.8,36.7,0.4,1.1,2.6,4.1,,,,,,,,,,,,,,
2021-22,BOS,66,33.6,3.5,2.3,3.2,9.9,10,8.5,7.8,28.4,0.3,1.5,2.5,4.3,,,,,,,,,,,,,,
2020-21,BOS,58,34.5,3.6,2,3.8,10.2,11.8,9.7,8.5,31.5,0.6,1.1,2.9,4.1,,,,,,,,,,,,,,
2019-20,BOS,57,33.9,3.4,1.9,4.5,9,10.2,8.9,8.9,31.1,0.4,1.2,2.9,3.4,,,,,,,,,,,,,,
2018-19,BOS,74,25.9,2.6,1.4,3,6.3,8.2,7.3,7,24.6,0.4,0.6,2.5,2.3,,,,,,,,,,,,,,
2017-18,BOS,70,30.7,2.9,1.7,2,6.2,9.5,6.9,6,27.3,0.4,0.8,2.6,2.9,,,,,,,,,,,,,,
2016-17,BOS,78,17.2,1.6,0.7,1.4,3.3,6,4.3,4,15,0.2,0.4,1.8,1.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,BOS,28,35.4,64,36,54.5,5.9,28.6,13.8,16.9,16,48.6,35.5,64.5,73.8,26.2,45.4,54.6,,,,,,,,,,,
2023-24,BOS,70,33.5,67.4,32.6,59.9,9.9,27,19.3,13.1,15,49.9,42.9,57.1,63.4,36.6,47.7,52.3,,,,,,,,,,,
2022-23,BOS,67,35.9,64.8,35.2,57.8,10.8,27.4,17.5,14.8,14.3,47.1,47.7,52.3,68.7,31.3,52.7,47.3,,,,,,,,,,,
2021-22,BOS,66,33.6,61.9,38.1,52.6,10.8,31.9,13.5,15.5,14.7,41.8,47.1,52.9,75.9,24.1,55.4,44.6,,,,,,,,,,,
2020-21,BOS,58,34.5,63,37,52.4,10.9,34.2,15.3,13.4,14.4,41.5,45.3,54.7,79.8,20.2,55.8,44.2,,,,,,,,,,,
2019-20,BOS,57,33.9,61.9,38.1,51.4,7.2,33.4,22,15.2,16.8,44.2,47.7,52.3,88.4,11.6,60,40,,,,,,,,,,,
2018-19,BOS,74,25.9,65.2,34.8,56.6,8.1,29.6,22.9,13.8,20,48.5,57.1,42.9,96.8,3.2,67.4,32.6,,,,,,,,,,,
2017-18,BOS,70,30.7,61.9,38.1,49.6,6.7,35.7,13.9,14.7,20.2,42.9,53.6,46.4,96.7,3.3,67.6,32.4,,,,,,,,,,,
2016-17,BOS,78,17.2,68.2,31.8,56.7,6.6,26.8,21,16.5,23.9,50.1,62.3,37.7,95.7,4.3,70.3,29.7,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,BOS,28,990,29.5,28.5,29,16.9,19.6,33,35,20.1,17.2,17.9,23.1,32.4,25.9,6.8,36.6,20.1,38,27.3,,,,,,,,
2023-24,BOS,70,2343,28.3,29.3,29,19.2,21,25.4,28.6,18.4,17.5,17.7,19.1,27.9,25.5,11,43.1,23.3,27.4,27.5,,,,,,,,
2022-23,BOS,67,2405,30.7,32.3,31.5,21.8,24.2,28.7,30.7,17.1,21.9,20.9,18.1,30.1,22.1,9.9,39.1,18.1,27.7,30.4,,,,,,,,
2021-22,BOS,66,2220,29.8,30.2,30.3,28.1,28.1,31.3,33.1,11.3,21.1,19,19.7,29.1,20.6,6.6,45.3,19,31.5,30.1,,,,,,,,
2020-21,BOS,58,1999,29,30.9,30.3,30.3,29,26.7,27.4,16.7,19.4,18.7,19.5,26.4,22.9,14.3,30.4,19.3,28.3,30.2,,,,,,,,
2019-20,BOS,57,1934,24.5,25.6,25,26.3,25.3,24.7,26.5,14.3,21.6,19.8,12.5,22.6,20.1,9.6,30.3,19.1,23.8,25.5,,,,,,,,
2018-19,BOS,74,1913,21.5,22.5,22.2,19.4,20.4,21,25,16.9,17.8,17.6,9.6,18.8,19.4,15,28.1,21.9,21.5,21.9,,,,,,,,
2017-18,BOS,70,2152,20.8,21,20.8,22.9,22.5,22,26.3,16.2,17.7,17.4,10.9,20.6,20.6,12.3,25.1,21.4,24.3,21.3,,,,,,,,
2016-17,BOS,78,1341,17.6,18.8,18.4,15.8,15.5,17.4,19.3,18.6,18.7,18.7,9.7,16.9,17,17.5,23.6,23.2,17.8,18.3,,,,,,,,
