Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BOS,30,36.3,28.3,9.3,20,46.6,3.9,10.5,36.9,5.8,7.2,79.7,0.6,8.9,9.5,5.5,2.8,1.3,0.5,2.5,50.4,16,1,9.5,,,,
2023-24,BOS,74,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,2.5,1,0.6,2,46.2,25,0,8.2,,,,
2022-23,BOS,74,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31,1,6.4,,,,
2021-22,BOS,76,35.9,26.9,9.3,20.6,45.3,3,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8,4.4,2.9,1,0.6,2.3,45.2,22,0,8.8,,,,
2020-21,BOS,64,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,44.1,15,1,2.5,,,,
2019-20,BOS,66,34.3,23.4,8.4,18.6,45,2.9,7.1,40.3,3.8,4.7,81.2,1,6,7,3,2.3,1.4,0.9,2.1,40.8,10,0,7.6,,,,
2018-19,BOS,79,31.1,15.7,5.9,13.1,45,1.5,3.9,37.3,2.5,2.9,85.5,0.9,5.2,6,2.1,1.5,1.1,0.7,2.1,30,8,0,4.6,,,,
2017-18,BOS,80,30.5,13.9,5,10.4,47.5,1.3,3,43.4,2.7,3.2,82.6,0.6,4.4,5,1.6,1.4,1,0.7,2.1,26.2,4,0,4.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BOS,30,36.3,120.2,107.6,12.5,24.3,1.99,17.7,1.6,22.8,12.2,8.9,56.2,60.9,29.6,100.2,17,,,,,,,,,,,
2023-24,BOS,74,35.7,121.7,110.5,11.2,21.1,1.94,16.7,2.6,18.7,11,8.6,55.2,60.4,29.6,98.64,15.5,,,,,,,,,,,
2022-23,BOS,74,36.9,119.2,110.8,8.5,20.5,1.61,14.5,2.9,20,11.7,9,54.3,60.7,31.9,99.76,16.7,,,,,,,,,,,
2021-22,BOS,76,35.9,115.5,103.4,12.1,20.4,1.54,14.5,3.2,18,10.9,9.4,52.6,57.8,31.3,98.12,15.9,,,,,,,,,,,
2020-21,BOS,64,35.8,114.8,111.8,3,19.6,1.61,14.5,2.1,18.8,10.2,9,53,57.6,29.8,99.74,15.2,,,,,,,,,,,
2019-20,BOS,66,34.3,114.2,103.5,10.6,14.3,1.29,11.7,2.7,16.5,9.6,9,52.7,56.7,28,100.63,14.3,,,,,,,,,,,
2018-19,BOS,79,31.1,111.9,105.1,6.8,9.8,1.38,11.8,2.8,15.7,9.3,8.6,50.6,54.7,21.8,100.68,10.6,,,,,,,,,,,
2017-18,BOS,80,30.5,107.7,100.8,6.9,8.1,1.12,10.7,2.1,13.8,8.1,9.6,53.8,58.6,19.2,97.42,10.8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BOS,30,36.3,4.1,2.4,3.1,9.4,9.8,9.2,11,38.5,0.5,0.8,2.5,4.9,,,,,,,,,,,,,,
2023-24,BOS,74,35.7,4.1,2.2,3,9.5,9.6,10.4,9.4,35.6,0.6,0.8,2,4.6,,,,,,,,,,,,,,
2022-23,BOS,74,36.9,4.5,2.4,3.6,11.6,11.1,9.5,9.7,36.7,0.7,0.8,2.2,5.4,,,,,,,,,,,,,,
2021-22,BOS,76,35.9,3.6,2.1,3,10.1,10.5,9.1,8.5,30.8,0.6,1.1,2.3,4.5,,,,,,,,,,,,,,
2020-21,BOS,64,35.8,5,1.9,2.6,9.9,10.8,8.8,8.4,32.3,0.5,1,1.9,4.2,,,,,,,,,,,,,,
2019-20,BOS,66,34.3,3.4,1.9,3,8.6,9.9,9.1,9.2,29.9,0.9,0.9,2.1,3.6,,,,,,,,,,,,,,
2018-19,BOS,79,31.1,3,1.7,2.6,6.3,8.8,8.5,8.4,28.9,0.7,0.6,2.1,2.6,,,,,,,,,,,,,,
2017-18,BOS,80,30.5,2.5,1.1,2,5,9.5,7.2,6.6,27.2,0.7,0.7,2.1,2.5,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,BOS,30,36.3,47.8,52.2,38.6,5.4,41,11,20.4,14.5,33.2,34.8,65.2,45.7,54.3,39.3,60.7,,,,,,,,,,,
2023-24,BOS,74,35.7,57.3,42.7,44.6,9.3,34.6,11.1,20.8,15.5,35.3,35.7,64.3,48.5,51.5,40,60,,,,,,,,,,,
2022-23,BOS,74,36.9,56,44,43.8,5,32.4,12.1,23.8,15.1,38.7,51.5,48.5,64.6,35.4,55.8,44.2,,,,,,,,,,,
2021-22,BOS,76,35.9,58.4,41.6,46.7,9.4,33.7,11,19.6,13.5,37.3,42.9,57.1,56.5,43.5,47.3,52.7,,,,,,,,,,,
2020-21,BOS,64,35.8,63.2,36.8,49.4,11.9,33.2,9.9,17.4,18.9,37.5,38.3,61.7,46.5,53.5,40.8,59.2,,,,,,,,,,,
2019-20,BOS,66,34.3,61.7,38.3,46.9,10.2,36.7,12.8,16.4,14.4,36.7,43.3,56.7,54.5,45.5,47.1,52.9,,,,,,,,,,,
2018-19,BOS,79,31.1,70,30,56.3,16.3,28,16.5,15.7,19.1,40.1,49.7,50.3,85.3,14.7,58.6,41.4,,,,,,,,,,,
2017-18,BOS,80,30.5,71,29,52.5,16.5,28.3,14.2,19.2,18.3,36,56.5,43.5,92.4,7.6,66,34,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,BOS,30,1090,29.6,29.2,28.7,26.8,26.5,44.9,44.4,7.9,33.7,27.6,28.7,32.7,22.2,11,25.3,21.3,35.2,31.1,,,,,,,,
2023-24,BOS,74,2645,29.6,28.1,29.1,25.4,26.1,44.9,44.3,12.4,27.5,24.2,25,29.7,20.1,12.3,33.9,16.7,35.4,30,,,,,,,,
2022-23,BOS,74,2732,31.9,30.3,31.3,26.5,28.6,49.7,47.7,14.5,28.4,25.5,22.5,30,21.9,16.9,28.9,15,35.6,32.9,,,,,,,,
2021-22,BOS,76,2731,31.3,30.2,31.9,30.5,31.4,40,38.5,14.5,25.9,23.3,23.8,29.4,17.9,14.6,35,17,31.3,31.8,,,,,,,,
2020-21,BOS,64,2290,29.8,30,30.8,28.5,28,37.6,34.1,9.4,26.9,22.5,24.4,27.4,20.2,12.3,29.1,13,28.6,30.9,,,,,,,,
2019-20,BOS,66,2265,28,28.3,29,30.8,28.4,28.1,27.9,12.9,23.8,21.3,18.6,26,23,20.9,24.1,14.2,24.1,28.6,,,,,,,,
2018-19,BOS,79,2455,21.8,21.4,22.3,18.2,17.9,25.1,24,14.3,23.2,21.2,12.6,19.8,19.1,20.1,24.6,16.6,21.5,21.6,,,,,,,,
2017-18,BOS,80,2443,19.2,20.2,19.6,18.1,16.6,25.9,24.5,11.8,19.9,18.3,11.1,16.8,21.8,23.3,26.3,17.3,20.5,20.8,,,,,,,,
