Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,PHI,11,29.3,23.7,7.5,16.7,45.1,1.2,3.9,30.2,7.5,8,93.2,1.6,5.4,7,3.8,3.3,0.9,1,2.3,40.3,2,0,0.8,,,,
2023-24,PHI,39,33.6,34.7,11.5,21.8,52.9,1.4,3.6,38.8,10.2,11.6,88.3,2.4,8.6,11,5.6,3.8,1.2,1.7,2.9,61.1,30,2,6.8,,,,
2022-23,PHI,66,34.6,33.1,11,20.1,54.8,1,3,33,10,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1,1.7,3.1,56.2,39,1,6.4,,,,
2021-22,PHI,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,55.5,46,2,5.4,,,,
2020-21,PHI,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1,1.4,2.4,49.3,31,0,7.9,,,,
2019-20,PHI,51,29.5,23,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,2.8,8.9,11.6,3,3.1,0.9,1.3,3.4,44.8,37,0,3.2,,,,
2018-19,PHI,64,33.7,27.5,9.1,18.7,48.4,1.2,4.1,30,8.2,10.1,80.4,2.5,11.1,13.6,3.7,3.5,0.7,1.9,3.3,53.7,58,2,5.8,,,,
2017-18,PHI,63,30.4,22.9,8.1,16.8,48.3,1,3.4,30.8,5.7,7.4,76.9,2.3,8.7,11,3.2,3.7,0.6,1.8,3.3,44.3,38,0,7.7,,,,
2016-17,PHI,31,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2,5.9,7.8,2.1,3.8,0.9,2.5,3.6,39,9,0,2.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,PHI,11,29.3,104.8,104.5,0.3,25.9,1.17,13.9,5.9,18.3,12.2,11.9,48.6,58.6,35.8,98.71,17.3,,,,,,,,,,,
