Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CHA,22,33.7,30.1,10.5,24.6,42.5,4.5,13,34.6,4.7,5.5,84.4,0.9,4.5,5.3,7.4,4.1,1.3,0.2,3.7,48.1,6,0,-1.8,,,,
2023-24,CHA,22,32.3,23.9,8.3,19.2,43.3,3.2,9,35.5,4.1,4.7,86.5,1.3,3.8,5.1,8,3.8,1.8,0.2,3.6,44.3,7,1,-6.3,,,,
2022-23,CHA,36,35.2,23.3,8.2,20,41.1,4,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17,3,-4.2,,,,
2021-22,CHA,75,32.3,20.1,7.2,16.7,42.9,2.9,7.5,38.9,2.8,3.2,87.2,1.4,5.2,6.7,7.6,3.3,1.6,0.4,3.2,42.2,23,5,1.3,,,,
2020-21,CHA,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,2.8,1.6,0.4,2.7,35,7,1,-1.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CHA,22,33.7,111.6,113.7,-2.1,41,1.81,19.3,2.3,13.1,7.4,10.7,51.7,55.7,37.6,101.12,14.9,,,,,,,,,,,
2023-24,CHA,22,32.3,111.8,120.2,-8.4,39.5,2.12,24.3,3.8,12.2,7.8,11.5,51.5,56.1,31.5,103,13.3,,,,,,,,,,,
2022-23,CHA,36,35.2,112.5,117.3,-4.7,35.2,2.36,25.3,3.1,14.7,8.7,10.8,51,54.1,28.9,104.37,12.2,,,,,,,,,,,
2021-22,CHA,75,32.3,114,112.5,1.5,34.1,2.33,26.4,4.2,15.7,9.8,11.3,51.7,55.4,27.1,102.88,13.2,,,,,,,,,,,
2020-21,CHA,51,28.8,108.7,111.8,-3.1,32.2,2.16,26.1,4.1,16.1,10,12.1,50.4,53.9,24.7,103.35,12.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,CHA,22,33.7,3.7,3.1,3.2,10.2,12.7,9.5,11,32.5,0.2,1.1,3.7,5.1,,,,,,,,,,,,,,
2023-24,CHA,22,32.3,3.5,2.6,2.3,9.9,10.5,8.6,10.8,36,0.2,0.6,3.6,4.1,,,,,,,,,,,,,,
2022-23,CHA,36,35.2,3,1.9,2.7,6.6,11,10,10.2,40.2,0.3,0.8,3.3,3.1,,,,,,,,,,,,,,
2021-22,CHA,75,32.3,3.2,2,3,7.1,11.1,9.9,9.5,33.2,0.4,0.7,3.2,3.2,,,,,,,,,,,,,,
2020-21,CHA,51,28.8,2.5,1.4,1.7,7,11.4,7.9,9.3,30.2,0.4,0.6,2.7,3.1,,,,,,,,,,,,,,
