Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DAL,22,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2,0.4,2.6,53.7,10,3,7.6,,,,
2023-24,DAL,70,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,4,1.4,0.5,2.1,61.5,49,21,4.6,,,,
2022-23,DAL,66,36.2,32.4,10.9,22,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8,3.6,1.4,0.5,2.5,56.8,36,10,1.9,,,,
2021-22,DAL,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,53.1,44,10,2.2,,,,
2020-21,DAL,66,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35,5.2,7.1,73,0.8,7.2,8,8.6,4.3,1,0.5,2.3,50.5,26,11,2.5,,,,
2019-20,DAL,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7,9.2,75.8,1.3,8.1,9.4,8.8,4.3,1,0.2,2.5,52.8,39,17,4.1,,,,
2018-19,DAL,72,32.2,21.2,7,16.5,42.7,2.3,7.1,32.7,4.8,6.7,71.3,1.2,6.6,7.8,6,3.4,1.1,0.3,1.9,40.3,24,8,-1.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DAL,22,35.7,119.2,109.3,9.9,33.6,2.29,22.3,2,20,11.2,9.7,54.4,58.4,31.9,101.72,17.2,,,,,,,,,,,
2023-24,DAL,70,37.5,119.6,113.8,5.8,42.8,2.43,23.9,2.2,21.8,12.1,9.8,57.3,61.7,35.5,101.06,20,,,,,,,,,,,
2022-23,DAL,66,36.2,118.1,116,2.1,40.8,2.24,21.1,2.4,22.4,12.4,9.4,56,60.9,36.8,97.63,20.2,,,,,,,,,,,
2021-22,DAL,65,35.4,113.8,110.3,3.5,45.8,1.95,22.9,2.5,23,12.9,11.8,52.9,57.1,36.8,96.18,19.1,,,,,,,,,,,
2020-21,DAL,66,34.3,116.6,112.7,3.9,42.5,2.02,23.6,2.4,20.2,11.5,11.7,55,58.7,35,99.4,17.9,,,,,,,,,,,
2019-20,DAL,61,33.6,116.7,111.4,5.3,45.4,2.07,23.6,3.6,22.4,13.2,11.4,53.1,58.5,35.5,101.24,19.4,,,,,,,,,,,
2018-19,DAL,72,32.2,107.6,110.6,-3.1,31.7,1.74,20.7,3.6,19.8,11.7,11.9,49.7,54.5,29.6,100.99,14.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DAL,22,35.7,5.3,1.9,4.2,9.9,12.5,9.9,11.4,34.7,0.4,0.5,2.6,5.7,,,,,,,,,,,,,,
2023-24,DAL,70,37.5,4.5,2.5,2.9,11.1,11.1,10.4,12.6,39.5,0.5,0.7,2.1,6.8,,,,,,,,,,,,,,
2022-23,DAL,66,36.2,4.5,2.2,1.7,13.4,11.5,10.6,10.2,37.8,0.5,0.7,2.5,7.3,,,,,,,,,,,,,,
2021-22,DAL,65,35.4,3.3,1.8,1.1,11,10.5,10.5,9.2,35.9,0.6,0.7,2.2,6.2,,,,,,,,,,,,,,
2020-21,DAL,66,34.3,3,2,1.5,11.1,10,9.6,9.4,33,0.5,0.8,2.3,5.5,,,,,,,,,,,,,,
2019-20,DAL,61,33.6,2.8,2.6,2.5,12.8,10,9.2,10.6,34.1,0.2,1.1,2.5,7.5,,,,,,,,,,,,,,
2018-19,DAL,72,32.2,3,2,2.9,8,11.5,8.5,12.3,32,0.3,0.7,1.9,5.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DAL,22,35.7,54.5,45.5,45.6,10.3,36.3,14.9,18.1,18.9,35.2,27.7,72.3,48,52,34.7,65.3,,,,,,,,,,,
2023-24,DAL,70,37.5,55,45,43.9,11.2,35.9,8.7,20.2,13.2,32.7,17.7,82.3,29.9,70.1,22,78,,,,,,,,,,,
2022-23,DAL,66,36.2,62.7,37.3,50,8.5,26,5.2,24,14,41.4,13.1,86.9,21.6,78.4,15.3,84.7,,,,,,,,,,,
2021-22,DAL,65,35.4,59.4,40.6,47.6,8.8,32.6,4,19.8,11.5,38.9,10.7,89.3,21.9,78.1,14.2,85.8,,,,,,,,,,,
