Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DEN,29,36.9,30.7,11.7,20.8,56.1,2.2,4.6,49.2,5.1,6.4,80.1,3.4,9.6,13,9.7,3.3,1.7,0.6,2,64.4,23,14,9.3,,,,
2023-24,DEN,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9,3,1.4,0.9,2.5,58.3,68,25,8.6,,,,
2022-23,DEN,69,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6,82.2,2.4,9.4,11.8,9.8,3.6,1.3,0.7,2.5,55.7,58,29,9.3,,,,
2021-22,DEN,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81,2.8,11,13.8,7.9,3.8,1.5,0.9,2.6,58.6,66,19,6,,,,
2020-21,DEN,72,34.6,26.4,10.2,18,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8,10.8,8.3,3.1,1.3,0.7,2.7,54.7,60,16,5.3,,,,
2019-20,DEN,73,32,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,2.3,7.5,9.7,7,3.1,1.2,0.6,3,44.4,43,13,3.5,,,,
2018-19,DEN,80,31.3,20.1,7.7,15.1,51.1,1,3.4,30.7,3.6,4.4,82.1,2.9,8,10.8,7.3,3.1,1.4,0.7,2.9,46.9,56,12,3.9,,,,
2017-18,DEN,75,32.6,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7,,,,
2016-17,DEN,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,38.3,39,6,4.1,,,,
2015-16,DEN,80,21.7,10,3.8,7.5,51.2,0.4,1.1,33.3,1.9,2.4,81.1,2.3,4.7,7,2.4,1.3,1,0.6,2.6,25.4,16,0,1.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DEN,29,36.9,124.8,113.7,11.1,38.6,2.91,26.6,9.8,24.2,17.4,9.1,61.5,65.1,29.5,103.11,20.6,,,,,,,,,,,
2023-24,DEN,79,34.6,122.4,110.6,11.8,39.1,2.99,27.9,8.6,27,18.2,9.3,61.2,65,28.8,98.05,21.1,,,,,,,,,,,
2022-23,DEN,69,33.7,124.2,111.6,12.5,41.2,2.74,32.1,8,28.3,18.6,11.7,66,70.1,26.3,100.42,21.1,,,,,,,,,,,
2021-22,DEN,74,33.5,117.3,108.9,8.4,38.8,2.08,24.8,9,31.3,20.9,11.9,62,66.1,30.9,99.46,23,,,,,,,,,,,
2020-21,DEN,72,34.6,120.2,112.6,7.7,37.7,2.7,26.2,8.7,23.7,16.3,9.7,60.2,64.7,29.3,98.15,20.1,,,,,,,,,,,
2019-20,DEN,73,32,113.4,108.9,4.5,35,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.9,17.9,,,,,,,,,,,
2018-19,DEN,80,31.3,113.3,107.5,5.8,36.1,2.34,26.5,8.9,24.9,16.9,11.4,54.5,58.9,27.1,98.4,18.8,,,,,,,,,,,
2017-18,DEN,75,32.6,114,107.8,6.2,28.6,2.18,25.3,8.1,25.4,16.8,11.6,55.4,60.3,23.8,97.52,16.9,,,,,,,,,,,
2016-17,DEN,73,27.9,116.3,109.7,6.5,26.6,2.1,24.2,10.6,24.8,17.8,11.5,60.5,64,23.1,100.23,16.7,,,,,,,,,,,
2015-16,DEN,80,21.7,105.5,103.1,2.4,17.6,1.82,19.4,9.9,22.3,15.9,10.7,53.5,58.2,19.4,96.5,14.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DEN,29,36.9,3,4.1,2.3,16.9,12.5,10.1,12.7,39.5,0.6,1.1,2,5.8,,,,,,,,,,,,,,
2023-24,DEN,79,34.6,2.7,3.9,1,16.8,10.6,8.4,10.2,36.5,0.9,0.9,2.5,5.4,,,,,,,,,,,,,,
2022-23,DEN,69,33.7,3,3.7,1.4,15.8,11.9,8.8,9.7,36.7,0.7,0.7,2.5,5.7,,,,,,,,,,,,,,
2021-22,DEN,74,33.5,3,3.8,1.7,16.2,12.2,7.9,8.4,35.2,0.9,0.9,2.6,6.5,,,,,,,,,,,,,,
2020-21,DEN,72,34.6,3.4,4.2,0.8,14.4,10.8,7.7,9.6,32.1,0.7,0.9,2.7,5.8,,,,,,,,,,,,,,
2019-20,DEN,73,32,2.1,3.3,0.5,10.4,10.2,7.8,8.2,31.2,0.6,0.4,3,5,,,,,,,,,,,,,,
2018-19,DEN,80,31.3,2,3.8,0.6,11.8,10.4,7.1,8.4,31.5,0.7,0.8,2.9,5.2,,,,,,,,,,,,,,
2017-18,DEN,75,32.6,2,3.1,0.8,8.1,12.4,6.9,8.4,30.7,0.8,0.6,2.8,5.1,,,,,,,,,,,,,,
2016-17,DEN,73,27.9,1.3,3.4,1,10,9.8,6.5,8,26.9,0.8,0.7,2.9,3.2,,,,,,,,,,,,,,
2015-16,DEN,80,21.7,1.3,2.1,0.5,6.2,7,4.5,5.4,17.5,0.6,0.7,2.6,2.5,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DEN,29,36.9,78.1,21.9,61.3,6.3,21.9,7.5,16.8,9.8,55.1,67.8,32.2,87.7,12.3,71.6,28.4,,,,,,,,,,,
2023-24,DEN,79,34.6,83.6,16.4,70.9,7.1,11.9,3.7,17.2,10.2,63.8,57.2,42.8,80.7,19.3,59.6,40.4,,,,,,,,,,,
2022-23,DEN,69,33.7,85.4,14.6,69.7,5.3,10.1,5.6,20.2,12.4,64.4,60.6,39.4,84.2,15.8,62.7,37.3,,,,,,,,,,,
2021-22,DEN,74,33.5,78,22,66.6,6.8,14.5,6.4,18.9,11.1,59.8,58,42,91.8,8.2,62.3,37.7,,,,,,,,,,,
2020-21,DEN,72,34.6,81.7,18.3,67.4,12.8,14.5,2.9,18.1,12.9,54.7,48.4,51.6,96.7,3.3,54.5,45.5,,,,,,,,,,,
2019-20,DEN,73,32,76.2,23.8,66.6,14.3,16.5,2.7,16.9,10.4,52.3,51.1,48.9,85,15,55.9,44.1,,,,,,,,,,,
2018-19,DEN,80,31.3,77.6,22.4,66.5,7.7,15.5,3.1,18,10,58.7,48,52,91.6,8.4,53.9,46.1,,,,,,,,,,,
2017-18,DEN,75,32.6,72.3,27.7,56.8,13,24,4.4,19.2,10.9,43.8,54.5,45.5,89.2,10.8,62.1,37.9,,,,,,,,,,,
2016-17,DEN,73,27.9,83.7,16.3,73.5,13.8,11.1,5.9,15.4,8,59.8,56.6,43.4,93.3,6.7,59.9,40.1,,,,,,,,,,,
2015-16,DEN,80,21.7,86,14,70.1,8.3,10.6,4.8,19.3,12.6,61.8,59.9,40.1,92.9,7.1,62.9,37.1,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,DEN,29,1070,29.5,31.6,29.8,24.1,20.1,31.8,30.5,37.6,36.8,37,36.3,32.3,26.5,16.8,26.9,15.7,35.8,30.9,,,,,,,,
2023-24,DEN,79,2737,28.8,31.2,27.7,12.2,13.2,39.4,37.8,37.2,38.5,38.2,39,34.3,26,25.3,27.3,21.6,41.2,30.4,,,,,,,,
2022-23,DEN,69,2323,26.3,28.2,24,9.4,9.9,39.6,37,34.3,40.4,39,41.6,36.9,22.7,23.6,25.8,22.3,39.2,27.9,,,,,,,,
2021-22,DEN,74,2476,30.9,33.6,29.5,16.3,17.2,42.8,42.4,45.3,42.9,43.3,37.4,37.2,30.9,34.8,29.9,21.8,45.5,33.3,,,,,,,,
2020-21,DEN,72,2488,29.3,31.6,28.1,14.5,14.2,40.8,38.3,38.2,33.4,34.6,40.6,33.9,23.2,23.1,27.9,22,40.9,31,,,,,,,,
2019-20,DEN,73,2335,26.6,27.9,25.4,15.4,17.3,31.1,30.7,32.9,34.1,33.8,39.2,34.4,21.9,21.6,15.8,23.7,36.5,27.1,,,,,,,,
2018-19,DEN,80,2504,27.1,27.7,25.8,14.5,16.9,35.7,33.7,36.2,34.9,35.3,39.8,33.9,28.1,24.7,28,23.6,39.1,27.5,,,,,,,,
2017-18,DEN,75,2443,23.8,24,23,18.5,17.8,30.5,28.4,34.4,35.6,35.3,34.4,28.6,23.5,28.1,19,24,35.7,24.4,,,,,,,,
2016-17,DEN,73,2038,23.1,26.8,22.8,9.7,11.1,23.4,22.7,43.2,33.9,36.2,29.7,28,21.9,37.4,26,28.6,27.7,24.6,,,,,,,,
2015-16,DEN,80,1733,19.4,22.3,19.2,9.6,9.8,24.4,23.8,41.5,31.1,33.9,22.8,20.8,27,31.8,24.4,30.8,27.8,21.6,,,,,,,,
