Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,LAC,26,33.3,24.3,8.4,17.2,49,3.7,8.3,45.1,3.7,4.3,85,0.3,3,3.3,2.5,2.1,1.3,0.2,2,34.3,1,0,2.5,,,,
2023-24,LAC,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,0.2,2.4,2.6,1.1,0.9,0.6,0.3,1.8,20.3,0,0,2.8,,,,
2022-23,LAC,60,26.1,17,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,1.7,0.8,0.3,2.1,24.9,0,0,-2.1,,,,
2021-22,TOT,45,32.4,19,6.2,13.4,46.1,2.4,5.6,41.9,4.2,5.2,81.1,0.4,2.8,3.2,2.1,1.5,0.9,0.5,2.4,28.7,0,0,-4.9,,,,
2021-22,LAC,5,25.1,21.4,6.4,12.6,50.8,2.6,4.8,54.2,6,7,85.7,0.6,2.2,2.8,2.8,1.4,0.4,0.8,2.8,31.2,0,0,-2.6,,,,
2021-22,POR,40,33.3,18.7,6.2,13.6,45.6,2.3,5.7,40.6,4,5,80.3,0.4,2.9,3.3,2.1,1.6,1,0.4,2.3,28.4,0,0,-5.2,,,,
2020-21,TOT,69,32,18.6,6.3,13.3,47.7,2.5,6,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.7,1.2,0.3,2.3,27.8,0,0,1.1,,,,
2020-21,POR,27,34.4,17,5.8,13,44.3,2,5.4,36.1,3.5,4,88,0.9,2.4,3.3,1.9,1.6,1.3,0.4,2.3,27.3,0,0,3.6,,,,
2020-21,TOR,42,30.4,19.6,6.7,13.5,49.8,2.8,6.4,43.9,3.4,3.9,86.5,0.5,2.5,3,1.8,1.8,1.1,0.2,2.3,28,0,0,-0.5,,,,
2019-20,TOR,52,28.4,16,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,0.5,3.2,3.7,1.8,1.5,1.2,0.4,2.1,26.2,0,0,2.8,,,,
2018-19,TOR,60,18.8,8.6,3.2,6.7,48.3,1.1,2.8,40,1,1.3,82.7,0.3,2.1,2.3,1.5,1.1,0.7,0.2,1.6,15.2,0,0,0.3,,,,
2017-18,TOR,70,15.2,5.5,2.1,5.3,40.1,0.8,2.7,28.5,0.5,0.6,82.1,0.2,1.5,1.7,1.3,0.9,0.5,0.2,1.6,10.8,0,0,-0.3,,,,
2016-17,TOR,76,18,8.4,3,6.7,44.9,0.7,2.3,32.4,1.7,2.1,79.2,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,14.3,0,0,1.1,,,,
2015-16,TOR,49,14.8,5.6,2,4.7,42.4,0.7,1.8,40.4,0.9,1.1,81.1,0.3,1.9,2.3,1,0.7,0.6,0.2,1.2,11.5,0,0,1.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,LAC,26,33.3,114.4,110.3,4.1,12.1,1.19,10.5,1,9.1,5.1,8.8,59.8,63.5,27.1,99.44,12.6,,,,,,,,,,,
2023-24,LAC,76,26.2,118,113,5.1,5.9,1.24,8.3,0.8,8.5,4.8,6.7,59.4,62.6,19.3,100.37,8.7,,,,,,,,,,,
2022-23,LAC,60,26.1,109.2,113,-3.8,11.5,1.08,10.4,1.5,9.3,5.5,9.7,55.9,61.2,25.1,101.66,11,,,,,,,,,,,
2021-22,TOT,45,32.4,110.6,118.7,-8.1,10.6,1.39,11,1.3,8.9,5,7.9,54.9,60.3,23.1,99.29,9.4,,,,,,,,,,,
2021-22,LAC,5,25.1,113.3,119,-5.7,20.9,2,14,2.6,9.1,5.9,7,61.1,68.2,29.5,102.98,14.7,,,,,,,,,,,
2021-22,POR,40,33.3,110.3,118.6,-8.3,9.8,1.32,10.6,1.2,8.9,4.9,8,54.2,59.3,22.4,98.95,8.9,,,,,,,,,,,
2020-21,TOT,69,32,114.3,112.5,1.8,8.9,1.08,10.1,1.8,7.9,4.8,9.3,57,61.8,22.1,101.07,9.6,,,,,,,,,,,
2020-21,POR,27,34.4,116.5,111.1,5.4,7.9,1.24,10.5,2.3,6.9,4.6,8.5,51.8,57.6,20.1,100.28,7.9,,,,,,,,,,,
2020-21,TOR,42,30.4,112.7,113.5,-0.8,9.8,1,9.8,1.4,8.6,4.9,9.8,60.2,64.5,23.5,101.65,10.8,,,,,,,,,,,
2019-20,TOR,52,28.4,109.3,104.6,4.6,9.5,1.18,11,1.7,9.8,5.9,9.3,58.6,62.4,21,103.48,10.9,,,,,,,,,,,
