Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ORL,5,36.4,29,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50,2,0,5.8,,,,
2023-24,ORL,80,35,22.6,8,17.6,45.5,1.5,4.4,33.9,5.1,7,72.5,1,5.9,6.9,5.4,3.1,0.9,0.6,1.9,40.3,16,2,0,,,,
2022-23,ORL,72,33.7,20,6.7,15.6,42.7,1.2,4,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14,0,-3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ORL,5,36.4,115.5,107.8,7.8,27.7,2.55,17.2,6.5,16.8,11.7,6.7,55.2,59,31.1,101.83,15.9,,,,,,,,,,,
2023-24,ORL,80,35,111.9,111.9,0,25.4,1.74,18.5,2.9,17.8,10.1,10.6,49.7,54.6,29.2,98.2,13.5,,,,,,,,,,,
2022-23,ORL,72,33.7,111.1,115.3,-4.2,17.1,1.35,14.7,3.5,17.4,10.4,10.9,46.5,52.9,27.2,100.66,10.8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ORL,5,36.4,5,5.2,3.4,11.6,14.8,7,12,34.8,0.8,1.2,2.6,7.4,,,,,,,,,,,,,,
2023-24,ORL,80,35,3.9,2.3,3,9.7,11.7,9.1,10.7,35,0.6,1.1,1.9,4.8,,,,,,,,,,,,,,
2022-23,ORL,72,33.7,3.1,2,2.7,8.5,12.5,9.7,9.4,34.5,0.5,1.3,2.2,5,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ORL,5,36.4,67,33,51,11,22.8,11.7,26.2,17.2,40,48.6,51.4,54.5,45.5,50,50,,,,,,,,,,,
2023-24,ORL,80,35,75.1,24.9,57.8,14.9,19.8,13.2,22.4,17.1,42.9,36.3,63.7,65.5,34.5,41.7,58.3,,,,,,,,,,,
2022-23,ORL,72,33.7,74.6,25.4,54.8,12.4,17.7,13.4,27.5,15.6,42.4,40.4,59.6,70.6,29.4,45.7,54.3,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,ORL,5,182,31.1,32.2,30.3,19.6,20.1,41.3,49.2,30,24.1,25.4,28.6,20.4,8.8,16,42.9,17.1,42,32.5,,,,,,,,
2023-24,ORL,80,2799,29.2,27.4,28.3,18.8,19.4,37,38.3,13.5,25.7,22.7,30.6,29.7,14.8,15.8,32,13.6,31,28.2,,,,,,,,
2022-23,ORL,72,2430,27.2,23.3,26,16.3,19.5,38.4,40.2,17.3,25.3,23.5,22.9,26.4,15.2,18.9,35.7,15.8,35.4,25.4,,,,,,,,
