Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,OKC,32,34.5,31.3,11.1,21,52.8,2.2,6.2,35,7,7.9,87.8,0.8,4.7,5.5,6,2.7,2,1.2,2.1,53.7,2,0,12.1,,,,
2023-24,OKC,75,34,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,0.9,4.7,5.5,6.2,2.2,2,0.9,2.5,52.5,8,0,8.2,,,,
2022-23,OKC,68,35.5,31.4,10.4,20.3,51,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4,4.8,5.5,2.8,1.6,1,2.8,50.4,3,0,2.2,,,,
2021-22,OKC,56,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30,5.9,7.2,81,0.7,4.3,5,5.9,2.8,1.3,0.8,2.5,42.8,6,1,-4.7,,,,
2020-21,OKC,35,33.7,23.7,8.2,16.1,50.8,2,4.9,41.8,5.3,6.5,80.8,0.5,4.2,4.7,5.9,3,0.8,0.7,2,39.5,3,0,-5.3,,,,
2019-20,OKC,70,34.7,19,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.9,1.1,0.7,1.7,34.5,9,1,2.2,,,,
2018-19,LAC,82,26.5,10.8,4.2,8.7,47.6,0.6,1.7,36.7,1.9,2.4,80,0.7,2.1,2.8,3.3,1.7,1.2,0.5,2.1,22.6,1,0,-1.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,OKC,32,34.5,118.7,101.9,16.7,28.7,2.24,18.3,2.3,12.5,7.5,8.2,57.9,63.9,32.4,101.37,20.3,,,,,,,,,,,
2023-24,OKC,75,34,121,109.7,11.3,28.7,2.87,19.5,2.6,12.8,8,6.8,56.7,63.6,31.7,102.45,18.7,,,,,,,,,,,
2022-23,OKC,68,35.5,116.1,113.3,2.7,24.9,1.93,16.4,2.3,10.9,6.5,8.5,53.1,62.6,31.8,103.47,17.5,,,,,,,,,,,
2021-22,OKC,56,34.7,106.6,113,-6.4,29.3,2.15,19.4,1.7,11.4,6.5,9,49.6,55.7,29.8,101.41,13.4,,,,,,,,,,,
2020-21,OKC,35,33.7,107.2,114.9,-7.7,31.1,1.95,21.2,1.5,11.9,6.7,10.8,57.1,62.3,28.3,100.1,14.6,,,,,,,,,,,
2019-20,OKC,70,34.7,112.7,109.2,3.5,14.8,1.73,15.1,2,14.6,8.5,8.7,51.4,56.8,23.5,99.6,12.3,,,,,,,,,,,
2018-19,LAC,82,26.5,108.8,110.8,-2,17.9,1.91,22.3,2.6,7.8,5.3,11.6,51.2,55.4,18.2,103.25,8.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,OKC,32,34.5,5.6,2.7,3.7,13.4,8.8,11.6,8.9,29.5,1.2,0.8,2.1,5.6,,,,,,,,,,,,,,
2023-24,OKC,75,34,5.1,1.8,3.5,14.3,9.6,10.7,8.4,32.5,0.9,1,2.5,6.4,,,,,,,,,,,,,,
2022-23,OKC,68,35.5,5.5,1.9,4,15.9,10.9,11.8,8.5,38.2,1,1.4,2.8,7.2,,,,,,,,,,,,,,
2021-22,OKC,56,34.7,3,1.9,1.9,12,11.1,9.7,7.9,34.4,0.8,1.1,2.5,5.5,,,,,,,,,,,,,,
2020-21,OKC,35,33.7,2.4,1.7,1.3,11.3,12.1,9.7,6.6,35.4,0.7,1.1,2,5.3,,,,,,,,,,,,,,
2019-20,OKC,70,34.7,3.3,0.9,2,9.3,11.3,9.2,7.4,36.5,0.7,0.9,1.7,4.4,,,,,,,,,,,,,,
2018-19,LAC,82,26.5,1.6,0.6,1.7,5.3,9.7,7.4,8.5,29.3,0.5,0.8,2.1,2.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,OKC,32,34.5,70.6,29.4,57,14,20.7,11.8,22.3,17.8,43,22.8,77.2,36.2,63.8,25.4,74.6,,,,,,,,,,,
2023-24,OKC,75,34,81.9,18.1,62.2,14.7,12.6,11.5,25.2,17,47.5,22.3,77.7,36.8,63.2,24,76,,,,,,,,,,,
2022-23,OKC,68,35.5,87.8,12.2,60.5,9.7,8.1,12.7,31.4,17.7,50.8,20.1,79.9,31,69,21,79,,,,,,,,,,,
2021-22,OKC,56,34.7,71.8,28.2,56.6,7.6,19.5,7.8,23.9,12.3,49,13.7,86.3,30.3,69.7,16.8,83.2,,,,,,,,,,,
2020-21,OKC,35,33.7,69.9,30.1,52,4.3,25.7,5.4,22.3,10.1,47.7,7.4,92.6,29.6,70.4,12.9,87.1,,,,,,,,,,,
2019-20,OKC,70,34.7,75.3,24.7,58.8,9.9,19.6,10.4,21.6,17.3,48.8,23.5,76.5,54,46,29.1,70.9,,,,,,,,,,,
2018-19,LAC,82,26.5,80.6,19.4,65.2,16.2,17.2,16.1,17.6,14.7,49,31,69,90.2,9.8,39.9,60.1,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,OKC,32,1104,32.4,34.5,31.2,21.1,21.4,57.9,54.4,10.5,19.6,17.3,32.2,33.1,22.6,23.9,23.1,14,42.8,36.2,,,,,,,,
2023-24,OKC,75,2553,31.7,32.9,30.9,13.2,14.6,54.5,52.7,14,19.7,18.5,33,27.2,32.8,19,29.1,17.8,46.3,34.2,,,,,,,,
2022-23,OKC,68,2416,31.8,32.1,29.8,10.1,10.6,61.8,57.2,10.2,16.9,15.1,31.1,30.3,26.9,30.2,35.4,18,45,35.3,,,,,,,,
2021-22,OKC,56,1942,29.8,29.7,28.9,18.8,20.1,47.8,45.2,9.2,16.7,15,37.8,29.4,21.8,25.8,26.4,19.6,41.2,31.4,,,,,,,,
2020-21,OKC,35,1180,28.3,30.1,26.6,20.9,18.3,46.8,44.9,10,17.1,15.8,39.7,32.1,17.6,21.1,37.7,16.6,40.6,31.4,,,,,,,,
2019-20,OKC,70,2428,23.5,23.3,23.7,16.1,17.1,28,28,11.6,21.2,19.4,21.7,20.6,20.2,20.1,30.8,12.4,26.3,23.5,,,,,,,,
2018-19,LAC,82,2174,18.2,18.5,18.4,11,12,17,16.9,14,11.1,11.7,24.5,20.8,31.5,21.5,25.8,18.2,18,17.5,,,,,,,,
