Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIA,31,35.3,24.3,8.4,17.6,47.7,4,9.7,41,3.5,4.1,85,0.3,5.3,5.6,5.2,2.5,0.7,0.1,1.5,38.7,5,0,2.3,,,,
2023-24,MIA,42,33.5,20.8,7.7,17.5,44.1,3.1,7.9,39.6,2.3,2.6,85.6,0.5,4.8,5.3,4.5,2.2,0.7,0.1,1.5,34,2,0,0.7,,,,
2022-23,MIA,67,34.9,20.1,7.3,16.6,43.9,3,8,37.8,2.5,2.7,93.4,0.4,5,5.4,4.2,2.4,0.8,0.2,1.5,33.5,6,1,2.5,,,,
2021-22,MIA,66,32.6,20.7,7.6,17,44.7,2.7,6.7,39.9,2.9,3.3,86.8,0.5,4.5,5,4,2.6,0.7,0.1,1.4,32.4,3,0,3.6,,,,
2020-21,MIA,54,30.3,15.1,5.7,12.9,43.9,2,5.5,36,1.7,2.2,80.3,0.5,4.5,5,3.4,1.9,0.6,0.3,1.3,27.2,5,0,-1.6,,,,
2019-20,MIA,55,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87,0.3,3.8,4.1,2.2,1.6,0.6,0.2,1.4,22.5,1,0,-0.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MIA,31,35.3,114.7,112.4,2.3,24.5,2.11,19.3,0.9,14.9,7.8,9.1,59,62.5,26.2,98.14,14.2,,,,,,,,,,,
2023-24,MIA,42,33.5,112.1,111.1,1,21.8,2.02,17.8,1.3,14,7.8,8.8,53.1,55.8,26.8,98.48,11.9,,,,,,,,,,,
2022-23,MIA,67,34.9,113.9,111.3,2.7,19,1.77,17.3,1.2,15.4,8.1,9.8,53.1,56.6,25,97.15,11.9,,,,,,,,,,,
2021-22,MIA,66,32.6,113.4,108.1,5.3,20.5,1.51,15.9,1.5,13.3,7.6,10.6,52.5,56.1,27.8,97.92,12.9,,,,,,,,,,,
2020-21,MIA,54,30.3,107.7,110.6,-2.9,18.4,1.82,17.9,1.5,14.4,8.1,9.8,51.6,54.3,22.5,98.46,10.8,,,,,,,,,,,
2019-20,MIA,55,27.4,107.9,109.6,-1.7,13.1,1.39,13.8,1.1,13.1,7.2,9.9,52,55,21.3,100.21,9.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
