Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,SAS,28,32.9,25.6,9.2,19.1,48,3.3,9.4,35.5,3.9,4.4,87.9,1.8,8.2,10,3.9,3.4,1,3.9,2,54.8,12,1,4.1,,,,
2023-24,SAS,71,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,3.7,1.2,3.6,2.2,50.8,43,2,-2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,SAS,28,32.9,112.3,107.1,5.2,20.7,1.13,13.7,5.6,22.7,14.6,12.1,56.7,60.7,31.6,100.16,17.9,,,,,,,,,,,
2023-24,SAS,71,29.7,107.9,111.2,-3.2,21.3,1.05,14.6,7.4,27.3,17.4,13.9,51.9,56.5,31.2,103.4,16.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,SAS,28,32.9,3.9,2.8,1.9,9.6,11.6,9.7,11.5,29.9,3.9,0.5,2,5.5,,,,,,,,,,,,,,
2023-24,SAS,71,29.7,3.1,2.8,2.6,10.1,11.7,8,8.6,32.4,3.6,0.4,2.2,5.4,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,SAS,28,32.9,51,49,45.8,8.4,39,7.5,15.2,15.2,37.4,65.9,34.1,87.1,12.9,73.5,26.5,,,,,,,,,,,
2023-24,SAS,71,29.7,66.8,33.2,55.6,8.4,25.2,12.3,19.2,14.7,47.2,72.8,27.2,79.7,20.3,74.4,25.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,SAS,28,920,31.6,33,32.3,32.1,31.6,34.3,32.6,28.3,34.7,33.4,18.9,34,20.4,71.9,20.5,21,42.5,33.1,,,,,,,,
2023-24,SAS,71,2106,31.2,30,30.2,23.1,24.3,43.7,43.1,35.6,38.9,38.2,20.2,37.3,27.4,70.8,15.2,22.9,45.2,31.1,,,,,,,,
