Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 14, 2025 - POR vs. BKN",L,31:49:00,11,3,12,25,2,6,33.3,3,3,100,0,1,1,4,0,0,2,1,-19,POR
"Jan 11, 2025 - POR vs. MIA",L,33:17:00,28,10,23,43.5,7,14,50,1,1,100,1,3,4,3,0,0,2,2,-1,
"Jan 09, 2025 - POR @ DAL",L,37:09:00,22,9,22,40.9,4,10,40,0,0,0,0,1,1,4,1,0,1,1,0,
"Jan 08, 2025 - POR @ NOP",W,28:44:00,17,7,11,63.6,3,7,42.9,0,0,0,1,5,6,5,1,0,0,0,15,
"Jan 06, 2025 - POR @ DET",L,36:21:00,36,14,21,66.7,8,12,66.7,0,0,0,0,2,2,9,0,0,4,3,-2,
"Jan 04, 2025 - POR @ MIL",W,40:37:00,28,9,20,45,5,12,41.7,5,5,100,0,3,3,8,0,0,4,1,10,
"Jan 02, 2025 - POR @ LAL",L,36:39:00,23,8,17,47.1,4,9,44.4,3,3,100,0,3,3,5,2,0,4,2,-5,
"Dec 30, 2024 - POR vs. PHI",L,30:14:00,25,9,18,50,4,10,40,3,4,75,0,4,4,4,0,0,1,4,-17,
"Dec 28, 2024 - POR vs. DAL",W,39:38:00,22,8,18,44.4,4,8,50,2,2,100,0,4,4,8,0,0,2,1,7,
"Dec 26, 2024 - POR vs. UTA",W,30:21:00,8,3,12,25,2,8,25,0,0,0,1,2,3,3,2,0,3,3,-15,
"Dec 23, 2024 - POR @ DAL",L,28:53:00,10,5,12,41.7,0,3,0,0,0,0,0,0,0,5,0,0,2,2,-22,
"Dec 21, 2024 - POR @ SAS",L,32:38:00,18,7,22,31.8,3,11,27.3,1,1,100,1,3,4,6,5,0,4,2,-15,
"Dec 19, 2024 - POR vs. DEN",W,35:00:00,28,11,20,55,4,11,36.4,2,3,66.7,0,1,1,10,0,0,3,2,3,
"Dec 15, 2024 - POR @ PHX",L,36:43:00,20,7,15,46.7,4,10,40,2,2,100,1,3,4,5,2,0,1,2,-8,
"Dec 13, 2024 - POR vs. SAS",L,37:10:00,30,8,15,53.3,3,8,37.5,11,11,100,0,3,3,7,2,0,0,1,-3,
"Dec 08, 2024 - POR @ LAL",L,30:54:00,14,5,13,38.5,1,6,16.7,3,3,100,0,1,1,4,0,1,3,0,-16,
"Dec 06, 2024 - POR vs. UTA",L,27:59:00,14,6,15,40,2,7,28.6,0,0,0,1,4,5,5,0,0,0,3,-34,
"Dec 03, 2024 - POR @ LAC",L,30:04:00,7,2,11,18.2,0,6,0,3,4,75,1,1,2,6,1,0,3,2,-20,
"Dec 01, 2024 - POR vs. DAL",L,23:10,27,9,11,81.8,6,8,75,3,3,100,0,3,3,5,1,0,3,6,4,
"Nov 29, 2024 - POR vs. SAC",W,40:43:00,21,8,14,57.1,3,8,37.5,2,2,100,0,5,5,9,2,0,4,1,9,
"Nov 27, 2024 - POR @ IND",L,37:36:00,30,10,21,47.6,6,12,50,4,6,66.7,0,4,4,6,1,0,0,2,-15,
"Nov 25, 2024 - POR @ MEM",L,29:45:00,5,2,14,14.3,1,7,14.3,0,0,0,2,2,4,4,2,0,1,5,-22,
"Nov 23, 2024 - POR @ HOU",W,37:23:00,25,10,20,50,4,11,36.4,1,1,100,0,4,4,3,0,0,4,4,8,
"Nov 22, 2024 - POR @ HOU",L,21:28,8,2,7,28.6,1,3,33.3,3,3,100,0,2,2,0,1,0,4,1,-4,
"Nov 12, 2024 - POR vs. MIN",W,5:05,2,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-1,
"Nov 10, 2024 - POR vs. MEM",L,19:20,4,2,9,22.2,0,4,0,0,0,0,0,1,1,1,0,0,4,2,-24,
"Nov 08, 2024 - POR @ MIN",L,26:47:00,14,6,16,37.5,2,7,28.6,0,0,0,0,1,1,2,1,0,1,2,-23,
"Nov 07, 2024 - POR @ SAS",L,32:45:00,19,7,16,43.8,3,9,33.3,2,2,100,0,0,0,7,1,0,3,2,-14,
"Nov 04, 2024 - POR @ NOP",W,34:06:00,24,10,17,58.8,3,8,37.5,1,1,100,0,1,1,4,1,0,2,1,13,
"Nov 02, 2024 - POR @ PHX",L,40:33:00,20,8,25,32,4,13,30.8,0,1,0,2,6,8,6,2,0,1,2,6,
"Nov 01, 2024 - POR vs. OKC",L,28:29:00,9,1,8,12.5,1,3,33.3,6,6,100,0,4,4,6,0,1,2,0,-9,
"Oct 30, 2024 - POR @ LAC",W,36:17:00,25,10,24,41.7,3,9,33.3,2,2,100,0,2,2,6,0,0,1,0,2,
"Oct 28, 2024 - POR @ SAC",L,31:38:00,12,4,12,33.3,1,7,14.3,3,4,75,0,1,1,3,0,0,4,2,-23,
"Oct 27, 2024 - POR vs. NOP",W,32:50:00,27,8,17,47.1,5,10,50,6,6,100,0,2,2,6,2,0,2,0,25,
"Oct 25, 2024 - POR vs. NOP",L,36:09:00,24,6,20,30,2,9,22.2,10,11,90.9,0,1,1,7,1,0,4,2,4,
"Oct 23, 2024 - POR vs. GSW",L,32:37:00,15,5,12,41.7,2,7,28.6,3,3,100,0,2,2,3,1,0,5,3,-16,
"Mar 22, 2024 - POR vs. LAC",L,21:50,3,1,6,16.7,1,4,25,0,0,0,0,0,0,6,1,0,0,0,-13,
"Mar 20, 2024 - POR vs. LAC",L,28:25:00,14,6,11,54.5,2,5,40,0,0,0,0,4,4,1,0,1,3,2,-17,
"Mar 18, 2024 - POR @ CHI",L,38:49:00,30,10,24,41.7,4,14,28.6,6,7,85.7,0,3,3,9,0,0,1,2,3,
"Mar 16, 2024 - POR @ NOP",L,35:47:00,25,9,18,50,5,10,50,2,2,100,0,4,4,8,0,0,5,1,-5,
"Mar 13, 2024 - POR vs. ATL",W,42:57:00,36,10,23,43.5,5,13,38.5,11,11,100,2,5,7,8,1,0,1,2,13,
"Mar 11, 2024 - POR vs. BOS",L,33:48:00,17,6,18,33.3,3,9,33.3,2,2,100,0,4,4,3,0,0,1,3,-6,
"Mar 09, 2024 - POR vs. TOR",W,42:05:00,23,8,18,44.4,4,9,44.4,3,3,100,2,2,4,7,1,0,5,1,1,
"Mar 08, 2024 - POR vs. HOU",L,33:40:00,23,7,14,50,4,7,57.1,5,7,71.4,0,3,3,3,3,0,6,2,-14,
"Mar 06, 2024 - POR vs. OKC",L,39:43:00,29,10,19,52.6,5,10,50,4,4,100,0,3,3,5,1,0,4,2,-1,
"Mar 04, 2024 - POR @ MIN",L,43:01:00,34,13,26,50,5,13,38.5,3,3,100,0,5,5,14,0,0,4,4,1,
