Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 15, 2025 - MIN vs. GSW",L,40:54:00,28,7,19,36.8,4,9,44.4,10,11,90.9,1,7,8,2,1,1,5,1,-2,MIN
"Jan 13, 2025 - MIN @ WAS",W,36:24:00,41,14,25,56,5,11,45.5,8,8,100,2,4,6,7,3,1,7,2,18,
"Jan 11, 2025 - MIN vs. MEM",L,39:18:00,15,4,13,30.8,0,5,0,7,7,100,0,5,5,6,1,0,6,3,-5,
"Jan 09, 2025 - MIN @ ORL",W,36:22:00,21,5,19,26.3,4,11,36.4,7,9,77.8,1,2,3,7,2,0,2,2,20,
"Jan 07, 2025 - MIN @ NOP",W,38:22:00,32,10,21,47.6,7,11,63.6,5,6,83.3,1,8,9,3,2,0,4,3,3,
"Jan 06, 2025 - MIN vs. LAC",W,37:10:00,37,14,29,48.3,6,13,46.2,3,4,75,1,6,7,8,1,0,2,2,4,
"Jan 04, 2025 - MIN @ DET",L,44:27:00,53,16,31,51.6,10,15,66.7,11,12,91.7,1,5,6,2,0,0,6,4,-3,
"Jan 02, 2025 - MIN vs. BOS",L,36:13:00,15,5,16,31.3,2,9,22.2,3,4,75,0,4,4,6,0,0,2,0,-10,
"Dec 31, 2024 - MIN @ OKC",L,38:49:00,20,6,12,50,4,7,57.1,4,4,100,0,7,7,2,0,1,3,3,-3,
"Dec 29, 2024 - MIN vs. SAS",W,38:12:00,14,6,20,30,1,9,11.1,1,1,100,1,7,8,4,0,1,2,1,2,
"Dec 27, 2024 - MIN @ HOU",W,35:18:00,24,9,17,52.9,4,8,50,2,3,66.7,0,5,5,3,0,1,3,3,-1,
"Dec 25, 2024 - MIN @ DAL",W,39:13:00,26,11,24,45.8,4,7,57.1,0,0,0,1,7,8,5,2,1,4,0,8,
"Dec 23, 2024 - MIN @ ATL",L,32:17:00,16,7,20,35,1,7,14.3,1,1,100,2,4,6,4,2,0,5,1,-23,
"Dec 21, 2024 - MIN vs. GSW",L,39:05:00,19,6,20,30,4,11,36.4,3,4,75,1,6,7,5,0,0,1,4,-1,
"Dec 19, 2024 - MIN vs. NYK",L,33:35:00,17,7,16,43.8,3,7,42.9,0,0,0,0,5,5,7,3,1,2,0,-15,
"Dec 15, 2024 - MIN @ SAS",W,28:27:00,26,10,21,47.6,3,7,42.9,3,3,100,0,5,5,2,0,0,1,3,9,
"Dec 13, 2024 - MIN vs. LAL",W,32:37:00,23,9,20,45,2,7,28.6,3,5,60,2,4,6,1,1,1,5,1,25,
"Dec 08, 2024 - MIN @ GSW",L,36:34:00,27,10,19,52.6,5,9,55.6,2,2,100,0,5,5,6,1,0,6,3,-3,
"Dec 06, 2024 - MIN @ GSW",W,34:57:00,30,11,18,61.1,4,10,40,4,4,100,0,4,4,9,1,2,4,1,23,
"Dec 04, 2024 - MIN @ LAC",W,26:12:00,16,5,14,35.7,4,9,44.4,2,2,100,1,5,6,4,4,0,2,3,27,
"Dec 02, 2024 - MIN vs. LAL",W,26:57:00,8,3,13,23.1,1,5,20,1,2,50,0,7,7,3,2,0,3,1,1,
"Nov 29, 2024 - MIN vs. LAC",W,36:01:00,21,7,21,33.3,4,9,44.4,3,5,60,2,2,4,3,2,0,4,0,-5,
"Nov 27, 2024 - MIN vs. SAC",L,37:25:00,29,9,24,37.5,4,9,44.4,7,8,87.5,1,4,5,5,3,0,1,0,-5,
"Nov 26, 2024 - MIN vs. HOU",L,43:15:00,29,8,22,36.4,3,12,25,10,10,100,3,7,10,1,1,3,3,1,-14,
"Nov 24, 2024 - MIN @ BOS",L,39:17:00,28,9,21,42.9,6,11,54.5,4,4,100,0,9,9,7,0,0,3,3,2,
"Nov 21, 2024 - MIN @ TOR",L,36:01:00,26,9,20,45,5,9,55.6,3,3,100,1,2,3,2,2,2,2,4,4,
"Nov 17, 2024 - MIN vs. PHX",W,38:50:00,24,9,14,64.3,3,7,42.9,3,3,100,0,4,4,6,1,0,2,2,-6,
"Nov 15, 2024 - MIN @ SAC",W,41:55:00,36,14,27,51.9,6,14,42.9,2,2,100,1,4,5,2,0,0,2,4,16,
"Nov 13, 2024 - MIN @ POR",L,40:08:00,24,10,25,40,0,9,0,4,4,100,0,4,4,4,4,1,3,2,-1,
"Nov 12, 2024 - MIN @ POR",L,37:01:00,26,8,19,42.1,4,10,40,6,6,100,0,0,0,3,2,1,1,2,-20,
"Nov 10, 2024 - MIN vs. MIA",L,37:16:00,22,8,24,33.3,4,14,28.6,2,3,66.7,1,4,5,6,2,0,6,3,2,
"Nov 08, 2024 - MIN vs. POR",W,30:07:00,37,12,21,57.1,9,15,60,4,5,80,0,6,6,5,1,1,6,2,29,
"Nov 07, 2024 - MIN @ CHI",W,34:49:00,33,13,23,56.5,5,9,55.6,2,2,100,3,5,8,6,0,1,2,2,15,
"Nov 04, 2024 - MIN vs. CHA",W,29:05:00,21,6,11,54.5,4,6,66.7,5,7,71.4,0,5,5,1,1,0,1,1,9,
"Nov 02, 2024 - MIN @ SAS",L,35:33:00,21,8,17,47.1,3,7,42.9,2,4,50,0,5,5,2,2,0,3,0,-20,
"Nov 01, 2024 - MIN vs. DEN",W,38:18:00,29,11,23,47.8,7,14,50,0,0,0,0,4,4,4,1,1,2,1,5,
"Oct 29, 2024 - MIN vs. DAL",L,37:20:00,37,12,20,60,7,13,53.8,6,12,50,0,6,6,3,0,1,5,1,-8,
"Oct 26, 2024 - MIN vs. TOR",W,39:11:00,24,9,21,42.9,5,12,41.7,1,3,33.3,0,6,6,4,1,1,4,3,5,
"Oct 24, 2024 - MIN @ SAC",W,39:12:00,32,10,24,41.7,5,15,33.3,7,7,100,1,6,7,4,1,0,3,4,8,
"Oct 22, 2024 - MIN @ LAL",L,41:04:00,27,10,25,40,5,13,38.5,2,3,66.7,0,6,6,3,0,0,4,3,0,
"Apr 14, 2024 - MIN vs. PHX",L,35:10:00,13,3,7,42.9,0,2,0,7,8,87.5,1,5,6,4,1,1,5,3,-21,
"Apr 12, 2024 - MIN vs. ATL",W,27:16:00,14,4,12,33.3,0,5,0,6,6,100,0,4,4,4,2,0,3,4,0,
"Apr 10, 2024 - MIN @ DEN",L,34:52:00,25,9,18,50,2,6,33.3,5,7,71.4,0,2,2,4,0,0,1,1,-16,
"Apr 09, 2024 - MIN vs. WAS",W,37:34:00,51,17,29,58.6,6,13,46.2,11,11,100,1,5,6,7,0,0,2,0,6,
"Apr 07, 2024 - MIN @ LAL",W,34:44:00,26,9,20,45,3,8,37.5,5,5,100,0,1,1,8,1,0,1,1,2,
"Apr 05, 2024 - MIN @ PHX",L,32:35:00,17,6,19,31.6,2,6,33.3,3,3,100,3,5,8,3,3,0,4,3,-13,
"Apr 03, 2024 - MIN vs. TOR",W,30:07:00,28,10,23,43.5,5,12,41.7,3,5,60,0,3,3,6,2,0,0,0,26,
"Apr 02, 2024 - MIN vs. HOU",W,36:12:00,21,5,16,31.3,0,6,0,11,11,100,1,4,5,3,2,0,3,1,0,
"Mar 31, 2024 - MIN vs. CHI",L,36:07:00,22,9,20,45,0,5,0,4,6,66.7,2,9,11,5,0,1,6,1,-10,
"Mar 29, 2024 - MIN @ DEN",W,39:20:00,25,8,19,42.1,0,8,0,9,10,90,1,3,4,5,3,0,2,2,11,
"Mar 27, 2024 - MIN vs. DET",W,29:11:00,9,4,11,36.4,1,4,25,0,2,0,1,2,3,5,1,0,3,0,9,
"Mar 24, 2024 - MIN vs. GSW",W,37:33:00,23,7,18,38.9,4,8,50,5,8,62.5,0,6,6,8,0,0,2,1,-9,
"Mar 22, 2024 - MIN vs. CLE",W,34:43:00,16,6,17,35.3,1,1,100,3,4,75,2,11,13,5,0,0,3,1,12,
"Mar 19, 2024 - MIN vs. DEN",L,37:40:00,30,13,26,50,3,8,37.5,1,2,50,1,7,8,8,2,0,3,1,-8,
"Mar 18, 2024 - MIN @ UTA",W,37:51:00,32,13,23,56.5,2,8,25,4,4,100,1,6,7,8,1,2,3,2,-1,
"Mar 16, 2024 - MIN @ UTA",W,35:12:00,31,12,20,60,5,7,71.4,2,3,66.7,1,9,10,5,3,3,4,1,16,
"Mar 12, 2024 - MIN @ LAC",W,36:30:00,37,15,29,51.7,2,8,25,5,7,71.4,2,6,8,4,1,0,2,3,22,
"Mar 10, 2024 - MIN @ LAL",L,39:53:00,25,10,23,43.5,2,9,22.2,3,4,75,1,6,7,7,2,2,3,2,-14,
"Mar 08, 2024 - MIN @ CLE",L,42:22:00,19,7,27,25.9,0,7,0,5,5,100,1,4,5,3,1,1,5,3,-20,
"Mar 07, 2024 - MIN @ IND",W,38:36:00,44,18,35,51.4,3,7,42.9,5,8,62.5,2,4,6,3,2,2,0,1,2,
"Mar 04, 2024 - MIN vs. POR",W,34:42:00,13,4,10,40,1,3,33.3,4,6,66.7,0,4,4,6,1,0,2,2,8,
"Mar 03, 2024 - MIN vs. LAC",L,36:43:00,27,9,20,45,3,10,30,6,6,100,0,5,5,2,3,0,3,1,10,
"Mar 01, 2024 - MIN vs. SAC",L,18:48,11,2,11,18.2,1,3,33.3,6,6,100,0,2,2,2,0,1,1,0,-3,
"Feb 28, 2024 - MIN vs. MEM",W,39:32:00,34,11,21,52.4,1,6,16.7,11,11,100,0,2,2,4,0,1,3,3,8,
"Feb 27, 2024 - MIN vs. SAS",W,33:05:00,34,13,29,44.8,4,10,40,4,4,100,1,4,5,5,4,1,4,0,5,
"Feb 24, 2024 - MIN vs. BKN",W,37:50:00,29,11,23,47.8,1,3,33.3,6,9,66.7,0,8,8,3,2,1,1,0,16,
"Feb 23, 2024 - MIN vs. MIL",L,37:51:00,28,10,27,37,4,12,33.3,4,6,66.7,0,9,9,5,1,0,3,2,-16,
"Feb 15, 2024 - MIN @ POR",W,32:37:00,34,12,21,57.1,3,7,42.9,7,8,87.5,1,5,6,7,2,1,1,1,36,
"Feb 13, 2024 - MIN @ POR",W,34:18:00,41,16,27,59.3,4,8,50,5,5,100,0,4,4,2,2,1,2,1,16,
"Feb 12, 2024 - MIN @ LAC",W,32:24:00,23,8,18,44.4,1,11,9.1,6,6,100,0,7,7,8,1,0,1,2,18,
"Feb 08, 2024 - MIN @ MIL",W,35:39:00,26,9,20,45,4,11,36.4,4,6,66.7,0,3,3,9,1,0,0,3,16,
"Feb 06, 2024 - MIN @ CHI",L,43:33:00,38,12,26,46.2,5,9,55.6,9,11,81.8,0,12,12,5,2,1,5,5,-4,
"Feb 04, 2024 - MIN vs. HOU",W,33:30:00,32,11,22,50,4,8,50,6,8,75,1,5,6,1,1,1,4,3,27,
"Feb 02, 2024 - MIN vs. ORL",L,35:28:00,22,9,18,50,2,8,25,2,3,66.7,0,1,1,5,1,0,3,1,6,
"Jan 31, 2024 - MIN vs. DAL",W,29:56:00,9,3,5,60,1,2,50,2,2,100,0,5,5,5,0,0,2,1,18,
"Jan 29, 2024 - MIN @ OKC",W,40:22:00,27,10,20,50,3,5,60,4,4,100,0,4,4,4,1,0,4,4,-1,
"Jan 27, 2024 - MIN @ SAS",L,38:24:00,32,12,18,66.7,6,8,75,2,4,50,1,5,6,12,1,0,4,0,7,
"Jan 25, 2024 - MIN @ BKN",W,35:41:00,24,8,23,34.8,3,7,42.9,5,6,83.3,0,1,1,3,1,0,3,3,-5,
"Jan 24, 2024 - MIN @ WAS",W,34:02:00,38,11,28,39.3,3,10,30,13,14,92.9,1,2,3,5,1,0,4,4,8,
