Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIN vs. GSW",L,39:13:00,28,9,19,47.4,6,12,50,4,6,66.7,4,2,6,9,1,0,0,3,0,MIN
"Jan 13, 2025 - MIN @ WAS",W,28:53:00,13,4,15,26.7,3,11,27.3,2,2,100,2,1,3,0,1,0,3,1,4,
"Jan 11, 2025 - MIN vs. MEM",L,36:13:00,27,9,14,64.3,6,11,54.5,3,3,100,1,9,10,7,2,0,3,2,-1,
"Jan 09, 2025 - MIN @ ORL",W,24:28:00,12,4,10,40,4,7,57.1,0,1,0,1,1,2,4,2,0,3,0,-1,
"Jan 07, 2025 - MIN @ NOP",W,28:43:00,10,4,12,33.3,2,8,25,0,0,0,0,2,2,7,3,0,3,0,18,
"Jan 06, 2025 - MIN vs. LAC",W,31:11:00,15,5,12,41.7,3,8,37.5,2,2,100,1,8,9,1,0,0,2,3,1,
"Jan 04, 2025 - MIN @ DET",L,26:10:00,5,2,6,33.3,1,5,20,0,0,0,1,3,4,3,2,0,3,1,-10,
"Jan 02, 2025 - MIN vs. BOS",L,28:35:00,12,3,5,60,3,5,60,3,3,100,0,3,3,3,0,0,2,5,-7,
"Dec 31, 2024 - MIN @ OKC",L,29:50:00,10,3,10,30,2,7,28.6,2,2,100,1,3,4,5,0,0,2,2,-6,
"Dec 29, 2024 - MIN vs. SAS",W,33:41:00,26,8,15,53.3,5,10,50,5,6,83.3,1,6,7,4,1,0,2,1,23,
"Dec 27, 2024 - MIN @ HOU",W,36:37:00,22,7,12,58.3,6,10,60,2,2,100,0,4,4,4,2,1,2,2,11,
"Dec 25, 2024 - MIN @ DAL",W,24:42:00,11,4,10,40,3,7,42.9,0,0,0,0,3,3,1,0,0,1,1,0,
"Dec 23, 2024 - MIN @ ATL",L,19:11,8,2,8,25,2,6,33.3,2,2,100,1,2,3,3,1,0,0,1,-9,
"Dec 21, 2024 - MIN vs. GSW",L,25:33:00,19,7,12,58.3,3,6,50,2,3,66.7,1,3,4,4,2,0,2,1,-5,
"Dec 19, 2024 - MIN vs. NYK",L,25:28:00,15,5,9,55.6,3,6,50,2,2,100,1,5,6,3,0,0,2,1,-20,
"Dec 15, 2024 - MIN @ SAS",W,20:11,7,3,7,42.9,1,5,20,0,0,0,0,5,5,2,0,0,1,0,15,
"Dec 13, 2024 - MIN vs. LAL",W,19:54,3,1,4,25,1,3,33.3,0,0,0,0,3,3,2,2,0,1,1,-10,
"Dec 08, 2024 - MIN @ GSW",L,17:45,8,3,9,33.3,2,8,25,0,0,0,0,1,1,2,1,0,1,0,-11,
"Dec 06, 2024 - MIN @ GSW",W,24:51:00,5,2,7,28.6,1,5,20,0,0,0,0,4,4,6,1,1,1,1,9,
"Dec 04, 2024 - MIN @ LAC",W,21:15,3,1,5,20,1,4,25,0,0,0,2,1,3,2,2,0,2,1,9,
"Dec 02, 2024 - MIN vs. LAL",W,28:07:00,11,4,8,50,3,6,50,0,0,0,0,5,5,9,2,0,0,1,21,
"Nov 29, 2024 - MIN vs. LAC",W,21:43,9,3,6,50,3,5,60,0,0,0,0,2,2,5,0,0,2,1,4,
"Nov 27, 2024 - MIN vs. SAC",L,25:20:00,5,2,7,28.6,1,6,16.7,0,0,0,0,3,3,3,0,0,2,0,-9,
"Nov 26, 2024 - MIN vs. HOU",L,21:17,3,1,5,20,0,4,0,1,2,50,0,1,1,3,1,0,3,3,-15,
"Nov 24, 2024 - MIN @ BOS",L,28:54:00,11,4,8,50,3,6,50,0,0,0,0,3,3,2,1,1,2,1,-2,
"Nov 21, 2024 - MIN @ TOR",L,30:06:00,11,4,12,33.3,3,9,33.3,0,0,0,0,2,2,4,3,0,3,3,-9,
"Nov 17, 2024 - MIN vs. PHX",W,25:44:00,15,5,11,45.5,5,10,50,0,0,0,0,1,1,3,0,0,0,2,10,
"Nov 15, 2024 - MIN @ SAC",W,19:06,3,1,4,25,1,4,25,0,0,0,0,3,3,2,0,0,0,2,-14,
"Nov 13, 2024 - MIN @ POR",L,21:58,2,1,10,10,0,6,0,0,0,0,0,3,3,3,0,0,0,0,-8,
"Nov 12, 2024 - MIN @ POR",L,17:59,3,1,3,33.3,1,3,33.3,0,0,0,0,2,2,1,2,0,4,1,-20,
"Nov 10, 2024 - MIN vs. MIA",L,29:16:00,8,3,9,33.3,2,7,28.6,0,0,0,1,5,6,2,4,1,2,3,3,
"Nov 08, 2024 - MIN vs. POR",W,29:03:00,14,4,12,33.3,4,11,36.4,2,2,100,1,2,3,7,1,0,1,1,8,
"Nov 07, 2024 - MIN @ CHI",W,27:11:00,13,4,12,33.3,3,10,30,2,2,100,0,4,4,4,3,1,2,3,19,
"Nov 04, 2024 - MIN vs. CHA",W,28:17:00,14,5,9,55.6,3,6,50,1,1,100,0,5,5,3,2,2,4,4,33,
"Nov 02, 2024 - MIN @ SAS",L,27:52:00,14,5,7,71.4,3,5,60,1,1,100,1,1,2,2,0,0,1,2,-1,
"Nov 01, 2024 - MIN vs. DEN",W,24:56:00,7,2,7,28.6,2,7,28.6,1,2,50,1,7,8,6,1,0,3,1,-4,
"Oct 29, 2024 - MIN vs. DAL",L,26:27:00,3,1,6,16.7,1,5,20,0,0,0,0,2,2,6,2,0,1,1,5,
"Oct 26, 2024 - MIN vs. TOR",W,23:21,16,5,15,33.3,4,11,36.4,2,2,100,0,2,2,2,1,0,2,1,-6,
"Oct 24, 2024 - MIN @ SAC",W,26:39:00,9,4,10,40,1,6,16.7,0,0,0,1,0,1,2,0,0,2,3,7,
"Oct 22, 2024 - MIN @ LAL",L,31:33:00,10,3,11,27.3,2,8,25,2,4,50,1,2,3,3,2,0,1,2,-5,
"Apr 14, 2024 - NYK vs. CHI",W,52:30:00,25,10,21,47.6,5,14,35.7,0,0,0,2,5,7,2,2,1,4,1,3,
"Apr 12, 2024 - NYK vs. BKN",W,43:43:00,14,5,12,41.7,2,8,25,2,2,100,0,6,6,3,2,0,1,0,5,
"Apr 11, 2024 - NYK @ BOS",W,41:18:00,17,7,15,46.7,3,7,42.9,0,0,0,0,4,4,4,1,0,1,1,-8,
"Apr 09, 2024 - NYK @ CHI",W,37:35:00,21,8,15,53.3,3,9,33.3,2,2,100,1,3,4,6,1,0,3,3,7,
"Apr 07, 2024 - NYK @ MIL",W,37:27:00,26,8,14,57.1,8,11,72.7,2,2,100,1,3,4,3,1,1,1,3,15,
"Apr 05, 2024 - NYK @ CHI",L,33:03:00,10,4,12,33.3,2,7,28.6,0,0,0,1,3,4,3,0,1,2,0,-6,
"Apr 04, 2024 - NYK vs. SAC",W,38:37:00,21,6,13,46.2,5,9,55.6,4,5,80,0,5,5,1,0,1,1,3,27,
"Apr 02, 2024 - NYK @ MIA",L,35:15:00,31,11,21,52.4,6,15,40,3,3,100,0,4,4,4,4,0,4,3,-17,
"Mar 31, 2024 - NYK vs. OKC",L,39:34:00,15,4,18,22.2,4,16,25,3,4,75,0,1,1,2,2,1,1,5,-1,
"Mar 29, 2024 - NYK @ SAS",L,49:00:00,20,7,13,53.8,6,12,50,0,0,0,0,6,6,2,2,0,0,2,-10,
"Mar 27, 2024 - NYK @ TOR",W,33:14:00,16,5,12,41.7,5,12,41.7,1,2,50,1,4,5,2,2,2,0,1,32,
"Mar 25, 2024 - NYK vs. DET",W,40:50:00,40,14,23,60.9,11,20,55,1,3,33.3,1,4,5,2,2,1,4,2,21,
"Mar 23, 2024 - NYK vs. BKN",W,40:52:00,31,12,24,50,4,13,30.8,3,4,75,2,4,6,5,2,1,2,3,10,
"Mar 21, 2024 - NYK @ DEN",L,31:02:00,11,4,11,36.4,3,8,37.5,0,0,0,0,2,2,4,2,1,0,2,-17,
"Mar 18, 2024 - NYK @ GSW",W,31:16:00,18,7,13,53.8,4,8,50,0,0,0,1,3,4,1,1,0,0,4,5,
"Mar 16, 2024 - NYK @ SAC",W,29:38:00,15,5,16,31.3,3,12,25,2,3,66.7,1,1,2,2,1,0,0,4,-6,
"Mar 14, 2024 - NYK @ POR",W,36:33:00,12,4,12,33.3,2,8,25,2,2,100,0,5,5,3,2,0,1,3,2,
"Mar 12, 2024 - NYK vs. PHI",W,34:24:00,16,4,11,36.4,4,9,44.4,4,4,100,1,1,2,4,1,1,1,2,32,
"Mar 10, 2024 - NYK vs. PHI",L,36:15:00,15,6,17,35.3,3,12,25,0,0,0,2,7,9,3,2,1,4,3,1,
"Mar 08, 2024 - NYK vs. ORL",W,41:47:00,11,3,13,23.1,3,10,30,2,2,100,0,4,4,6,2,1,5,1,24,
"Mar 05, 2024 - NYK vs. ATL",L,38:40:00,21,7,24,29.2,5,17,29.4,2,2,100,0,4,4,6,2,0,4,2,-13,
"Mar 03, 2024 - NYK @ CLE",W,39:18:00,28,11,22,50,6,14,42.9,0,0,0,1,5,6,4,3,1,1,2,9,
"Feb 29, 2024 - NYK vs. GSW",L,36:08:00,16,6,21,28.6,2,12,16.7,2,4,50,5,2,7,2,1,1,3,2,-14,
"Feb 27, 2024 - NYK vs. NOP",L,36:32:00,23,8,21,38.1,7,18,38.9,0,0,0,1,3,4,2,2,0,3,3,-18,
"Feb 26, 2024 - NYK vs. DET",W,31:57:00,21,8,13,61.5,5,10,50,0,0,0,0,3,3,4,2,0,2,1,-6,
"Feb 24, 2024 - NYK vs. BOS",L,31:44:00,12,4,12,33.3,4,8,50,0,0,0,2,2,4,0,0,1,0,4,-5,
"Feb 22, 2024 - NYK @ PHI",W,34:38:00,16,6,15,40,4,11,36.4,0,0,0,0,3,3,3,2,2,2,1,13,
"Feb 12, 2024 - NYK @ HOU",L,40:57:00,23,9,21,42.9,5,14,35.7,0,0,0,2,3,5,4,2,0,3,3,2,
"Feb 10, 2024 - NYK vs. IND",L,39:25:00,14,6,15,40,2,9,22.2,0,1,0,0,3,3,4,1,1,1,2,-9,
"Feb 08, 2024 - NYK vs. DAL",L,43:13:00,36,13,26,50,7,12,58.3,3,4,75,0,2,2,3,0,0,4,0,-19,
"Feb 06, 2024 - NYK vs. MEM",W,40:04:00,32,12,18,66.7,4,9,44.4,4,5,80,0,5,5,5,3,1,2,1,9,
"Feb 03, 2024 - NYK vs. LAL",L,40:18:00,26,10,22,45.5,6,16,37.5,0,0,0,1,5,6,4,0,1,0,6,1,
"Feb 01, 2024 - NYK vs. IND",W,37:56:00,20,8,26,30.8,4,16,25,0,0,0,0,2,2,3,2,0,1,1,-4,
"Jan 30, 2024 - NYK vs. UTA",W,39:22:00,33,11,22,50,9,15,60,2,2,100,2,3,5,4,4,1,0,3,23,
"Jan 29, 2024 - NYK @ CHA",W,41:52:00,28,10,22,45.5,5,15,33.3,3,4,75,0,6,6,5,0,1,2,3,24,
"Jan 27, 2024 - NYK vs. MIA",W,19:37,11,4,10,40,3,6,50,0,0,0,1,0,1,2,1,0,0,1,0,
"Jan 25, 2024 - NYK vs. DEN",W,26:03:00,16,5,10,50,4,9,44.4,2,2,100,2,1,3,6,1,0,0,2,27,
"Jan 23, 2024 - NYK @ BKN",W,25:18:00,11,4,10,40,3,8,37.5,0,0,0,1,4,5,0,1,0,3,0,-7,
"Jan 20, 2024 - NYK vs. TOR",W,20:29,17,7,12,58.3,2,7,28.6,1,3,33.3,1,2,3,1,1,0,0,1,5,
"Jan 18, 2024 - NYK vs. WAS",W,37:35:00,19,6,15,40,5,12,41.7,2,2,100,0,3,3,3,0,1,3,4,15,
"Jan 17, 2024 - NYK vs. HOU",W,19:02,5,2,7,28.6,1,4,25,0,0,0,0,2,2,5,0,0,2,1,7,
