Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 15, 2025 - MIL vs. ORL",W,29:50:00,26,11,15,73.3,0,0,0,4,8,50,0,11,11,4,1,0,6,0,25,MIL
"Jan 14, 2025 - MIL vs. SAC",W,36:39:00,33,14,23,60.9,0,2,0,5,7,71.4,1,10,11,13,0,2,3,3,30,
"Jan 12, 2025 - MIL @ NYK",L,30:56:00,24,10,21,47.6,0,1,0,4,10,40,7,6,13,2,0,1,4,3,-20,
"Jan 10, 2025 - MIL @ ORL",W,37,41,19,29,65.5,0,1,0,3,10,30,3,11,14,4,3,2,3,4,-3,
"Jan 08, 2025 - MIL vs. SAS",W,36,25,11,21,52.4,0,1,0,3,7,42.9,3,13,16,8,0,1,4,1,13,
"Jan 06, 2025 - MIL @ TOR",W,29,11,5,8,62.5,0,1,0,1,2,50,1,11,12,13,0,0,7,1,27,
"Jan 04, 2025 - MIL vs. POR",L,38,31,14,27,51.9,0,1,0,3,4,75,2,9,11,2,2,2,4,2,-3,
"Jan 02, 2025 - MIL vs. BKN",L,37,27,12,24,50,0,0,0,3,10,30,3,10,13,7,1,3,3,4,12,
"Dec 31, 2024 - MIL @ IND",W,35,30,11,20,55,0,0,0,8,13,61.5,2,10,12,5,2,0,2,4,12,
"Dec 20, 2024 - MIL @ CLE",L,30,33,13,22,59.1,1,1,100,6,10,60,2,12,14,3,3,0,5,2,-19,
"Dec 14, 2024 - MIL vs. ATL",W,38,32,10,15,66.7,0,0,0,12,18,66.7,1,13,14,9,1,4,1,1,3,
"Dec 10, 2024 - MIL vs. ORL",W,36,37,15,24,62.5,0,2,0,7,12,58.3,1,6,7,1,2,4,6,1,5,
"Dec 08, 2024 - MIL @ BKN",W,38,34,14,22,63.6,0,0,0,6,10,60,2,9,11,4,1,3,3,2,10,
"Dec 06, 2024 - MIL @ BOS",L,36,30,13,25,52,0,1,0,4,6,66.7,1,10,11,1,0,0,1,0,-4,
"Dec 04, 2024 - MIL vs. ATL",L,36,31,8,14,57.1,0,0,0,15,26,57.7,4,7,11,5,1,0,4,2,-10,
"Dec 03, 2024 - MIL @ DET",W,28,28,10,11,90.9,0,0,0,8,12,66.7,1,6,7,8,0,1,6,2,18,
"Nov 30, 2024 - MIL vs. WAS",W,38,42,15,24,62.5,0,0,0,12,17,70.6,2,10,12,11,0,1,4,0,9,
"Nov 23, 2024 - MIL vs. CHA",W,31,32,12,23,52.2,1,3,33.3,7,10,70,2,9,11,6,0,2,4,1,-2,
"Nov 22, 2024 - MIL vs. IND",W,35,37,14,21,66.7,0,0,0,9,11,81.8,2,8,10,11,2,1,6,4,16,
"Nov 20, 2024 - MIL vs. CHI",W,35,41,17,24,70.8,0,1,0,7,14,50,1,8,9,8,1,0,1,1,7,
"Nov 18, 2024 - MIL vs. HOU",W,36,20,9,17,52.9,0,0,0,2,7,28.6,2,11,13,4,0,3,8,3,-2,
"Nov 16, 2024 - MIL @ CHA",L,33,22,11,22,50,0,1,0,0,1,0,2,13,15,12,0,2,2,2,-2,
"Nov 13, 2024 - MIL vs. DET",W,44,59,21,34,61.8,1,2,50,16,17,94.1,3,11,14,7,2,3,3,1,7,
"Nov 12, 2024 - MIL vs. TOR",W,33,23,9,12,75,0,1,0,5,9,55.6,1,3,4,7,0,4,4,2,1,
"Nov 10, 2024 - MIL vs. BOS",L,39,43,18,29,62.1,1,2,50,6,10,60,1,12,13,5,0,2,1,4,-6,
"Nov 08, 2024 - MIL @ NYK",L,32,24,11,21,52.4,0,1,0,2,6,33.3,3,9,12,2,0,2,1,2,-17,
"Nov 07, 2024 - MIL vs. UTA",W,30,31,11,21,52.4,0,0,0,9,12,75,6,10,16,2,1,1,4,5,27,
"Nov 02, 2024 - MIL vs. CLE",L,39,34,15,27,55.6,0,0,0,4,7,57.1,6,10,16,9,1,0,0,5,5,
"Oct 31, 2024 - MIL @ MEM",L,34,37,17,22,77.3,0,0,0,3,8,37.5,1,10,11,4,1,1,1,4,0,
"Oct 28, 2024 - MIL @ BOS",L,39,30,14,26,53.8,0,2,0,2,6,33.3,1,9,10,6,0,0,7,4,-19,
"Oct 27, 2024 - MIL @ BKN",L,33,22,7,11,63.6,0,0,0,8,11,72.7,1,11,12,7,1,1,4,3,-11,
"Oct 25, 2024 - MIL vs. CHI",L,35,38,15,23,65.2,0,1,0,8,16,50,1,10,11,5,0,0,3,1,-12,
