Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 15, 2025 - MEM @ SAS",W,31:24:00,21,9,13,69.2,1,2,50,2,2,100,0,4,4,12,2,0,2,3,22,MEM 
"Jan 13, 2025 - MEM @ HOU",L,37:09:00,29,11,24,45.8,4,11,36.4,3,6,50,0,3,3,4,4,0,7,2,11,
"Jan 11, 2025 - MEM @ MIN",W,30:05:00,12,5,19,26.3,0,4,0,2,2,100,2,3,5,4,1,0,5,4,1,
"Jan 09, 2025 - MEM vs. HOU",L,29:09:00,27,9,22,40.9,1,5,20,8,11,72.7,1,2,3,3,1,0,4,2,-7,
"Dec 27, 2024 - MEM @ NOP",W,24:50:00,25,8,11,72.7,3,4,75,6,7,85.7,0,2,2,7,1,0,3,2,21,
"Dec 26, 2024 - MEM vs. TOR",W,24:07:00,15,5,10,50,1,3,33.3,4,4,100,0,2,2,9,0,0,3,0,28,
"Dec 23, 2024 - MEM vs. LAC",L,29:29:00,23,7,20,35,2,8,25,7,8,87.5,0,6,6,4,1,1,7,0,-12,
"Dec 19, 2024 - MEM vs. GSW",W,17:25,9,4,9,44.4,1,5,20,0,0,0,1,2,3,3,2,2,1,1,24,
"Dec 15, 2024 - MEM @ LAL",L,31:11:00,20,6,21,28.6,2,7,28.6,6,8,75,2,5,7,6,3,0,7,3,-8,
"Dec 13, 2024 - MEM vs. BKN",W,32:05:00,28,10,19,52.6,3,6,50,5,8,62.5,2,5,7,10,1,0,3,2,25,
"Dec 07, 2024 - MEM @ BOS",W,34:04:00,32,11,20,55,4,6,66.7,6,7,85.7,1,8,9,9,2,0,3,3,2,
"Dec 05, 2024 - MEM vs. SAC",W,27:49:00,8,2,13,15.4,0,6,0,4,4,100,2,1,3,7,0,1,2,2,-32,
"Dec 03, 2024 - MEM @ DAL",L,31:26:00,31,11,22,50,3,6,50,6,7,85.7,0,2,2,4,3,0,6,1,-8,
"Dec 01, 2024 - MEM vs. IND",W,26:48:00,19,6,13,46.2,2,7,28.6,5,6,83.3,0,2,2,8,1,1,0,2,13,
"Nov 29, 2024 - MEM vs. NOP",W,28:33:00,27,10,18,55.6,0,4,0,7,7,100,0,3,3,7,3,0,5,1,7,
"Nov 25, 2024 - MEM vs. POR",W,23:03,22,6,12,50,2,3,66.7,8,10,80,1,1,2,11,0,1,2,1,22,
"Nov 06, 2024 - MEM vs. LAL",W,24:09:00,20,7,17,41.2,2,3,66.7,4,5,80,0,4,4,5,1,1,5,2,8,
"Nov 04, 2024 - MEM @ BKN",L,32:34:00,25,10,22,45.5,1,3,33.3,4,4,100,1,4,5,9,0,0,3,0,2,
"Nov 02, 2024 - MEM @ PHI",W,31:25:00,18,6,13,46.2,0,2,0,6,8,75,0,6,6,12,2,0,6,1,21,
"Oct 31, 2024 - MEM vs. MIL",W,28:55:00,26,9,16,56.3,2,5,40,6,7,85.7,1,9,10,14,1,0,3,0,29,
"Oct 30, 2024 - MEM vs. BKN",L,29:08:00,14,5,16,31.3,1,6,16.7,3,4,75,2,6,8,11,0,0,5,3,4,
"Oct 26, 2024 - MEM vs. ORL",W,24:45:00,16,4,12,33.3,0,6,0,8,8,100,0,2,2,10,0,1,3,3,18,
"Oct 25, 2024 - MEM @ HOU",L,23:48,24,8,17,47.1,2,4,50,6,9,66.7,0,0,0,2,0,0,6,1,-9,
"Oct 23, 2024 - MEM @ UTA",W,27:56:00,22,7,12,58.3,0,2,0,8,9,88.9,0,5,5,10,1,0,3,4,-3,
"Jan 05, 2024 - MEM @ LAL",W,34:37:00,21,7,17,41.2,3,7,42.9,4,5,80,2,5,7,7,1,1,2,3,15,
"Jan 03, 2024 - MEM vs. TOR",L,34:53:00,28,10,18,55.6,3,6,50,5,6,83.3,1,7,8,9,1,0,2,1,-7,
"Jan 02, 2024 - MEM vs. SAS",W,35:19:00,26,7,15,46.7,3,9,33.3,9,12,75,0,5,5,10,1,0,4,3,-1,
"Dec 31, 2023 - MEM vs. SAC",L,30:57:00,17,4,12,33.3,2,4,50,7,8,87.5,0,3,3,3,0,0,0,3,-9,
"Dec 29, 2023 - MEM @ LAC",L,37:12:00,19,7,19,36.8,0,7,0,5,6,83.3,0,6,6,10,0,0,3,4,-19,
"Dec 26, 2023 - MEM @ NOP",W,39:39:00,31,12,24,50,1,7,14.3,6,8,75,0,4,4,7,1,2,6,2,3,
"Dec 23, 2023 - MEM @ ATL",W,36:07:00,30,14,25,56,1,3,33.3,1,1,100,0,6,6,11,1,1,3,1,2,
"Dec 21, 2023 - MEM vs. IND",W,34:26:00,20,7,16,43.8,1,3,33.3,5,6,83.3,0,5,5,8,0,0,2,0,15,
"Dec 19, 2023 - MEM @ NOP",W,34:46:00,34,12,24,50,0,5,0,10,12,83.3,3,3,6,8,2,1,5,2,12,
"Apr 07, 2023 - MEM @ MIL",W,24:12:00,12,5,8,62.5,0,1,0,2,5,40,0,6,6,8,0,0,4,1,11,
"Apr 04, 2023 - MEM vs. POR",W,35:07:00,23,9,15,60,2,6,33.3,3,4,75,0,6,6,9,1,1,2,0,19,
"Apr 02, 2023 - MEM @ CHI",L,34:06:00,17,7,16,43.8,2,5,40,1,1,100,1,9,10,10,0,0,5,1,-20,
"Mar 31, 2023 - MEM vs. LAC",W,25:38:00,10,4,11,36.4,0,3,0,2,4,50,0,5,5,4,0,0,3,1,-4,
"Mar 29, 2023 - MEM vs. LAC",L,35:17:00,36,11,28,39.3,2,9,22.2,12,12,100,0,4,4,9,3,0,8,3,-6,
