Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIN vs. GSW",L,35:32:00,14,6,9,66.7,2,3,66.7,0,1,0,3,1,4,4,1,2,0,5,-8,MIN
"Jan 13, 2025 - MIN @ WAS",W,30:18:00,8,3,8,37.5,0,3,0,2,2,100,2,6,8,0,0,1,2,1,7,
"Jan 11, 2025 - MIN vs. MEM",L,29:35:00,21,9,12,75,3,4,75,0,0,0,1,5,6,1,3,2,1,2,1,
"Jan 09, 2025 - MIN @ ORL",W,31:39:00,7,1,4,25,0,2,0,5,5,100,2,6,8,1,0,1,0,4,12,
"Jan 07, 2025 - MIN @ NOP",W,31:11:00,5,2,9,22.2,1,6,16.7,0,0,0,0,3,3,0,2,1,0,2,0,
"Jan 06, 2025 - MIN vs. LAC",W,33:12:00,11,4,5,80,3,3,100,0,0,0,0,2,2,2,2,1,0,0,8,
"Jan 04, 2025 - MIN @ DET",L,29:02:00,8,3,6,50,1,2,50,1,1,100,1,4,5,0,3,0,1,4,-2,
"Jan 02, 2025 - MIN vs. BOS",L,35:26:00,19,6,12,50,4,8,50,3,3,100,2,6,8,2,0,0,3,1,-6,
"Dec 31, 2024 - MIN @ OKC",L,27:44:00,7,3,8,37.5,1,5,20,0,0,0,0,6,6,0,0,0,3,2,0,
"Dec 29, 2024 - MIN vs. SAS",W,32:04:00,12,6,12,50,0,4,0,0,0,0,4,6,10,1,1,1,2,5,-4,
"Dec 27, 2024 - MIN @ HOU",W,20:08,2,1,6,16.7,0,2,0,0,0,0,1,4,5,1,3,0,2,4,-5,
"Dec 25, 2024 - MIN @ DAL",W,34:36:00,5,2,7,28.6,1,2,50,0,0,0,3,3,6,2,2,1,0,3,4,
"Dec 23, 2024 - MIN @ ATL",L,20:14,6,3,6,50,0,1,0,0,0,0,1,1,2,0,1,1,0,4,-16,
"Dec 21, 2024 - MIN vs. GSW",L,35:07:00,10,4,12,33.3,1,4,25,1,2,50,5,2,7,2,1,0,1,4,-12,
"Dec 19, 2024 - MIN vs. NYK",L,24:17:00,8,3,8,37.5,2,6,33.3,0,0,0,0,6,6,3,0,2,0,1,-18,
"Dec 15, 2024 - MIN @ SAS",W,27:37:00,12,4,10,40,2,2,100,2,2,100,4,7,11,1,4,0,1,1,6,
"Dec 13, 2024 - MIN vs. LAL",W,36:30:00,18,7,11,63.6,2,5,40,2,3,66.7,1,8,9,0,5,2,2,1,20,
"Dec 08, 2024 - MIN @ GSW",L,36:04:00,9,4,9,44.4,1,3,33.3,0,0,0,1,3,4,3,2,0,0,4,0,
"Dec 06, 2024 - MIN @ GSW",W,29:32:00,10,4,11,36.4,2,5,40,0,0,0,2,1,3,2,1,0,0,3,5,
"Dec 04, 2024 - MIN @ LAC",W,24:02:00,11,5,9,55.6,1,2,50,0,0,0,0,5,5,0,0,0,1,0,13,
"Dec 02, 2024 - MIN vs. LAL",W,22:34,3,1,3,33.3,1,2,50,0,0,0,0,2,2,0,1,1,2,0,5,
"Nov 29, 2024 - MIN vs. LAC",W,24:49:00,11,4,6,66.7,1,3,33.3,2,2,100,2,1,3,5,0,2,2,1,-2,
"Nov 27, 2024 - MIN vs. SAC",L,23:59,0,0,3,0,0,2,0,0,0,0,0,2,2,2,0,0,0,4,2,
"Nov 26, 2024 - MIN vs. HOU",L,40:15:00,9,4,16,25,1,8,12.5,0,0,0,3,2,5,2,1,0,0,1,-19,
"Nov 24, 2024 - MIN @ BOS",L,31:36:00,10,4,13,30.8,2,6,33.3,0,0,0,0,5,5,1,0,0,1,5,-12,
"Nov 21, 2024 - MIN @ TOR",L,41:47:00,22,8,15,53.3,2,6,33.3,4,4,100,2,5,7,3,2,0,1,3,5,
"Nov 17, 2024 - MIN vs. PHX",W,26:29:00,11,4,7,57.1,2,3,66.7,1,4,25,1,2,3,2,3,1,0,4,-6,
"Nov 15, 2024 - MIN @ SAC",W,37:24:00,14,5,13,38.5,3,8,37.5,1,2,50,3,3,6,3,3,1,3,6,4,
"Nov 13, 2024 - MIN @ POR",L,33:48:00,7,3,9,33.3,0,3,0,1,2,50,1,5,6,2,4,0,1,6,3,
"Nov 12, 2024 - MIN @ POR",L,35:49:00,17,8,10,80,1,3,33.3,0,0,0,1,5,6,2,2,2,4,5,2,
"Nov 10, 2024 - MIN vs. MIA",L,32:57:00,9,4,9,44.4,0,3,0,1,2,50,3,3,6,1,1,1,0,3,5,
"Nov 08, 2024 - MIN vs. POR",W,26:37:00,5,2,8,25,1,2,50,0,0,0,0,3,3,2,2,0,0,2,7,
"Nov 07, 2024 - MIN @ CHI",W,33:05:00,19,6,7,85.7,3,3,100,4,4,100,0,2,2,0,0,1,1,1,12,
"Nov 04, 2024 - MIN vs. CHA",W,22:26,9,3,10,30,1,5,20,2,4,50,1,2,3,0,0,2,0,3,0,
"Nov 02, 2024 - MIN @ SAS",L,29:55:00,7,3,9,33.3,1,6,16.7,0,0,0,1,2,3,1,1,1,0,3,-8,
"Nov 01, 2024 - MIN vs. DEN",W,26:17:00,10,4,7,57.1,2,4,50,0,0,0,0,0,0,1,1,2,3,5,-29,
"Oct 29, 2024 - MIN vs. DAL",L,34:38:00,13,6,11,54.5,1,3,33.3,0,0,0,3,1,4,4,0,0,1,3,-6,
"Oct 26, 2024 - MIN vs. TOR",W,33:27:00,9,4,5,80,1,1,100,0,0,0,1,2,3,2,1,2,1,2,11,
"Oct 24, 2024 - MIN @ SAC",W,27:29:00,6,2,9,22.2,0,4,0,2,2,100,2,0,2,3,0,1,2,3,-7,
"Oct 22, 2024 - MIN @ LAL",L,16:00,6,3,8,37.5,0,3,0,0,0,0,0,2,2,1,1,0,1,5,-8,
"Apr 14, 2024 - MIN vs. PHX",L,27:31:00,6,2,7,28.6,1,4,25,1,2,50,0,0,0,1,0,0,3,1,-11,
"Apr 12, 2024 - MIN vs. ATL",W,29:45:00,11,4,7,57.1,3,4,75,0,0,0,0,3,3,1,0,1,0,2,8,
"Apr 10, 2024 - MIN @ DEN",L,33:30:00,9,4,8,50,1,4,25,0,0,0,0,2,2,3,1,0,0,2,-17,
"Apr 09, 2024 - MIN vs. WAS",W,27:33:00,9,3,6,50,1,4,25,2,2,100,0,5,5,2,1,1,0,6,-10,
"Apr 07, 2024 - MIN @ LAL",W,29:28:00,11,5,9,55.6,0,2,0,1,1,100,0,3,3,2,0,0,0,2,4,
"Apr 05, 2024 - MIN @ PHX",L,26:21:00,6,3,6,50,0,2,0,0,0,0,0,2,2,1,1,1,2,2,-10,
"Apr 03, 2024 - MIN vs. TOR",W,25:04:00,8,3,8,37.5,0,1,0,2,2,100,1,3,4,2,2,3,1,1,12,
"Apr 02, 2024 - MIN vs. HOU",W,27:23:00,8,4,9,44.4,0,3,0,0,0,0,2,1,3,1,2,0,3,3,13,
"Mar 31, 2024 - MIN vs. CHI",L,33:20:00,8,3,10,30,1,6,16.7,1,2,50,2,4,6,3,1,0,2,2,-2,
"Mar 29, 2024 - MIN @ DEN",W,30:57:00,17,7,10,70,1,3,33.3,2,2,100,0,3,3,3,1,0,0,2,9,
"Mar 27, 2024 - MIN vs. DET",W,28:17:00,20,8,14,57.1,3,7,42.9,1,1,100,1,3,4,0,0,0,0,3,4,
"Mar 24, 2024 - MIN vs. GSW",W,29:30:00,8,3,8,37.5,2,6,33.3,0,0,0,1,3,4,1,0,0,1,4,-4,
"Mar 22, 2024 - MIN vs. CLE",W,32:11:00,15,6,10,60,2,4,50,1,4,25,2,2,4,0,3,2,5,1,15,
"Mar 19, 2024 - MIN vs. DEN",L,37:38:00,26,9,13,69.2,4,6,66.7,4,7,57.1,0,6,6,0,1,2,1,5,0,
"Mar 18, 2024 - MIN @ UTA",W,32:36:00,9,4,13,30.8,1,5,20,0,0,0,3,5,8,1,1,2,0,4,2,
"Mar 16, 2024 - MIN @ UTA",W,21:41,8,4,9,44.4,0,2,0,0,0,0,0,1,1,0,0,0,1,5,9,
"Mar 12, 2024 - MIN @ LAC",W,23:24,0,0,8,0,0,4,0,0,0,0,1,3,4,1,2,0,1,4,-8,
