Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - TOR vs. BOS",W,30:44:00,16,8,8,100,0,0,0,0,0,0,3,8,11,2,0,1,0,0,7,TOR
"Jan 13, 2025 - TOR vs. GSW",W,34:41:00,13,6,11,54.5,0,0,0,1,2,50,5,8,13,2,0,1,2,3,14,
"Jan 11, 2025 - TOR @ DET",L,33:43:00,8,4,10,40,0,0,0,0,4,0,5,7,12,3,3,1,1,3,-10,
"Jan 09, 2025 - TOR @ CLE",L,33:49:00,17,8,10,80,0,0,0,1,4,25,3,4,7,6,3,1,0,2,0,
"Jan 08, 2025 - TOR @ NYK",L,30:10:00,8,4,6,66.7,0,0,0,0,0,0,2,8,10,3,1,0,4,3,-19,
"Jan 06, 2025 - TOR vs. MIL",L,31:24:00,12,6,9,66.7,0,0,0,0,1,0,0,7,7,1,1,1,1,1,-30,
"Jan 03, 2025 - TOR vs. ORL",L,33:30:00,25,11,12,91.7,0,0,0,3,3,100,2,4,6,2,1,1,3,4,-10,
"Jan 01, 2025 - TOR vs. BKN",W,33:36:00,12,6,10,60,0,0,0,0,0,0,4,5,9,2,1,2,0,3,17,
"Dec 31, 2024 - TOR @ BOS",L,29:42:00,7,3,4,75,0,0,0,1,2,50,4,9,13,3,2,1,1,3,-19,
"Dec 29, 2024 - TOR vs. ATL",L,26:43:00,13,5,8,62.5,0,0,0,3,4,75,3,3,6,1,2,3,4,4,-25,
"Dec 16, 2024 - TOR vs. CHI",L,21:45,6,3,7,42.9,0,0,0,0,0,0,1,4,5,3,1,0,1,0,-7,
"Dec 12, 2024 - TOR @ MIA",L,27:06:00,16,7,12,58.3,0,1,0,2,3,66.7,2,2,4,2,1,1,1,2,-18,
"Dec 09, 2024 - TOR vs. NYK",L,33:25:00,10,4,8,50,0,0,0,2,2,100,6,6,12,4,1,2,1,2,10,
"Dec 07, 2024 - TOR vs. DAL",L,33:32:00,20,7,11,63.6,0,0,0,6,6,100,2,5,7,7,2,0,3,5,-8,
"Dec 03, 2024 - TOR vs. IND",W,35:51:00,17,7,10,70,0,0,0,3,3,100,1,9,10,4,1,2,3,5,18,
"Dec 01, 2024 - TOR vs. MIA",W,36:41:00,17,6,12,50,0,0,0,5,8,62.5,4,7,11,3,2,1,1,4,-11,
"Nov 29, 2024 - TOR @ MIA",L,32:23:00,24,10,11,90.9,0,0,0,4,5,80,4,6,10,1,0,1,2,6,-2,
"Nov 27, 2024 - TOR @ NOP",W,30:38:00,2,1,4,25,0,0,0,0,2,0,1,7,8,1,2,1,0,4,26,
"Nov 25, 2024 - TOR @ DET",L,27:42:00,8,4,11,36.4,0,0,0,0,0,0,4,7,11,2,0,2,2,4,-13,
"Nov 24, 2024 - TOR @ CLE",L,33:01:00,12,5,12,41.7,0,1,0,2,3,66.7,8,11,19,2,1,2,1,2,-14,
"Nov 21, 2024 - TOR vs. MIN",W,28:47:00,15,5,8,62.5,0,0,0,5,8,62.5,3,9,12,2,0,0,0,4,0,
"Nov 18, 2024 - TOR vs. IND",W,37:38:00,30,13,18,72.2,0,0,0,4,6,66.7,4,11,15,2,2,2,6,3,18,
"Nov 16, 2024 - TOR @ BOS",L,37:15:00,35,16,19,84.2,0,0,0,3,4,75,6,6,12,0,1,0,2,2,-3,
"Nov 15, 2024 - TOR vs. DET",L,35:01:00,25,12,20,60,0,0,0,1,4,25,10,8,18,3,1,3,1,4,6,
"Nov 12, 2024 - TOR @ MIL",L,28:13:00,13,6,13,46.2,0,0,0,1,2,50,4,4,8,1,3,2,3,4,0,
"Nov 10, 2024 - TOR @ LAL",L,31:08:00,14,7,12,58.3,0,0,0,0,0,0,4,6,10,4,1,0,1,4,-4,
"Nov 09, 2024 - TOR @ LAC",L,30:09:00,5,1,6,16.7,0,0,0,3,6,50,2,10,12,3,0,3,4,2,0,
"Nov 06, 2024 - TOR @ SAC",L,34:37:00,10,5,8,62.5,0,0,0,0,0,0,1,7,8,4,2,0,3,2,-18,
"Nov 04, 2024 - TOR @ DEN",L,32:27:00,24,11,18,61.1,0,0,0,2,4,50,6,5,11,3,3,0,2,6,-5,
"Nov 02, 2024 - TOR vs. SAC",W,33:49:00,13,5,8,62.5,0,0,0,3,4,75,3,6,9,2,2,1,4,6,-16,
"Nov 01, 2024 - TOR vs. LAL",L,35:06:00,19,9,14,64.3,0,0,0,1,1,100,6,6,12,6,0,3,2,3,-4,
"Oct 30, 2024 - TOR @ CHA",L,35:07:00,20,10,14,71.4,0,0,0,0,0,0,5,11,16,2,2,0,1,4,18,
"Oct 28, 2024 - TOR vs. DEN",L,40:11:00,16,7,13,53.8,0,0,0,2,2,100,8,11,19,2,0,1,3,2,-1,
"Oct 26, 2024 - TOR @ MIN",L,29:58:00,8,4,9,44.4,0,0,0,0,0,0,3,7,10,3,1,1,2,4,-12,
"Oct 25, 2024 - TOR vs. PHI",W,27:24:00,19,5,8,62.5,0,0,0,9,11,81.8,1,8,9,3,0,4,2,4,7,
"Oct 23, 2024 - TOR vs. CLE",L,26:09:00,6,2,6,33.3,0,0,0,2,4,50,3,6,9,2,0,0,5,4,-13,
"Mar 03, 2024 - TOR vs. CHA",W,14:50,8,4,6,66.7,0,0,0,0,0,0,1,1,2,3,0,1,1,2,14,
"Mar 01, 2024 - TOR vs. GSW",L,24:50:00,10,5,10,50,0,0,0,0,2,0,5,9,14,2,1,1,2,5,-11,
"Feb 28, 2024 - TOR vs. DAL",L,29:10:00,16,7,12,58.3,0,0,0,2,3,66.7,3,4,7,6,4,2,0,4,-1,
"Feb 26, 2024 - TOR @ IND",W,21:38,15,7,10,70,0,0,0,1,1,100,5,5,10,4,0,1,0,3,10,
"Feb 23, 2024 - TOR @ ATL",W,26:02:00,12,6,13,46.2,0,0,0,0,0,0,6,7,13,6,0,2,1,1,4,
"Feb 22, 2024 - TOR vs. BKN",W,25:40:00,8,3,7,42.9,0,0,0,2,4,50,1,8,9,2,1,3,1,2,26,
"Feb 14, 2024 - TOR vs. IND",L,29:31:00,19,8,15,53.3,0,0,0,3,4,75,7,4,11,3,1,2,2,3,-2,
"Feb 12, 2024 - TOR vs. SAS",L,20:02,12,5,10,50,0,0,0,2,2,100,3,3,6,1,0,0,0,2,-5,
"Feb 10, 2024 - TOR vs. CLE",L,20:59,6,3,7,42.9,0,0,0,0,2,0,3,4,7,1,0,1,0,2,-14,
"Feb 09, 2024 - TOR vs. HOU",W,37:08:00,16,7,11,63.6,0,0,0,2,2,100,5,8,13,3,3,6,4,4,14,
"Feb 07, 2024 - TOR @ CHA",W,33:26:00,12,5,7,71.4,0,0,0,2,2,100,4,8,12,2,0,1,1,2,6,
"Feb 05, 2024 - TOR @ NOP",L,27:41:00,14,7,8,87.5,0,0,0,0,2,0,1,8,9,1,1,2,3,2,-21,
"Feb 04, 2024 - TOR @ OKC",L,33:19:00,19,8,9,88.9,0,0,0,3,4,75,3,9,12,3,0,2,2,5,-6,
"Feb 02, 2024 - TOR @ HOU",L,20:22,6,3,5,60,0,0,0,0,0,0,0,5,5,1,0,2,3,6,-17,
"Jan 07, 2024 - TOR @ GSW",W,30:52:00,14,6,8,75,0,0,0,2,5,40,3,8,11,5,0,0,2,3,21,
"Jan 05, 2024 - TOR @ SAC",L,22:31,14,7,10,70,0,0,0,0,0,0,1,5,6,2,0,3,3,6,12,
"Jan 03, 2024 - TOR @ MEM",W,33:24:00,7,2,7,28.6,0,0,0,3,4,75,3,5,8,2,1,5,1,3,-9,
"Jan 01, 2024 - TOR vs. CLE",W,37:07:00,14,5,8,62.5,0,0,0,4,7,57.1,4,7,11,4,0,3,4,4,3,
"Dec 30, 2023 - TOR @ DET",L,34:41:00,4,2,4,50,0,0,0,0,0,0,2,12,14,5,1,3,0,4,8,
"Dec 29, 2023 - TOR @ BOS",L,22:29,12,5,8,62.5,0,0,0,2,2,100,4,6,10,3,0,2,0,3,-9,
"Dec 27, 2023 - TOR @ WAS",W,21:22,10,4,6,66.7,0,0,0,2,4,50,3,5,8,2,2,1,2,4,16,
"Dec 23, 2023 - TOR vs. UTA",L,20:54,2,1,4,25,0,0,0,0,0,0,2,2,4,3,0,2,0,2,3,
"Dec 22, 2023 - TOR @ PHI",L,28:49:00,19,9,15,60,0,0,0,1,2,50,2,6,8,2,1,0,1,3,-14,
"Dec 20, 2023 - TOR vs. DEN",L,19:21,4,2,5,40,0,0,0,0,0,0,2,3,5,3,0,2,1,2,-12,
"Dec 18, 2023 - TOR vs. CHA",W,15:18,4,2,2,100,0,0,0,0,0,0,0,1,1,2,0,0,4,3,-12,
