Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 15, 2025 - MEM @ SAS",W,30:55:00,19,8,24,33.3,2,8,25,1,2,50,2,4,6,2,0,2,2,4,1,MEM
"Jan 13, 2025 - MEM @ HOU",L,30:04:00,17,6,11,54.5,1,3,33.3,4,6,66.7,0,2,2,3,3,1,2,5,-3,
"Jan 11, 2025 - MEM @ MIN",W,33:56:00,33,13,24,54.2,2,5,40,5,7,71.4,4,4,8,1,1,0,2,3,6,
"Jan 09, 2025 - MEM vs. HOU",L,34:03:00,21,9,15,60,1,4,25,2,3,66.7,2,6,8,4,2,6,3,2,6,
"Jan 06, 2025 - MEM vs. DAL",W,34:11:00,35,13,23,56.5,1,2,50,8,12,66.7,5,8,13,5,3,1,2,2,9,
"Jan 04, 2025 - MEM @ GSW",L,36:02:00,23,11,21,52.4,0,3,0,1,1,100,1,8,9,2,2,1,4,4,-10,
"Jan 03, 2025 - MEM @ SAC",L,34:01:00,28,9,21,42.9,3,9,33.3,7,10,70,0,6,6,5,0,1,4,6,-5,
"Dec 31, 2024 - MEM @ PHX",W,37:54:00,38,12,24,50,4,9,44.4,10,17,58.8,2,10,12,4,2,1,5,3,8,
"Dec 29, 2024 - MEM @ OKC",L,25:21:00,13,3,17,17.6,0,6,0,7,8,87.5,2,3,5,4,1,1,3,4,-9,
"Dec 27, 2024 - MEM @ NOP",W,35:10:00,33,11,21,52.4,4,6,66.7,7,7,100,2,3,5,3,4,3,4,1,32,
"Dec 26, 2024 - MEM vs. TOR",W,31:58:00,21,9,17,52.9,1,3,33.3,2,2,100,4,7,11,6,0,3,3,2,28,
"Dec 23, 2024 - MEM vs. LAC",L,29:56:00,24,9,26,34.6,1,7,14.3,5,9,55.6,1,5,6,3,0,0,1,4,2,
