Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIN vs. GSW",L,27:24:00,17,8,18,44.4,1,3,33.3,0,0,0,4,2,6,1,1,0,2,3,-2,MIN
"Jan 13, 2025 - MIN @ WAS",W,32:44:00,20,8,15,53.3,0,2,0,4,8,50,3,7,10,3,0,0,3,1,16,
"Jan 11, 2025 - MIN vs. MEM",L,33:20:00,18,7,13,53.8,1,5,20,3,4,75,2,6,8,8,0,0,4,3,-5,
"Jan 09, 2025 - MIN @ ORL",W,30:54:00,23,8,16,50,1,3,33.3,6,6,100,4,6,10,2,0,1,2,2,13,
"Jan 07, 2025 - MIN @ NOP",W,35:19:00,16,6,11,54.5,1,4,25,3,5,60,0,6,6,3,2,0,3,4,21,
"Jan 06, 2025 - MIN vs. LAC",W,23:17,5,2,10,20,0,3,0,1,2,50,4,2,6,2,0,0,3,4,2,
"Jan 04, 2025 - MIN @ DET",L,36:09:00,17,6,12,50,0,4,0,5,5,100,2,5,7,6,0,0,3,4,-20,
"Jan 02, 2025 - MIN vs. BOS",L,39:10:00,27,9,16,56.3,5,7,71.4,4,4,100,2,6,8,7,1,0,4,1,10,
"Dec 31, 2024 - MIN @ OKC",L,27:11:00,11,5,12,41.7,1,4,25,0,0,0,4,2,6,6,0,1,4,1,-7,
"Dec 29, 2024 - MIN vs. SAS",W,34:46:00,16,7,16,43.8,0,7,0,2,2,100,1,3,4,4,0,0,1,1,-9,
"Dec 27, 2024 - MIN @ HOU",W,36:11:00,27,10,16,62.5,5,6,83.3,2,2,100,1,7,8,8,0,1,5,3,2,
"Dec 25, 2024 - MIN @ DAL",W,34:14:00,23,6,13,46.2,3,5,60,8,10,80,2,8,10,8,0,0,3,2,5,
"Dec 23, 2024 - MIN @ ATL",L,35:37:00,19,6,15,40,2,7,28.6,5,6,83.3,6,7,13,7,0,1,8,3,-5,
"Dec 21, 2024 - MIN vs. GSW",L,32:23:00,16,4,13,30.8,1,3,33.3,7,9,77.8,1,6,7,6,0,0,3,1,-6,
"Dec 19, 2024 - MIN vs. NYK",L,30:28:00,24,8,17,47.1,4,8,50,4,6,66.7,2,3,5,3,0,0,5,2,-13,
"Dec 15, 2024 - MIN @ SAS",W,28:30:00,11,4,11,36.4,0,1,0,3,4,75,2,2,4,3,2,1,2,3,8,
"Dec 13, 2024 - MIN vs. LAL",W,32:40:00,21,7,16,43.8,0,5,0,7,8,87.5,2,3,5,3,1,0,2,5,23,
"Dec 08, 2024 - MIN @ GSW",L,37:16:00,14,4,14,28.6,2,4,50,4,4,100,3,8,11,4,0,2,2,2,-2,
"Dec 06, 2024 - MIN @ GSW",W,24:08:00,16,5,11,45.5,2,4,50,4,4,100,2,7,9,4,1,0,3,1,3,
"Dec 04, 2024 - MIN @ LAC",W,26:09:00,20,8,16,50,4,9,44.4,0,0,0,0,4,4,4,1,0,1,2,28,
"Dec 02, 2024 - MIN vs. LAL",W,24:29:00,18,6,13,46.2,2,3,66.7,4,4,100,1,4,5,3,2,0,1,3,7,
"Nov 29, 2024 - MIN vs. LAC",W,30:16:00,11,4,9,44.4,1,5,20,2,2,100,0,10,10,4,0,0,3,2,-5,
"Nov 27, 2024 - MIN vs. SAC",L,35:30:00,21,8,14,57.1,1,5,20,4,4,100,1,8,9,4,2,0,4,4,-8,
"Nov 26, 2024 - MIN vs. HOU",L,34:38:00,21,9,18,50,0,1,0,3,3,100,2,4,6,3,1,0,3,5,-20,
"Nov 24, 2024 - MIN @ BOS",L,35:48:00,23,7,15,46.7,1,4,25,8,13,61.5,2,4,6,2,0,0,0,1,-10,
"Nov 21, 2024 - MIN @ TOR",L,38:26:00,23,5,12,41.7,1,6,16.7,12,16,75,1,8,9,3,2,0,4,2,-6,
"Nov 17, 2024 - MIN vs. PHX",W,33:52:00,35,11,20,55,5,11,45.5,8,9,88.9,1,3,4,7,1,0,3,2,16,
"Nov 15, 2024 - MIN @ SAC",W,41:16:00,26,8,20,40,2,7,28.6,8,8,100,1,3,4,5,1,0,4,1,17,
"Nov 13, 2024 - MIN @ POR",L,37:04:00,20,7,15,46.7,1,3,33.3,5,7,71.4,3,7,10,2,0,0,1,2,1,
"Nov 12, 2024 - MIN @ POR",L,29:15:00,11,3,9,33.3,0,3,0,5,6,83.3,3,3,6,2,0,0,4,5,-6,
"Nov 10, 2024 - MIN vs. MIA",L,35:43:00,17,6,16,37.5,1,6,16.7,4,4,100,2,4,6,6,1,0,4,4,-2,
"Nov 08, 2024 - MIN vs. POR",W,32:24:00,22,8,18,44.4,3,6,50,3,4,75,3,3,6,4,0,1,2,1,15,
"Nov 07, 2024 - MIN @ CHI",W,35:21:00,22,8,15,53.3,1,4,25,5,5,100,2,8,10,3,1,0,4,1,21,
"Nov 04, 2024 - MIN vs. CHA",W,25:10:00,13,4,10,40,1,4,25,4,6,66.7,3,1,4,4,2,0,1,1,8,
"Nov 02, 2024 - MIN @ SAS",L,29:50:00,21,8,15,53.3,0,3,0,5,6,83.3,1,4,5,2,1,0,3,3,-11,
"Nov 01, 2024 - MIN vs. DEN",W,36:33:00,23,8,13,61.5,2,5,40,5,5,100,1,5,6,7,0,0,3,3,-14,
"Oct 29, 2024 - MIN vs. DAL",L,35:03:00,20,7,13,53.8,3,3,100,3,4,75,2,5,7,7,2,0,3,4,-4,
"Oct 26, 2024 - MIN vs. TOR",W,35:50:00,24,9,16,56.3,1,4,25,5,7,71.4,3,6,9,5,0,0,4,2,7,
"Oct 24, 2024 - MIN @ SAC",W,34:49:00,33,13,17,76.5,5,6,83.3,2,3,66.7,0,5,5,4,0,0,3,3,-3,
"Oct 22, 2024 - MIN @ LAL",L,34:19:00,16,5,10,50,1,3,33.3,5,7,71.4,3,6,9,4,0,0,2,3,2,
Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,
"Jan 27, 2024 - NYK vs. MIA",W,32:05:00,19,6,14,42.9,3,4,75,4,4,100,3,6,9,3,0,0,4,2,2,
"Jan 25, 2024 - NYK vs. DEN",W,30:26:00,17,7,15,46.7,1,5,20,2,2,100,3,4,7,8,1,0,2,2,25,
"Jan 23, 2024 - NYK @ BKN",W,36:57:00,30,10,19,52.6,2,2,100,8,8,100,2,7,9,7,0,0,4,3,-3,
"Jan 20, 2024 - NYK vs. TOR",W,32:24:00,18,7,13,53.8,3,7,42.9,1,2,50,7,9,16,10,0,0,7,3,16,
"Jan 18, 2024 - NYK vs. WAS",W,38:57:00,21,8,17,47.1,3,8,37.5,2,4,50,1,7,8,5,0,0,5,2,1,
"Jan 17, 2024 - NYK vs. HOU",W,34:12:00,31,11,19,57.9,4,8,50,5,6,83.3,2,6,8,4,0,1,4,4,15,
"Jan 15, 2024 - NYK vs. ORL",L,38:21:00,15,5,18,27.8,2,9,22.2,3,5,60,1,5,6,5,0,0,0,3,2,
"Jan 13, 2024 - NYK @ MEM",W,35:37:00,24,9,21,42.9,1,6,16.7,5,6,83.3,5,6,11,5,0,1,6,2,10,
"Jan 11, 2024 - NYK @ DAL",L,37:18:00,32,12,23,52.2,2,7,28.6,6,7,85.7,1,5,6,5,2,0,4,3,-1,
"Jan 09, 2024 - NYK vs. POR",W,31:39:00,20,7,17,41.2,2,4,50,4,4,100,0,7,7,8,0,1,2,1,31,
"Jan 06, 2024 - NYK @ WAS",W,37:43:00,39,13,23,56.5,3,8,37.5,10,13,76.9,3,4,7,5,1,0,2,2,24,
"Jan 05, 2024 - NYK @ PHI",W,30:06:00,8,1,11,9.1,0,3,0,6,6,100,0,7,7,5,1,1,4,3,13,
"Jan 03, 2024 - NYK vs. CHI",W,38:36:00,35,13,23,56.5,3,7,42.9,6,7,85.7,0,6,6,4,2,1,3,3,13,
"Jan 01, 2024 - NYK vs. MIN",W,36:19:00,39,14,24,58.3,2,6,33.3,9,13,69.2,3,6,9,0,0,0,6,5,2,
"Dec 30, 2023 - NYK @ IND",L,39:23:00,28,9,22,40.9,1,5,20,9,13,69.2,6,6,12,4,0,0,5,1,-6,
"Dec 29, 2023 - NYK @ ORL",L,36:26:00,38,16,25,64,0,4,0,6,8,75,3,9,12,6,0,1,5,5,0,
"Dec 27, 2023 - NYK @ OKC",L,35:54:00,25,7,15,46.7,1,4,25,10,13,76.9,1,8,9,2,0,0,3,3,-12,
"Dec 25, 2023 - NYK vs. MIL",W,40:58:00,24,8,17,47.1,2,5,40,6,6,100,1,8,9,2,1,0,4,3,6,
"Dec 23, 2023 - NYK vs. MIL",L,33:57:00,26,8,17,47.1,0,2,0,10,10,100,1,7,8,1,1,0,3,3,-3,
"Dec 20, 2023 - NYK @ BKN",W,34:28:00,26,9,20,45,0,4,0,8,9,88.9,2,5,7,4,0,0,1,3,27,
"Dec 18, 2023 - NYK @ LAL",W,43:21:00,27,12,22,54.5,1,4,25,2,2,100,1,13,14,3,0,0,2,3,17,
"Dec 16, 2023 - NYK @ LAC",L,30:54:00,22,8,17,47.1,0,3,0,6,6,100,2,2,4,3,0,0,3,3,-20,
"Dec 15, 2023 - NYK @ PHX",W,35:12:00,23,10,16,62.5,1,3,33.3,2,2,100,1,7,8,6,0,1,5,4,4,
"Dec 13, 2023 - NYK @ UTA",L,39:00:00,32,14,23,60.9,2,6,33.3,2,2,100,3,9,12,6,1,1,2,4,13,
"Dec 11, 2023 - NYK vs. TOR",W,34:59:00,34,14,21,66.7,1,3,33.3,5,7,71.4,3,5,8,5,0,0,3,1,-1,
"Dec 08, 2023 - NYK @ BOS",L,33:54:00,20,7,15,46.7,3,4,75,3,4,75,1,4,5,3,1,1,6,2,-18,
"Dec 05, 2023 - NYK @ MIL",L,36:36:00,41,14,19,73.7,2,2,100,11,12,91.7,3,3,6,5,0,0,4,3,-21,
"Dec 01, 2023 - NYK @ TOR",W,35:16:00,20,8,15,53.3,1,4,25,3,3,100,2,8,10,9,0,0,2,3,15,
