Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIN vs. GSW",L,28:39:00,15,5,13,38.5,3,7,42.9,2,2,100,2,4,6,1,0,1,0,0,8,MIN
"Jan 13, 2025 - MIN @ WAS",W,23:55,12,3,5,60,3,4,75,3,4,75,0,5,5,1,3,1,0,4,7,
"Jan 11, 2025 - MIN vs. MEM",L,29:36:00,19,7,10,70,5,7,71.4,0,0,0,1,5,6,3,0,1,2,1,2,
"Jan 09, 2025 - MIN @ ORL",W,23:09,16,5,9,55.6,2,4,50,4,6,66.7,0,3,3,1,2,1,0,1,14,
"Jan 07, 2025 - MIN @ NOP",W,22:41,13,6,16,37.5,1,5,20,0,1,0,6,6,12,1,0,1,3,2,0,
"Jan 06, 2025 - MIN vs. LAC",W,31:14:00,18,8,14,57.1,1,5,20,1,3,33.3,1,6,7,3,1,2,1,5,-10,
"Jan 04, 2025 - MIN @ DET",L,25:29:00,9,2,7,28.6,2,4,50,3,4,75,0,3,3,1,0,0,0,2,-7,
"Jan 02, 2025 - MIN vs. BOS",L,25:33:00,20,6,11,54.5,4,5,80,4,4,100,3,2,5,3,0,0,2,1,-4,
"Dec 31, 2024 - MIN @ OKC",L,32:55:00,19,8,14,57.1,1,5,20,2,2,100,2,6,8,1,1,3,4,4,-8,
"Dec 29, 2024 - MIN vs. SAS",W,20:32,11,5,11,45.5,1,4,25,0,2,0,0,4,4,2,1,1,0,4,4,
"Dec 27, 2024 - MIN @ HOU",W,24:26:00,14,6,12,50,1,5,20,1,3,33.3,2,1,3,1,0,1,2,6,14,
"Dec 25, 2024 - MIN @ DAL",W,21:57,6,3,6,50,0,0,0,0,0,0,0,2,2,2,1,0,1,1,-3,
"Dec 23, 2024 - MIN @ ATL",L,28:48:00,23,10,19,52.6,3,10,30,0,0,0,2,1,3,3,1,0,1,2,-13,
"Dec 21, 2024 - MIN vs. GSW",L,24:40:00,16,6,11,54.5,4,7,57.1,0,0,0,1,3,4,2,0,1,3,3,-12,
