Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIN vs. GSW",L,29:29:00,7,2,2,100,0,0,0,3,5,60,2,8,10,1,0,2,1,2,-4,MIN
"Jan 13, 2025 - MIN @ WAS",W,32:34:00,11,5,6,83.3,0,0,0,1,2,50,5,6,11,2,1,1,0,1,11,
"Jan 11, 2025 - MIN vs. MEM",L,28:40:00,12,6,6,100,0,0,0,0,2,0,2,2,4,4,0,1,0,3,3,
"Jan 09, 2025 - MIN @ ORL",W,31:41:00,10,5,8,62.5,0,0,0,0,2,0,4,8,12,1,1,0,0,2,14,
"Jan 07, 2025 - MIN @ NOP",W,35:25:00,7,3,4,75,0,0,0,1,2,50,2,12,14,4,0,6,2,4,-6,
"Jan 06, 2025 - MIN vs. LAC",W,37:51:00,8,3,8,37.5,0,0,0,2,5,40,8,10,18,2,0,1,2,3,8,
"Jan 04, 2025 - MIN @ DET",L,29:32:00,6,3,6,50,0,0,0,0,2,0,2,4,6,0,0,2,3,2,-2,
"Jan 02, 2025 - MIN vs. BOS",L,27:50:00,6,3,5,60,0,0,0,0,0,0,3,4,7,0,0,0,0,1,-6,
"Dec 31, 2024 - MIN @ OKC",L,31:04:00,8,3,6,50,0,0,0,2,2,100,2,5,7,1,0,2,1,2,3,
"Dec 29, 2024 - MIN vs. SAS",W,30:33:00,17,6,12,50,0,0,0,5,6,83.3,11,4,15,2,0,2,1,4,-1,
"Dec 27, 2024 - MIN @ HOU",W,28:37:00,7,3,5,60,0,0,0,1,6,16.7,5,4,9,0,0,2,0,2,-18,
"Dec 25, 2024 - MIN @ DAL",W,39:26:00,14,6,7,85.7,0,0,0,2,2,100,2,8,10,0,1,2,1,3,8,
"Dec 23, 2024 - MIN @ ATL",L,28:19:00,2,1,4,25,0,0,0,0,0,0,2,4,6,0,0,1,3,1,-16,
"Dec 21, 2024 - MIN vs. GSW",L,36:50:00,18,7,8,87.5,0,0,0,4,7,57.1,2,10,12,2,1,1,1,0,-3,
"Dec 19, 2024 - MIN vs. NYK",L,22:18,3,1,1,100,0,0,0,1,4,25,1,3,4,0,2,0,0,2,-37,
"Dec 15, 2024 - MIN @ SAS",W,34:45:00,10,5,11,45.5,0,0,0,0,1,0,4,5,9,2,1,1,2,2,8,
"Dec 13, 2024 - MIN vs. LAL",W,37:48:00,12,5,8,62.5,0,0,0,2,4,50,5,8,13,2,1,1,0,1,3,
"Dec 08, 2024 - MIN @ GSW",L,37:53:00,4,1,3,33.3,0,0,0,2,4,50,1,8,9,1,1,3,2,3,-12,
"Dec 06, 2024 - MIN @ GSW",W,35:12:00,17,6,10,60,0,0,0,5,5,100,2,9,11,1,1,0,3,3,19,
"Dec 04, 2024 - MIN @ LAC",W,29:28:00,8,3,4,75,0,0,0,2,2,100,1,8,9,7,5,1,0,2,21,
"Dec 02, 2024 - MIN vs. LAL",W,32:11:00,17,7,8,87.5,0,0,0,3,4,75,6,6,12,0,1,0,2,3,17,
"Nov 29, 2024 - MIN vs. LAC",W,42:45:00,8,3,7,42.9,0,0,0,2,4,50,4,8,12,3,1,1,3,3,9,
"Nov 27, 2024 - MIN vs. SAC",L,36:56:00,9,2,2,100,0,0,0,5,6,83.3,2,5,7,3,0,4,0,3,-9,
"Nov 26, 2024 - MIN vs. HOU",L,43:50:00,5,2,3,66.7,0,0,0,1,2,50,3,13,16,2,0,1,1,5,4,
"Nov 24, 2024 - MIN @ BOS",L,34:29:00,10,4,5,80,0,0,0,2,2,100,8,12,20,0,0,0,0,2,-4,
"Nov 21, 2024 - MIN @ TOR",L,35:42:00,13,4,5,80,0,0,0,5,6,83.3,4,7,11,2,1,2,3,3,0,
"Nov 17, 2024 - MIN vs. PHX",W,36:48:00,11,4,8,50,0,0,0,3,4,75,4,6,10,2,0,4,3,2,4,
"Nov 15, 2024 - MIN @ SAC",W,40:59:00,11,5,7,71.4,0,0,0,1,1,100,3,8,11,2,0,3,1,2,11,
"Nov 13, 2024 - MIN @ POR",L,33:32:00,12,4,8,50,0,0,0,4,5,80,7,3,10,0,0,0,1,3,-8,
"Nov 12, 2024 - MIN @ POR",L,32:48:00,9,2,3,66.7,0,0,0,5,6,83.3,0,8,8,4,1,1,4,2,-7,
"Nov 10, 2024 - MIN vs. MIA",L,32:30:00,7,2,4,50,0,0,0,3,3,100,6,7,13,1,1,2,2,1,-4,
"Nov 08, 2024 - MIN vs. POR",W,22:32,8,4,5,80,0,0,0,0,0,0,4,11,15,2,0,3,2,5,18,
"Nov 07, 2024 - MIN @ CHI",W,31:47:00,21,9,11,81.8,0,0,0,3,3,100,3,6,9,3,0,1,2,4,23,
"Nov 04, 2024 - MIN vs. CHA",W,29:51:00,8,4,5,80,0,0,0,0,0,0,2,6,8,4,0,1,1,2,15,
"Nov 02, 2024 - MIN @ SAS",L,23:06,10,3,8,37.5,0,0,0,4,4,100,1,2,3,1,0,0,0,2,-8,
"Nov 01, 2024 - MIN vs. DEN",W,35:58:00,17,7,10,70,0,0,0,3,4,75,4,10,14,3,1,2,2,3,7,
"Oct 29, 2024 - MIN vs. DAL",L,31:11:00,7,2,5,40,0,0,0,3,5,60,4,4,8,1,0,0,2,3,-8,
"Oct 26, 2024 - MIN vs. TOR",W,38:59:00,15,6,8,75,0,0,0,3,4,75,2,10,12,1,1,4,1,3,20,
"Oct 24, 2024 - MIN @ SAC",W,34:37:00,3,1,2,50,0,0,0,1,2,50,1,10,11,1,2,0,3,4,-6,
"Oct 22, 2024 - MIN @ LAL",L,35:20:00,13,5,8,62.5,0,0,0,3,4,75,3,11,14,2,0,1,1,4,-10,
"Apr 14, 2024 - MIN vs. PHX",L,32:12:00,21,7,9,77.8,0,0,0,7,9,77.8,3,4,7,1,2,1,1,3,-17,
"Apr 12, 2024 - MIN vs. ATL",W,36:43:00,25,10,10,100,0,0,0,5,8,62.5,4,15,19,0,1,5,1,2,13,
"Apr 10, 2024 - MIN @ DEN",L,38:46:00,13,6,7,85.7,0,0,0,1,3,33.3,5,10,15,3,2,1,2,5,-17,
"Apr 09, 2024 - MIN vs. WAS",W,38:21:00,19,5,9,55.6,0,0,0,9,13,69.2,5,11,16,3,2,4,1,3,12,
"Apr 07, 2024 - MIN @ LAL",W,36:51:00,18,9,13,69.2,0,0,0,0,0,0,8,8,16,3,2,1,3,2,8,
"Apr 05, 2024 - MIN @ PHX",L,29:03:00,4,2,5,40,0,0,0,0,0,0,2,4,6,1,0,2,1,4,-26,
"Apr 03, 2024 - MIN vs. TOR",W,27:28:00,11,3,6,50,0,0,0,5,8,62.5,5,10,15,3,1,2,4,3,33,
"Apr 02, 2024 - MIN vs. HOU",W,35:13:00,12,4,7,57.1,0,0,0,4,6,66.7,1,13,14,0,0,2,1,3,-8,
"Mar 31, 2024 - MIN vs. CHI",L,37:40:00,19,8,9,88.9,0,0,0,3,7,42.9,3,7,10,1,2,1,0,2,-4,
"Mar 29, 2024 - MIN @ DEN",W,34:48:00,21,7,8,87.5,0,0,0,7,15,46.7,3,9,12,2,0,3,0,5,1,
"Mar 27, 2024 - MIN vs. DET",W,34:19:00,11,5,5,100,0,0,0,1,1,100,5,9,14,4,0,2,3,4,20,
"Mar 24, 2024 - MIN vs. GSW",W,37:10:00,17,7,10,70,0,0,0,3,3,100,1,11,12,2,0,1,4,5,8,
"Mar 22, 2024 - MIN vs. CLE",W,37:11:00,9,4,8,50,0,0,0,1,4,25,6,9,15,1,0,2,1,2,10,
