Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MEM @ SAS",W,26:32:00,20,9,15,60,1,3,33.3,1,2,50,3,7,10,2,0,0,0,1,20,MEM
"Jan 13, 2025 - MEM @ HOU",L,17:57,5,2,5,40,0,2,0,1,2,50,0,2,2,3,2,0,0,1,4,
"Jan 11, 2025 - MEM @ MIN",W,16:09,11,4,7,57.1,3,4,75,0,0,0,0,1,1,1,0,0,0,0,-4,
"Jan 09, 2025 - MEM vs. HOU",L,23:14,12,4,12,33.3,2,6,33.3,2,5,40,3,6,9,0,1,0,2,1,-2,
"Dec 26, 2024 - MEM vs. TOR",W,3:18,4,2,3,66.7,0,0,0,0,0,0,2,1,3,0,0,0,1,0,3,
"Dec 23, 2024 - MEM vs. LAC",L,31:01:00,11,4,9,44.4,3,6,50,0,1,0,0,7,7,3,2,2,1,1,-10,
"Dec 21, 2024 - MEM @ ATL",W,20:56,10,3,9,33.3,2,7,28.6,2,2,100,1,5,6,4,0,0,1,1,20,
"Dec 19, 2024 - MEM vs. GSW",W,24:41:00,21,8,16,50,5,10,50,0,0,0,2,12,14,4,2,1,1,1,28,
"Dec 15, 2024 - MEM @ LAL",L,19:28,6,1,8,12.5,0,3,0,4,4,100,1,2,3,0,1,1,0,0,1,
"Dec 13, 2024 - MEM vs. BKN",W,25:46:00,20,6,11,54.5,5,9,55.6,3,5,60,0,6,6,0,0,0,2,0,12,
"Dec 08, 2024 - MEM @ WAS",W,19:49,19,7,11,63.6,3,5,60,2,3,66.7,1,6,7,5,1,3,1,1,9,
"Dec 07, 2024 - MEM @ BOS",W,16:42,9,2,5,40,1,2,50,4,4,100,1,5,6,1,0,0,0,1,-5,
"Dec 05, 2024 - MEM vs. SAC",W,29:07:00,15,6,8,75,3,3,100,0,1,0,2,8,10,0,3,0,0,1,23,
"Dec 03, 2024 - MEM @ DAL",L,28:41:00,15,7,8,87.5,1,2,50,0,0,0,2,6,8,3,2,1,1,1,0,
"Dec 01, 2024 - MEM vs. IND",W,25:10:00,15,6,9,66.7,3,5,60,0,0,0,1,3,4,6,1,0,0,2,4,
"Nov 29, 2024 - MEM vs. NOP",W,27:18:00,20,8,9,88.9,3,3,100,1,2,50,0,6,6,4,0,1,2,2,12,
"Nov 27, 2024 - MEM vs. DET",W,22:31,9,4,7,57.1,1,3,33.3,0,0,0,1,5,6,1,0,0,0,1,-3,
"Nov 25, 2024 - MEM vs. POR",W,22:01,13,6,12,50,1,1,100,0,1,0,7,10,17,2,0,0,1,1,6,
"Nov 23, 2024 - MEM @ CHI",W,23:36,10,4,10,40,1,4,25,1,2,50,3,7,10,5,2,0,3,2,12,
"Nov 20, 2024 - MEM vs. PHI",W,26:54:00,12,4,9,44.4,2,3,66.7,2,2,100,1,5,6,6,0,0,3,0,3,
"Nov 19, 2024 - MEM vs. DEN",L,33:16:00,28,12,19,63.2,4,7,57.1,0,1,0,2,9,11,0,1,0,3,1,8,
