Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 14, 2025 - POR vs. BKN",L,34:32:00,21,9,17,52.9,1,5,20,2,2,100,0,2,2,2,1,0,2,1,-11,POR
"Jan 11, 2025 - POR vs. MIA",L,37:21:00,22,7,20,35,3,8,37.5,5,6,83.3,0,3,3,5,0,1,6,2,-18,
"Jan 09, 2025 - POR @ DAL",L,32:23:00,22,8,19,42.1,3,6,50,3,3,100,2,6,8,3,2,1,3,5,-15,
"Jan 08, 2025 - POR @ NOP",W,33:18:00,21,8,13,61.5,4,7,57.1,1,1,100,0,1,1,2,1,0,2,0,28,
"Jan 06, 2025 - POR @ DET",L,43:09:00,20,8,17,47.1,3,7,42.9,1,1,100,1,7,8,8,2,1,1,3,1,
"Jan 04, 2025 - POR @ MIL",W,31:46:00,16,7,15,46.7,2,7,28.6,0,2,0,1,3,4,3,1,0,1,1,1,
"Jan 02, 2025 - POR @ LAL",L,36:54:00,19,6,16,37.5,1,5,20,6,8,75,0,5,5,1,1,0,3,2,-7,
"Dec 30, 2024 - POR vs. PHI",L,34:14:00,12,5,14,35.7,1,8,12.5,1,2,50,0,1,1,1,0,0,3,3,-25,
"Dec 28, 2024 - POR vs. DAL",W,38:03:00,23,9,18,50,2,4,50,3,3,100,1,4,5,4,1,0,0,3,17,
"Dec 26, 2024 - POR vs. UTA",W,30:42:00,27,11,18,61.1,5,10,50,0,0,0,0,5,5,3,0,2,0,2,7,
"Dec 23, 2024 - POR @ DAL",L,24:13:00,13,6,14,42.9,1,4,25,0,0,0,0,2,2,3,3,0,1,1,-16,
"Dec 21, 2024 - POR @ SAS",L,30:31:00,25,11,16,68.8,3,6,50,0,1,0,0,3,3,0,1,0,1,1,-20,
"Dec 19, 2024 - POR vs. DEN",W,28:42:00,27,9,18,50,2,8,25,7,8,87.5,2,4,6,4,0,0,0,1,4,
"Dec 15, 2024 - POR @ PHX",L,32:12:00,12,5,15,33.3,1,8,12.5,1,1,100,1,4,5,5,1,0,0,1,-2,
"Dec 13, 2024 - POR vs. SAS",L,32:45:00,11,5,10,50,1,4,25,0,0,0,0,4,4,2,0,1,2,2,6,
