Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 13, 2025 - DET @ NYK",W,36:06:00,11,3,12,25,1,3,33.3,4,4,100,2,6,8,3,3,0,0,1,12,DET
"Jan 11, 2025 - DET vs. TOR",W,34:50:00,17,6,12,50,2,5,40,3,3,100,0,7,7,3,0,1,1,2,12,
"Jan 09, 2025 - DET vs. GSW",L,32:24:00,13,6,8,75,1,3,33.3,0,0,0,0,4,4,4,0,1,2,2,8,
"Jan 08, 2025 - DET @ BKN",W,25:52:00,9,4,9,44.4,1,3,33.3,0,0,0,0,3,3,5,0,2,1,0,23,
"Jan 06, 2025 - DET vs. POR",W,37:07:00,17,5,8,62.5,2,3,66.7,5,5,100,1,4,5,3,1,0,1,0,9,
"Jan 04, 2025 - DET vs. MIN",W,33:38:00,16,5,13,38.5,2,5,40,4,4,100,2,9,11,4,0,0,4,5,9,
"Jan 03, 2025 - DET vs. CHA",W,36:04:00,24,9,16,56.3,4,5,80,2,2,100,3,7,10,1,3,1,1,1,10,
"Jan 01, 2025 - DET vs. ORL",W,34:52:00,17,7,9,77.8,2,4,50,1,2,50,2,6,8,2,0,1,1,3,19,
"Dec 28, 2024 - DET @ DEN",L,23:30,7,2,6,33.3,1,4,25,2,2,100,1,1,2,1,0,0,0,2,-8,
"Dec 26, 2024 - DET @ SAC",W,27:03:00,4,1,7,14.3,0,2,0,2,2,100,0,3,3,2,0,0,0,2,3,
"Dec 23, 2024 - DET @ LAL",W,29:14:00,6,3,10,30,0,3,0,0,0,0,0,1,1,4,2,2,0,3,-10,
"Dec 21, 2024 - DET @ PHX",W,29:10:00,10,3,5,60,1,2,50,3,4,75,0,3,3,2,0,1,1,2,11,
"Dec 19, 2024 - DET vs. UTA",L,30:17:00,8,3,13,23.1,0,3,0,2,2,100,2,5,7,2,1,2,1,3,-17,
"Dec 12, 2024 - DET @ BOS",L,25:38:00,9,4,9,44.4,1,3,33.3,0,0,0,1,7,8,3,0,0,0,0,-14,
"Dec 07, 2024 - DET @ NYK",W,33:32:00,13,4,8,50,1,4,25,4,4,100,1,8,9,1,0,0,2,1,5,
"Dec 04, 2024 - DET @ BOS",L,31:14:00,27,9,17,52.9,6,9,66.7,3,3,100,1,2,3,2,2,1,0,2,0,
"Dec 03, 2024 - DET vs. MIL",L,32:48:00,16,5,10,50,2,5,40,4,4,100,2,3,5,3,3,1,1,2,-22,
"Nov 30, 2024 - DET vs. PHI",L,22:37,4,1,8,12.5,0,3,0,2,3,66.7,1,6,7,2,0,0,0,0,-22,
"Nov 29, 2024 - DET @ IND",W,29:47:00,16,5,8,62.5,2,5,40,4,4,100,0,5,5,3,1,1,3,2,27,
"Nov 25, 2024 - DET vs. TOR",W,37:29:00,12,3,10,30,1,4,25,5,6,83.3,0,3,3,2,1,0,0,0,10,
"Nov 23, 2024 - DET @ ORL",L,29:00:00,8,3,9,33.3,0,3,0,2,3,66.7,1,4,5,1,1,0,1,0,-19,
"Nov 21, 2024 - DET @ CHA",L,30:52:00,26,10,16,62.5,6,9,66.7,0,0,0,3,5,8,2,1,0,2,2,-7,
"Nov 18, 2024 - DET vs. CHI",L,32:00:00,16,7,15,46.7,1,4,25,1,1,100,0,2,2,0,0,0,1,2,-21,
"Nov 17, 2024 - DET @ WAS",W,28:23:00,12,4,11,36.4,1,3,33.3,3,4,75,2,7,9,3,0,1,0,0,24,
"Nov 15, 2024 - DET @ TOR",W,27:48:00,11,5,13,38.5,1,4,25,0,0,0,2,9,11,3,0,0,2,4,5,
"Nov 13, 2024 - DET @ MIL",L,44:12:00,10,4,15,26.7,2,5,40,0,0,0,0,8,8,5,1,2,0,2,1,
"Nov 12, 2024 - DET vs. MIA",W,40:07:00,18,7,15,46.7,2,4,50,2,2,100,2,5,7,4,1,0,2,0,4,
"Nov 10, 2024 - DET vs. HOU",L,34:42:00,9,3,5,60,1,2,50,2,5,40,2,6,8,1,3,2,2,1,3,
"Nov 08, 2024 - DET vs. ATL",W,30:34:00,22,7,13,53.8,5,8,62.5,3,4,75,0,6,6,2,0,3,0,1,1,
"Nov 06, 2024 - DET @ CHA",L,31:57:00,14,7,12,58.3,0,3,0,0,1,0,0,7,7,3,1,1,1,5,-8,
"Nov 04, 2024 - DET vs. LAL",W,30:03:00,15,7,15,46.7,1,7,14.3,0,0,0,0,7,7,1,1,1,2,5,17,
"Nov 03, 2024 - DET @ BKN",W,34:38:00,18,8,13,61.5,1,4,25,1,1,100,3,2,5,6,0,0,1,1,12,
"Nov 01, 2024 - DET vs. NYK",L,25:33:00,13,5,8,62.5,1,2,50,2,2,100,0,8,8,3,1,3,3,1,-14,
"Oct 30, 2024 - DET @ PHI",W,35:05:00,18,8,18,44.4,0,3,0,2,2,100,0,14,14,1,0,1,1,5,5,
"Oct 28, 2024 - DET @ MIA",L,36:44:00,9,4,11,36.4,0,3,0,1,1,100,2,8,10,1,1,1,2,2,7,
"Oct 26, 2024 - DET vs. BOS",L,31:29:00,8,2,11,18.2,0,5,0,4,4,100,2,9,11,3,1,1,2,6,-12,
"Oct 25, 2024 - DET @ CLE",L,34:40:00,10,3,9,33.3,2,3,66.7,2,2,100,0,5,5,4,1,1,1,1,-5,
"Oct 23, 2024 - DET vs. IND",L,35:48:00,13,6,13,46.2,1,6,16.7,0,0,0,1,1,2,1,0,1,2,3,-11,
"Apr 14, 2024 - PHI vs. BKN",W,30:00:00,21,8,15,53.3,3,6,50,2,2,100,2,6,8,2,1,1,1,1,19,
"Apr 12, 2024 - PHI vs. ORL",W,37:54:00,14,5,10,50,1,2,50,3,3,100,2,4,6,3,2,2,1,2,24,
"Apr 09, 2024 - PHI vs. DET",W,28:07:00,15,6,13,46.2,0,2,0,3,4,75,4,8,12,4,0,1,0,0,4,
"Apr 02, 2024 - PHI vs. OKC",W,34:59:00,18,5,14,35.7,5,8,62.5,3,4,75,0,6,6,4,0,1,1,3,1,
"Mar 31, 2024 - PHI @ TOR",W,30:02:00,21,8,13,61.5,1,3,33.3,4,4,100,3,6,9,3,0,3,1,2,8,
"Mar 29, 2024 - PHI @ CLE",L,34:50:00,21,8,17,47.1,4,9,44.4,1,1,100,0,7,7,2,1,1,0,0,-10,
"Mar 27, 2024 - PHI vs. LAC",L,38:09:00,14,5,9,55.6,2,3,66.7,2,2,100,0,7,7,2,0,2,2,3,1,
"Mar 25, 2024 - PHI @ SAC",L,25:42:00,12,5,15,33.3,0,2,0,2,2,100,0,8,8,0,0,0,2,2,-13,
