Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIA @ LAL",L,38:15:00,34,12,18,66.7,7,12,58.3,3,3,100,0,4,4,3,1,0,7,1,-10,MIA
"Jan 13, 2025 - MIA @ LAC",L,37:06:00,32,9,20,45,4,13,30.8,10,12,83.3,0,11,11,7,0,0,1,0,-2,
"Jan 11, 2025 - MIA @ POR",W,31:39:00,32,11,22,50,7,14,50,3,4,75,2,3,5,5,0,0,1,1,9,
"Jan 09, 2025 - MIA @ UTA",W,37:22:00,23,7,16,43.8,4,9,44.4,5,5,100,0,7,7,5,1,1,1,1,1,
"Jan 07, 2025 - MIA @ GSW",W,26:20:00,14,4,14,28.6,3,9,33.3,3,3,100,0,8,8,3,1,0,0,1,-2,
"Jan 06, 2025 - MIA @ SAC",L,48:52:00,26,11,25,44,4,10,40,0,0,0,1,6,7,4,2,0,3,2,-6,
"Jan 04, 2025 - MIA vs. UTA",L,29:21:00,15,4,12,33.3,1,8,12.5,6,6,100,0,4,4,6,1,0,3,1,-28,
"Jan 02, 2025 - MIA vs. IND",L,35:45:00,17,6,12,50,3,7,42.9,2,2,100,0,3,3,3,0,0,3,2,-4,
"Jan 01, 2025 - MIA vs. NOP",W,40:14:00,32,11,22,50,5,12,41.7,5,5,100,0,1,1,4,0,0,0,1,13,
"Dec 29, 2024 - MIA @ HOU",W,36:57:00,27,10,17,58.8,3,7,42.9,4,7,57.1,0,6,6,9,0,0,3,2,13,
"Dec 28, 2024 - MIA @ ATL",L,35:55:00,28,8,15,53.3,4,7,57.1,8,8,100,0,7,7,10,0,0,2,3,-3,
"Dec 26, 2024 - MIA @ ORL",W,32:03:00,20,8,17,47.1,3,6,50,1,1,100,0,3,3,2,1,0,6,1,-10,
"Dec 23, 2024 - MIA vs. BKN",W,38:40:00,17,5,13,38.5,2,7,28.6,5,6,83.3,0,12,12,9,0,1,1,0,13,
"Dec 21, 2024 - MIA @ ORL",L,38:21:00,22,7,17,41.2,3,9,33.3,5,7,71.4,0,6,6,5,0,0,4,1,-5,
"Dec 20, 2024 - MIA vs. OKC",L,35:38:00,28,11,24,45.8,3,10,30,3,5,60,3,9,12,5,3,0,0,1,-2,
"Dec 16, 2024 - MIA @ DET",L,40:35:00,23,9,25,36,4,17,23.5,1,1,100,0,4,4,1,1,0,3,0,6,
"Dec 12, 2024 - MIA vs. TOR",W,32:19:00,23,9,13,69.2,4,7,57.1,1,1,100,0,4,4,4,0,0,2,1,30,
"Dec 08, 2024 - MIA vs. CLE",W,35:51:00,34,10,19,52.6,5,9,55.6,9,9,100,2,4,6,7,0,0,2,2,5,
"Dec 07, 2024 - MIA vs. PHX",W,34:28:00,17,8,12,66.7,1,4,25,0,0,0,0,8,8,7,2,0,3,3,11,
"Dec 04, 2024 - MIA vs. LAL",W,26:45:00,31,11,19,57.9,9,16,56.3,0,1,0,0,5,5,4,1,0,4,1,30,
"Dec 02, 2024 - MIA @ BOS",L,35:02:00,19,6,19,31.6,2,10,20,5,6,83.3,0,5,5,4,0,0,2,2,-17,
"Dec 01, 2024 - MIA @ TOR",L,36:49:00,31,9,16,56.3,6,12,50,7,7,100,0,4,4,3,2,0,1,1,-11,
"Nov 29, 2024 - MIA vs. TOR",W,36:36:00,23,8,18,44.4,4,10,40,3,3,100,1,2,3,4,1,0,1,0,16,
"Nov 27, 2024 - MIA @ CHA",W,38:00:00,27,11,22,50,4,12,33.3,1,2,50,0,8,8,5,1,0,6,2,9,
"Nov 26, 2024 - MIA vs. MIL",L,39:56:00,18,5,14,35.7,3,9,33.3,5,6,83.3,0,5,5,5,1,0,1,0,-3,
"Nov 24, 2024 - MIA vs. DAL",W,42:27:00,18,8,25,32,1,10,10,1,2,50,0,10,10,5,1,0,1,1,-1,
"Nov 18, 2024 - MIA vs. PHI",W,31:55:00,18,6,15,40,2,10,20,4,4,100,1,4,5,5,0,0,3,0,12,
"Nov 17, 2024 - MIA @ IND",L,37:46:00,28,8,18,44.4,7,11,63.6,5,5,100,0,4,4,4,1,0,1,1,-10,
"Nov 15, 2024 - MIA @ IND",W,34:08:00,20,6,16,37.5,2,9,22.2,6,6,100,1,2,3,5,0,0,4,0,2,
"Nov 12, 2024 - MIA @ DET",L,42:19:00,40,14,27,51.9,10,17,58.8,2,2,100,0,5,5,8,4,0,1,3,3,
"Nov 10, 2024 - MIA @ MIN",W,33:53:00,26,9,15,60,4,8,50,4,5,80,0,6,6,3,0,0,8,5,-6,
"Nov 08, 2024 - MIA @ DEN",L,40:14:00,24,10,21,47.6,4,10,40,0,0,0,1,6,7,11,0,0,1,0,-3,
"Nov 06, 2024 - MIA @ PHX",L,35:01:00,28,9,15,60,5,9,55.6,5,5,100,0,3,3,6,0,0,3,3,5,
"Nov 04, 2024 - MIA vs. SAC",L,33:46:00,27,9,18,50,5,11,45.5,4,5,80,0,6,6,3,0,1,4,2,-6,
"Nov 02, 2024 - MIA @ WAS",W,19:45,15,5,9,55.6,2,4,50,3,6,50,0,6,6,1,0,0,2,6,17,
"Oct 30, 2024 - MIA vs. NYK",L,35:19:00,34,12,20,60,8,13,61.5,2,2,100,0,5,5,7,1,0,1,2,-3,
"Oct 28, 2024 - MIA vs. DET",W,33:15:00,19,7,20,35,3,12,25,2,2,100,0,4,4,6,1,0,2,0,-7,
"Oct 26, 2024 - MIA @ CHA",W,32:37:00,22,7,15,46.7,3,7,42.9,5,6,83.3,1,4,5,5,1,0,3,3,0,
"Oct 23, 2024 - MIA vs. ORL",L,28:45:00,14,5,11,45.5,2,5,40,2,2,100,0,5,5,3,0,1,1,1,-27,
"Apr 14, 2024 - MIA vs. TOR",W,29:27:00,17,5,11,45.5,2,5,40,5,5,100,0,6,6,8,1,0,6,1,22,
"Apr 12, 2024 - MIA vs. TOR",W,28:55:00,17,4,10,40,3,6,50,6,6,100,0,3,3,5,0,0,2,3,11,
