iter	Passed	Remaining
0	145	72662
1	148	36904
2	150	24991
3	153	19037
4	156	15512
5	159	13151
6	162	11431
7	164	10117
8	166	9108
9	169	8314
10	173	7709
11	176	7167
12	179	6710
13	181	6314
14	184	5950
15	187	5685
16	191	5446
17	194	5198
18	197	4991
19	199	4786
20	202	4613
21	205	4470
22	208	4319
23	210	4182
24	213	4060
25	216	3947
26	222	3904
27	225	3803
28	228	3708
29	230	3617
30	234	3552
31	238	3485
32	241	3415
33	244	3351
34	247	3282
35	251	3235
36	254	3185
37	257	3128
38	260	3073
39	262	3021
40	266	2980
41	269	2939
42	272	2890
43	275	2851
44	277	2810
45	281	2775
46	284	2742
47	287	2702
48	290	2670
49	293	2637
50	298	2625
51	301	2594
52	304	2565
53	307	2536
54	309	2502
55	313	2483
56	317	2464
57	319	2434
58	322	2409
59	324	2382
60	327	2359
61	331	2340
62	333	2315
63	336	2292
64	339	2270
65	342	2250
66	346	2236
67	349	2217
68	351	2198
69	355	2181
70	358	2165
71	361	2151
72	364	2134
73	367	2115
74	370	2099
75	374	2088
76	378	2077
77	380	2058
78	383	2042
79	386	2027
80	388	2011
81	393	2006
82	396	1990
83	399	1977
84	401	1961
85	404	1946
86	423	2008
87	425	1993
88	428	1978
89	430	1962
90	433	1948
91	436	1934
92	439	1923
93	441	1908
94	444	1896
95	447	1883
96	450	1870
97	453	1858
98	457	1853
99	460	1842
100	463	1832
101	466	1820
102	470	1812
103	473	1801
104	475	1789
105	478	1777
106	480	1766
107	483	1753
108	486	1744
109	488	1733
110	491	1721
111	493	1709
112	495	1698
113	498	1688
114	503	1684
115	505	1674
116	508	1663
117	510	1653
118	513	1642
119	517	1637
120	519	1628
121	522	1619
122	525	1610
123	527	1599
124	530	1590
125	533	1583
126	536	1574
127	538	1565
128	541	1557
129	544	1549
130	549	1548
131	552	1540
132	555	1532
133	558	1525
134	562	1520
135	565	1513
136	567	1504
137	570	1496
138	572	1488
139	578	1486
140	581	1481
141	585	1477
142	588	1468
143	593	1466
144	595	1458
145	598	1450
146	600	1442
147	603	1434
148	606	1428
149	610	1424
150	613	1417
151	615	1409
152	618	1403
153	623	1401
154	626	1394
155	629	1387
156	631	1380
157	634	1373
158	637	1367
159	640	1361
160	642	1353
161	645	1346
162	647	1338
163	649	1331
164	652	1324
165	656	1320
166	658	1313
167	661	1307
168	664	1301
169	667	1296
170	671	1291
171	673	1285
172	676	1279
173	679	1274
174	682	1267
175	686	1263
176	688	1257
177	691	1250
178	694	1244
179	696	1239
180	702	1237
181	704	1231
182	707	1226
183	710	1220
184	713	1214
185	717	1211
186	720	1205
187	723	1200
188	726	1194
189	728	1188
190	733	1186
191	736	1181
192	739	1176
193	742	1171
194	745	1165
195	749	1163
196	752	1157
197	755	1152
198	758	1146
199	761	1142
200	765	1138
201	768	1134
202	771	1128
203	774	1123
204	777	1119
205	781	1115
206	784	1110
207	787	1105
208	790	1100
209	793	1095
210	796	1090
211	799	1085
212	801	1080
213	804	1075
214	807	1070
215	811	1066
216	814	1061
217	816	1056
218	819	1051
219	822	1046
220	826	1043
221	829	1038
222	832	1033
223	834	1028
224	837	1023
225	842	1021
226	845	1016
227	848	1011
228	851	1007
229	854	1002
230	860	1001
231	862	996
232	865	992
233	868	987
234	871	982
235	875	979
236	877	974
237	880	969
238	883	965
239	886	960
240	889	956
241	892	951
242	895	947
243	898	942
244	901	937
245	904	933
246	906	928
247	909	924
248	912	919
249	914	914
250	919	912
251	922	908
252	925	903
253	928	899
254	931	895
255	934	891
256	937	886
257	940	882
258	943	877
259	946	873
260	949	869
261	953	865
262	955	861
263	958	856
264	960	852
265	963	847
266	967	844
267	970	840
268	973	835
269	976	831
270	978	827
271	983	824
