Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,HOU,36,31.4,19,7.6,15.4,49,0.3,1.5,20.4,3.6,4.7,75.3,3.4,7.1,10.4,5,2.5,1.3,0.9,2.8,42.9,23,3,6.2,,,,
2023-24,HOU,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5,2.6,1.2,0.7,3.3,43,29,2,0.8,,,,
2022-23,HOU,75,28.9,14.8,5.9,10.7,55.3,0.3,0.8,33.3,2.7,3.8,71.5,3.2,5.8,9,3.9,2.6,0.9,0.9,3.4,34.5,29,2,-3.8,,,,
2021-22,HOU,72,20.7,9.6,3.5,7.3,47.4,0.4,1.6,24.8,2.3,3.2,71.1,1.9,3.5,5.5,2.6,2,0.8,0.9,3,23.3,8,0,-4.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,HOU,36,31.4,114.3,105.1,9.2,25.1,2.01,20.1,9.6,21.4,15.3,10,50,54.2,25.9,99.11,16.5,,,,,,,,,,,
2023-24,HOU,63,32.5,113.9,113.2,0.8,24.8,1.93,19.4,8.6,19.3,13.9,10.1,55.3,58.5,27,99.22,14.9,,,,,,,,,,,
2022-23,HOU,75,28.9,112.5,120.3,-7.8,19.9,1.51,20.7,10.7,20.4,15.4,13.7,56.5,59.9,21.1,99.97,12.5,,,,,,,,,,,
2021-22,HOU,72,20.7,106.4,116.6,-10.2,19.3,1.28,19.4,8.9,17.4,13,15.2,50.2,55.2,21.4,101.69,9.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,HOU,36,31.4,2.6,3.7,0.7,13.4,9.5,8.6,7.8,30.1,0.9,1.3,2.8,5.2,,,,,,,,,,,,,,
2023-24,HOU,63,32.5,2.8,3.2,1,14.7,9.3,9.2,7.3,31.8,0.7,1.2,3.3,5.2,,,,,,,,,,,,,,
2022-23,HOU,75,28.9,1.6,2.6,0.7,11,11.9,8.1,11.4,29.6,0.9,0.8,3.4,4.4,,,,,,,,,,,,,,
2021-22,HOU,72,20.7,1.3,1.9,0.5,6,9.4,6.5,7.6,23.4,0.9,0.6,3,3.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,HOU,36,31.4,90.3,9.7,76.4,5.6,4.8,3.7,18.8,13.6,70.9,42.5,57.5,100,0,44.9,55.1,,,,,,,,,,,
2023-24,HOU,63,32.5,88.7,11.3,74.2,4.5,7.4,4.9,18.4,13.3,69.7,62.6,37.4,100,0,64.9,35.1,,,,,,,,,,,
2022-23,HOU,75,28.9,92.9,7.1,76.3,2.2,5.1,4.5,18.6,10.6,74.1,49.9,50.1,100,0,52,48,,,,,,,,,,,
2021-22,HOU,72,20.7,77.7,22.3,63.6,1.2,12.6,4.8,23.8,14,62.4,43.6,56.4,96.6,3.4,49.8,50.2,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,HOU,36,1129,25.9,27.4,25.1,4,6.4,31.3,33,37.1,31.1,32.8,33.7,30.2,23.7,27.6,33.8,22.2,39.3,25.6,,,,,,,,
2023-24,HOU,63,2046,27,29.6,25.7,6.3,7.6,33.2,36.5,41.2,28.1,31.2,27.9,31.6,24.1,27.7,30.2,25.7,39.6,27.6,,,,,,,,
2022-23,HOU,75,2171,21.1,23.2,19.9,4.2,4.3,24.2,25.1,41.9,29.3,32.8,27.5,27.5,23.2,36.6,23.8,30.1,34.2,21.7,,,,,,,,
2021-22,HOU,72,1489,21.4,20.6,19.8,7.4,10.2,30.1,31,41.7,27.1,30.9,26.5,26.5,24.6,45.6,24.9,33.8,33.8,20.6,,,,,,,,
