Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,POR,32,31.9,18.6,6.6,15.4,42.7,2.8,8,35.4,2.5,2.8,91,0.3,2.4,2.7,5.1,2.5,0.9,0.1,2,29.9,1,0,-6.8,,,,
2023-24,POR,46,34.4,22.6,7.8,18.2,43,3.4,8.8,38.5,3.5,3.9,91.6,0.5,3.2,3.6,5.5,2.7,0.5,0.1,2.1,34.3,3,0,-7.2,,,,
2022-23,POR,62,35,21.1,7.5,16.9,44.7,3.4,9.1,37.7,2.6,2.9,89.4,0.3,2.3,2.6,4.1,2.1,0.7,0.2,2.3,30.9,0,0,-1.2,,,,
2021-22,POR,57,29.5,17.3,6.2,14,44.3,3.1,7.8,40.5,1.8,2,88.8,0.5,2.2,2.6,3.9,2,0.5,0.1,1.9,26.2,2,0,-1.5,,,,
2020-21,POR,64,17.3,7.8,2.6,6.3,41.9,1.9,4.4,42.6,0.7,0.9,80.7,0.2,2,2.2,1.4,0.7,0.3,0.1,1.5,13.1,0,0,0.7,,,,
2019-20,POR,70,20.7,8.3,3.1,7.7,39.9,1.1,3.2,33.2,1.1,1.3,82.6,0.4,1.8,2.2,1.4,0.9,0.4,0.1,1.9,13.6,1,0,-3.5,,,,
2018-19,POR,20,7,3.8,1.4,3.2,44.4,0.5,1.5,34.5,0.5,0.8,56.3,0.2,0.5,0.7,0.7,0.6,0.1,0,0.5,5.1,0,0,-2.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,POR,32,31.9,107.3,117.1,-9.7,26,2.06,21.2,0.8,7.3,4,10.3,51.9,55.7,25,99.59,10.1,,,,,,,,,,,
2023-24,POR,46,34.4,109.9,120.5,-10.6,26.8,2.02,19.8,1.3,9.7,5.3,9.8,52.3,56.8,27.6,97.9,11.1,,,,,,,,,,,
2022-23,POR,62,35,114.1,115.7,-1.6,18.6,1.98,16.9,0.8,6.7,3.8,8.6,54.8,58.1,24.7,99.22,9.7,,,,,,,,,,,
