Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,LAL,31,34.8,18.3,6.1,14,43.8,2.6,7.3,36.1,3.4,4.1,81.3,0.9,3.4,4.3,5.9,2.5,1.1,0.1,2.1,33.3,5,1,0.9,,,,
2023-24,LAL,82,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,0.7,3.6,4.3,5.5,2.1,0.8,0.3,1.9,30.4,9,1,-0.5,,,,
2022-23,LAL,64,28.8,13,4,7.7,52.9,1.3,3.4,39.8,3.6,4.1,86.4,0.5,2.5,3,3.4,1.5,0.5,0.3,1.7,22.6,1,0,3.3,,,,
2021-22,LAL,61,23.2,7.3,2.4,5.2,45.9,0.9,2.7,31.7,1.6,1.9,83.9,0.7,2.4,3.2,1.8,0.7,0.5,0.3,1.4,15.5,1,1,0.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,LAL,31,34.8,115.1,114,1.2,24.7,2.36,24.5,2.8,9.4,6.2,10.3,53.2,57.7,22.4,99.62,10.3,,,,,,,,,,,
2023-24,LAL,82,32.1,114.6,115.6,-1,23.7,2.59,26.9,2.3,10.7,6.7,10.4,56.8,61.3,19.8,101.93,10.5,,,,,,,,,,,
2022-23,LAL,64,28.8,115.4,110.5,4.9,15.5,2.17,23.7,1.8,7.9,5.1,10.9,61.6,68.7,15.4,103.38,10,,,,,,,,,,,
2021-22,LAL,61,23.2,110.8,109,1.8,10.1,2.75,21.2,3.1,9.9,6.6,7.7,54.2,60,12.1,101.81,7.6,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,LAL,31,34.8,2,1.5,2.4,6.3,12.1,11.2,13,38.3,0.1,0.5,2.1,4.2,,,,,,,,,,,,,,
2023-24,LAL,82,32.1,1.9,0.8,2.3,6.2,11.1,9.4,10.9,34,0.3,0.6,1.9,3,,,,,,,,,,,,,,
2022-23,LAL,64,28.8,1.9,1.1,2.3,4.7,10.1,8.3,9.3,31.1,0.3,0.3,1.7,3.7,,,,,,,,,,,,,,
2021-22,LAL,61,23.2,1.5,0.6,1,2.7,7.1,6.2,7.1,24.1,0.3,0.2,1.4,2.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,LAL,31,34.8,47.7,52.3,38.2,3.5,43.5,12.9,18.3,10.8,34.6,50.9,49.1,78,22,62.6,37.4,,,,,,,,,,,
2023-24,LAL,82,32.1,55.3,44.7,46.6,7.7,35.5,14.8,17.9,12.2,38.9,40.9,59.1,67.5,32.5,49.9,50.1,,,,,,,,,,,
2022-23,LAL,64,28.8,55.9,44.1,41.5,5.8,31,17.3,27.5,14.3,35.8,40.5,59.5,86,14,55.6,44.4,,,,,,,,,,,
2021-22,LAL,61,23.2,47.5,52.5,41.9,5,35.8,14.4,22.3,20.5,36.9,55.9,44.1,98.1,1.9,71.2,28.8,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,LAL,31,1080,22.4,20.5,22.5,29.5,29.9,23.2,22.9,13.7,14.5,14.3,29.1,25.9,20,3.7,18.1,18.5,27.3,21.9,,,,,,,,
2023-24,LAL,82,2629,19.8,19.4,19.9,24.5,25.1,21.8,20,13.2,15.7,15.2,29.2,23.5,17.5,8.2,18.8,18.5,21.7,20.3,,,,,,,,
2022-23,LAL,64,1843,15.4,15.7,14.7,21.8,18.9,25.3,23,8.5,11.8,11,22.3,17.6,14,9.9,10.7,15.9,25.7,18.1,,,,,,,,
2021-22,LAL,61,1418,12.1,11.9,12.3,15.2,16.3,19,16.8,16.5,14.7,15.1,15.9,9.9,13,12,9.8,16.1,20.8,13.3,,,,,,,,
