Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIA,35,34.4,16.2,6.2,13.6,45.6,0.7,2.6,27.8,3.1,4.3,72.2,2.4,7.5,9.8,4.6,2.1,1.5,0.8,2.1,39.8,19,1,0.5,,,,
2023-24,MIA,71,34,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,2.2,8.1,10.4,3.9,2.3,1.1,0.9,2.2,41.5,42,2,0.7,,,,
2022-23,MIA,75,34.6,20.4,8,14.9,54,0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,2.5,1.2,0.8,2.8,39.7,31,0,1.6,,,,
2021-22,MIA,56,32.6,19.1,7.3,13,55.7,0,0.1,0,4.6,6.1,75.3,2.4,7.6,10.1,3.4,2.6,1.4,0.8,3.1,40.2,27,0,5.4,,,,
2020-21,MIA,64,33.5,18.7,7.1,12.5,57,0,0.1,25,4.4,5.5,79.9,2.2,6.7,9,5.4,2.6,1.2,1,2.3,41.5,33,2,0.4,,,,
2019-20,MIA,72,33.6,15.9,6.1,11,55.7,0,0.2,14.3,3.7,5.3,69.1,2.4,7.8,10.2,5.1,2.8,1.1,1.3,2.5,40.3,40,3,3.4,,,,
2018-19,MIA,82,23.3,8.9,3.4,5.9,57.6,0,0.2,20,2,2.8,73.5,2,5.3,7.3,2.2,1.5,0.9,0.8,2.5,24.5,11,0,0.3,,,,
2017-18,MIA,69,19.8,6.9,2.5,4.9,51.2,0,0.1,0,1.9,2.6,72.1,1.7,3.8,5.5,1.5,1,0.5,0.6,2,18,7,0,-0.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
