Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,IND,37,33,16.7,5.8,12.4,46.6,1.5,4,37.2,3.7,4.4,82.9,1.2,4.9,6.1,1.9,2.1,0.6,0.4,2.7,27.7,6,0,1.6,,,,
2023-24,IND,59,26.1,14.5,5,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,1,2.9,4,2,1.6,0.6,0.2,2,23.1,3,0,-1.6,,,,
2022-23,IND,78,28.5,16.7,5.3,12.2,43.4,1.3,4,32.3,4.8,5.8,82.8,1.1,3,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0,0,-2.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,IND,37,33,113.9,112.2,1.6,8.2,0.9,10.3,3.9,14.3,9.3,11.5,52.6,58.3,21.3,100.61,8.8,,,,,,,,,,,
2023-24,IND,59,26.1,115,117.9,-2.9,10.5,1.23,12.2,3.8,11.3,7.5,10,50.7,56.2,22.6,103.79,8.7,,,,,,,,,,,
2022-23,IND,78,28.5,111.5,115.8,-4.3,7.8,0.76,8.2,3.7,10.3,6.9,10.8,48.7,56.6,23.5,103.25,8.7,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,IND,37,33,2.9,1.4,4.1,7.5,11.3,9.5,8.5,33.3,0.4,0.9,2.7,3.1,,,,,,,,,,,,,,
2023-24,IND,59,26.1,2.5,1.5,2.3,6.1,9.9,9,7.7,33.4,0.2,1.3,2,2.8,,,,,,,,,,,,,,
2022-23,IND,78,28.5,2.6,1.9,3.6,7.2,11.3,9.3,8.7,32.2,0.2,1.1,2.1,3.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,IND,37,33,67.6,32.4,51.2,6.2,26.7,24.5,22.1,17.3,45.1,58.2,41.8,72.7,27.3,62,38,,,,,,,,,,,
2023-24,IND,59,26.1,67.7,32.3,50.5,8.2,28,15.9,21.5,17.2,42.3,58.3,41.7,75,25,62.8,37.2,,,,,,,,,,,
2022-23,IND,78,28.5,67.4,32.6,48.1,5.2,23,21.3,28.9,15.8,42.9,60.1,39.9,74,26,63.4,36.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,IND,37,1219,21.3,19.9,20.8,16,16.8,31.3,30.3,20.6,21.1,21,10.1,22.2,12.1,9.6,32,21.1,25.1,21.1,,,,,,,,
2023-24,IND,59,1538,22.6,20.7,22.7,20.8,20.2,31.6,30.4,17.5,17.8,17.8,13.1,21.5,13.9,8.4,36.3,16.4,26.2,22.4,,,,,,,,
2022-23,IND,78,2222,23.5,21.7,22.9,17.1,19.5,39.4,37.5,17.1,16.3,16.5,9.8,21.2,13.7,4.9,29.2,15.9,30.3,24.4,,,,,,,,
