Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,PHX,25,33.1,17.8,7,14.4,48.5,2.2,5.5,39.1,1.6,2.1,76.9,0.7,2.8,3.5,3.2,2,1.1,0.7,2.6,30.3,0,0,-5.8,,,,
2023-24,PHX,53,33.3,18.2,7.1,13.9,51.3,1.9,4.4,43,2.1,2.5,81.3,1,3.4,4.4,5,2.5,1,0.5,2.4,32.9,3,0,2,,,,
2022-23,WAS,50,33.5,23.2,8.9,17.6,50.6,1.6,4.4,36.5,3.8,4.6,84.2,0.8,3.1,3.9,5.4,2.9,0.9,0.7,2.1,37.8,2,0,0.8,,,,
2021-22,WAS,40,36,23.2,8.7,19.3,45.1,1.6,5.3,30,4.2,5.1,83.3,1,3.8,4.7,6.6,3.4,0.9,0.4,2.4,39.3,4,0,-2.6,,,,
2020-21,WAS,60,35.8,31.3,11.2,23,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45,4,0,-0.1,,,,
2019-20,WAS,57,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5,,,,
2018-19,WAS,82,36.9,25.6,9.3,19.6,47.5,2.5,7.3,35.1,4.4,5.5,80.8,1.1,3.9,5,5.5,2.7,1.5,0.7,2.8,43.6,11,2,-1.4,,,,
2017-18,WAS,82,36.3,22.6,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,79.1,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2,37,4,0,2.2,,,,
2016-17,WAS,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,2,1.1,0.3,2.2,34.1,1,0,4.3,,,,
2015-16,WAS,55,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,0.7,2.7,3.4,2.9,2,1,0.2,2.1,27.4,0,0,-0.4,,,,
