Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NOP,18,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0,0,-7.1,,,,
2023-24,NOP,64,32.9,20.8,7.8,15.9,49.2,1.3,3.8,35.5,3.8,4.8,80.1,0.7,4.4,5.1,5.7,2.5,0.8,0.6,2.3,37.1,3,1,2.7,,,,
2022-23,NOP,45,34.2,24.7,9,18.6,48.4,1.4,3.6,39,5.3,6,88.2,0.5,5,5.5,5.8,3.3,0.7,0.4,2.6,40.1,6,2,2.1,,,,
2021-22,NOP,55,34,22.7,8.2,17.9,46.1,1.3,4.1,32.7,4.8,5.9,82.6,0.6,5.2,5.8,5.6,2.7,0.6,0.5,2.2,38.5,7,0,2.2,,,,
2020-21,NOP,61,34.3,23.8,8.4,18,46.6,2.3,6.1,38.1,4.6,5.2,87.8,0.6,4.3,4.9,4.9,2.5,0.7,0.6,2,38.2,4,0,0.7,,,,
2019-20,NOP,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,0.8,5.3,6.1,4.2,3,1,0.6,2.9,39.2,9,0,-0.7,,,,
2018-19,LAL,52,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0,-1.1,,,,
2017-18,LAL,59,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2,,,,
2016-17,LAL,79,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,1.5,0.6,0.5,2,19.1,0,0,-4.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NOP,18,33.1,107,117.7,-10.7,28,1.35,18,2.7,14,8.3,13.3,53,56,30.5,97.49,12.2,,,,,,,,,,,
2023-24,NOP,64,32.9,116.6,112.6,4,25.9,2.23,21.7,2.1,13.3,7.8,9.7,53.4,57.8,26.9,98.78,12.6,,,,,,,,,,,
2022-23,NOP,45,34.2,115.5,112.5,3,27.7,1.77,19.3,1.5,14.5,8.1,10.9,52.2,58.2,30.6,98.87,14.4,,,,,,,,,,,
2021-22,NOP,55,34,112.7,109.4,3.3,26.8,2.03,19.5,1.9,15.2,8.6,9.6,49.8,55.4,29.1,98.07,13.9,,,,,,,,,,,
2020-21,NOP,61,34.3,115.1,114.2,1,21.8,1.92,17.6,1.6,12.6,7.1,9.2,53.1,58.4,27.9,99.97,12.8,,,,,,,,,,,
2019-20,NOP,62,33.9,110,111.3,-1.3,19.2,1.37,15.3,2.3,14.4,8.4,11.2,53.1,58.7,27.5,105.01,13,,,,,,,,,,,
2018-19,LAL,52,33.9,107.3,108.8,-1.5,12.7,1.19,13.5,2.2,11.3,6.9,11.3,51.8,55.5,22.7,104.41,9.2,,,,,,,,,,,
2017-18,LAL,59,33.5,104.7,107.5,-2.7,17.7,1.54,18.2,2.7,12.1,7.4,11.8,49.7,53.6,21.8,101.47,9.6,,,,,,,,,,,
2016-17,LAL,79,28.9,105.7,112.9,-7.2,10.5,1.43,15.7,2.5,11.4,6.8,10.9,44.2,47.4,16.6,99.79,5.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NOP,18,33.1,2.1,3.7,2.2,7.3,13.6,10.8,15,36.3,0.6,1.2,2.5,3.7,,,,,,,,,,,,,,
2023-24,NOP,64,32.9,2.8,1.4,1.6,7.7,10.8,8.7,9.5,32.2,0.6,0.7,2.3,3.8,,,,,,,,,,,,,,
2022-23,NOP,45,34.2,3.7,2.2,2.4,9.3,12.7,9.8,9.4,34,0.4,0.8,2.6,4.9,,,,,,,,,,,,,,
2021-22,NOP,55,34,3,1.6,1.9,6.9,11,8.6,7.6,32.5,0.5,0.8,2.2,4.8,,,,,,,,,,,,,,
2020-21,NOP,61,34.3,2.6,2,2,6.6,12.9,8.8,9.1,33.1,0.6,0.9,2,4.2,,,,,,,,,,,,,,
2019-20,NOP,62,33.9,3.1,2.2,3.2,8.2,13.7,9.6,11.8,36.5,0.6,0.8,2.9,5,,,,,,,,,,,,,,
2018-19,LAL,52,33.9,2.1,1.4,3.2,10,13.1,9.9,12.5,36.2,0.6,1,2.9,5.1,,,,,,,,,,,,,,
2017-18,LAL,59,33.5,2.4,1.9,2.5,7.7,13.1,9.4,8.6,33.5,0.7,1,2.8,4,,,,,,,,,,,,,,
2016-17,LAL,79,28.9,1.7,1.1,1,3.9,10.6,8.4,9.7,29.1,0.5,0.6,2,2.4,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,NOP,18,33.1,65.5,34.5,56,23,32.3,9.8,11.7,9.3,33,40.2,59.8,83.7,16.3,52.3,47.7,,,,,,,,,,,
2023-24,NOP,64,32.9,76.2,23.8,62.2,25.2,19.4,7.8,18.4,13.5,36.9,41.5,58.5,77.9,22.1,47.8,52.2,,,,,,,,,,,
2022-23,NOP,45,34.2,80.4,19.6,61.2,23.6,17.3,9.7,21.5,15,37.6,38.5,61.5,81.3,18.8,45.3,54.7,,,,,,,,,,,
2021-22,NOP,55,34,77,23,60.8,30.5,17.8,8.4,21.4,13.3,30.3,40.1,59.9,89.2,10.8,48.1,51.9,,,,,,,,,,,
2020-21,NOP,61,34.3,65.9,34.1,51,23.4,29.6,8.3,19.4,10.9,27.6,36.8,63.2,79,21,48.5,51.5,,,,,,,,,,,
2019-20,NOP,62,33.9,65,35,48.3,14.1,30.5,13.4,21.2,13.1,34.3,31.7,68.3,88.7,11.3,48.5,51.5,,,,,,,,,,,
