Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CHA,25,34.3,21.2,7.4,18.3,40.3,3.9,11,35.6,2.5,2.8,88.7,0.9,4,4.9,3.6,2.8,1,0.8,2.7,35,2,0,-5.3,,,,
2023-24,CHA,74,32.2,17.3,6.4,14.6,44,2.5,6.7,37.3,1.9,2.3,82.7,0.8,3.4,4.3,2.4,1.8,0.9,0.6,2.5,28.5,1,0,-6.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CHA,25,34.3,105.9,114,-8.1,18.2,1.27,13.8,2.3,12,6.8,10.9,51,54.2,27,98.56,10.1,,,,,,,,,,,
2023-24,CHA,74,32.2,108.9,119.1,-10.2,11.4,1.33,12,2.5,11.2,6.7,9.1,52.4,55.2,23.5,98.38,8.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,CHA,25,34.3,2.6,3.4,3.1,6,13.3,8.6,9.2,33.3,0.8,0.7,2.7,2.6,,,,,,,,,,,,,,
2023-24,CHA,74,32.2,2.4,1.2,2.6,5.5,11.5,9.5,8.8,36.6,0.6,0.6,2.5,2.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,CHA,25,34.3,39.8,60.2,32.5,4.2,55.6,14.6,11.9,12.5,28.4,52.3,47.7,80.6,19.4,67.4,32.6,,,,,,,,,,,
2023-24,CHA,74,32.2,54.5,45.5,45.7,14.1,43.2,15.2,11.1,13.8,31.6,49.3,50.7,90.8,9.2,65.3,34.7,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,CHA,25,857,27,27.3,28.4,36.3,36,25,22.3,9.9,17.3,15.3,20.4,24.6,18.8,22.4,17.1,19,20.1,28.3,,,,,,,,
2023-24,CHA,74,2383,23.5,23.7,25.1,31.3,29.8,20.3,19.4,13,16.6,15.8,14,19.1,19.3,18.9,19.2,20.5,22.3,24.1,,,,,,,,
