Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BKN,32,32.6,19.5,6.4,12.8,49.6,3.3,7.5,43.6,3.5,3.9,89.5,0.8,3.5,4.3,3,1.7,0.9,0.4,1.8,31.4,1,0,-2.8,,,,
2023-24,BKN,58,27.6,13.4,4.8,10.7,44.6,2.4,6.1,39.1,1.5,1.9,78.9,0.9,3.4,4.3,2.4,1,0.8,0.3,1.8,24.5,1,0,-1.3,,,,
2022-23,TOT,42,28.6,15.5,5.3,11.3,47,2.5,6.1,40.4,2.4,2.9,84.2,0.8,3.6,4.4,1.9,0.9,1.2,0.3,2,27.2,1,0,3.7,,,,
2022-23,BKN,25,30.8,16.6,5.6,12,46.8,2.3,6.2,37.2,3,3.5,85.1,0.8,4,4.8,2.1,1.1,1.4,0.3,2.2,29.5,1,0,2.3,,,,
2022-23,PHX,17,25.3,13.9,4.8,10.2,47.4,2.6,5.8,45.5,1.6,1.9,81.8,0.8,3,3.8,1.5,0.6,0.9,0.4,1.7,23.9,0,0,5.7,,,,
2021-22,PHX,66,26.2,12.5,4.2,9.2,46,2.5,5.9,42.5,1.5,1.7,86,0.6,3.5,4.1,1.5,0.7,0.9,0.2,1.7,22.3,0,0,3.3,,,,
2020-21,PHX,60,24,9.6,3.4,8.1,42,2,5.6,34.9,0.8,1,84.7,0.6,2.8,3.3,1.4,0.7,0.6,0.3,1.4,17.7,0,0,2.9,,,,
2019-20,PHX,57,22,8.8,3.1,7.1,43.5,1.9,4.8,39,0.8,1,80.7,0.9,2.4,3.3,1.2,0.6,0.6,0.4,1.5,17,2,0,0.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BKN,32,32.6,111.9,116.5,-4.6,15.5,1.83,16,2.5,11.2,6.8,8.8,62.4,67,21.3,97.4,12.7,,,,,,,,,,,
2023-24,BKN,58,27.6,111.5,114.9,-3.4,12.9,2.42,16.1,3.2,12.4,7.6,6.7,55.7,58.2,19,98.52,9.7,,,,,,,,,,,
2022-23,TOT,42,28.6,115.3,108.7,6.6,9.9,2.11,12.2,2.9,12,7.6,5.8,57.9,61.7,20.2,99.02,11.3,,,,,,,,,,,
2022-23,BKN,25,30.8,115,111,4,10.5,1.93,12.5,2.6,12.7,7.7,6.5,56.5,61,20.6,98.04,11.4,,,,,,,,,,,
2022-23,PHX,17,25.3,115.8,104.7,11.1,8.8,2.6,11.7,3.4,10.8,7.3,4.5,60.4,62.9,19.5,100.76,11.3,,,,,,,,,,,
2021-22,PHX,66,26.2,110.8,104.6,6.2,7.9,2.11,12.4,2.3,12.3,7.5,5.9,59.6,62.5,16.7,102.22,10.5,,,,,,,,,,,
2020-21,PHX,60,24,112.2,106.5,5.7,8.3,2.15,13.6,2.3,11.8,7,6.3,54.1,56.3,16.4,98.76,8.1,,,,,,,,,,,
2019-20,PHX,57,22,109.3,108.3,1,7.8,2.16,13,3.7,10.9,7.2,6,56.5,58.6,15.1,103.9,8.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
