Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,OKC,10,26.5,16.4,5.6,11.1,50.5,1.4,3.7,37.8,3.8,4.9,77.6,1.6,7.1,8.7,2,2.3,0.8,2.6,1.8,37.7,4,0,9.1,,,,
2023-24,OKC,82,29.4,16.5,6.2,11.6,53,1.6,4.3,37,2.7,3.4,79.3,1.6,6.3,7.9,2.4,1.6,0.6,2.3,2.4,37,23,0,5.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,OKC,10,26.5,113.4,96.8,16.6,10.4,0.87,11.5,5.7,21.8,14.4,13.2,56.8,61.9,24.2,106.06,15.2,,,,,,,,,,,
2023-24,OKC,82,29.4,118.2,109.2,9,11.2,1.53,14.3,5.6,19.8,13.2,9.3,59.8,63.2,21,102.8,13.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,OKC,10,26.5,2.9,2.9,1.8,7.4,7.6,7.7,8.7,26.2,2.6,0.6,1.8,3.2,,,,,,,,,,,,,,
2023-24,OKC,82,29.4,2.3,2.3,1.4,8.4,8.2,10,7.4,28.3,2.3,0.8,2.4,3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,OKC,10,26.5,66.7,33.3,51.2,6.1,25.6,11,23.2,17.7,45.1,66.7,33.3,100,0,75,25,,,,,,,,,,,
2023-24,OKC,82,29.4,63.4,36.6,55.4,4.6,28.5,8.4,16.1,13.6,50.8,65.2,34.8,97.7,2.3,73.5,26.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,OKC,10,265,24.2,22.6,21.7,19.7,18.9,40.9,42.2,38.1,34.1,34.8,14.1,35.4,11.9,50,25,17.8,33.3,24.8,,,,,,,,
2023-24,OKC,82,2413,21,22.1,21.2,21.2,21.9,24.1,25.2,29.9,30.7,30.6,14.5,21.5,13.3,50.9,24.1,21.4,25.9,22.3,,,,,,,,
