Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CHI,34,32.9,18.5,6.3,14.5,43.2,3.1,8.4,37.3,2.9,3.2,89,0.4,3.1,3.4,4.6,2.4,1.1,0.2,2.5,31.1,1,0,-2.8,,,,
2023-24,CHI,79,36.5,19.1,6.8,15.3,44.7,2.6,7,37.6,2.8,3.3,83.8,0.6,4,4.5,5.1,2.1,0.7,0.2,2.4,32.8,5,0,-0.4,,,,
2022-23,CHI,74,23.4,9.7,3.6,8,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1,0.7,0.1,1.6,18.7,1,0,1.9,,,,
2021-22,CHI,61,27.5,12.7,4.6,10.6,43.3,2.2,5.8,38.5,1.3,1.5,85.7,0.3,2.7,3,2.9,1.1,0.5,0.2,2.2,21.4,1,0,-0.6,,,,
2020-21,CHI,69,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,0.4,3.7,4.1,4.8,2.3,0.6,0.2,2.6,27.2,5,0,-1.6,,,,
2019-20,CHI,65,25.8,13.2,4.8,12.2,39.4,2,5.8,35.4,1.6,2,79.1,0.4,3.1,3.5,2.7,1.7,0.8,0.1,1.8,22.4,0,0,-2.5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CHI,34,32.9,111.1,114.8,-3.7,19.9,1.91,20.2,1.1,8.8,5,10.6,54.1,58.2,22.7,106.13,8.9,,,,,,,,,,,
2023-24,CHI,79,36.5,115,115.8,-0.7,20.4,2.44,21.4,1.5,11,6.2,8.8,53.4,57,22.4,97.52,9.9,,,,,,,,,,,
