Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,UTA,34,28.5,17.7,6.4,13.3,48.1,2,4.7,42.8,2.9,3.3,90.1,0.9,1.9,2.8,3.9,2.6,0.8,0.1,2.2,26.8,1,0,-1.4,,,,
2023-24,UTA,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,0.9,1.7,2.6,4.9,2.1,0.8,0.2,2,30.2,4,0,-1.8,,,,
2022-23,UTA,48,23.9,14.3,4.9,9.8,50.6,1,2.5,39.3,3.4,4.1,81.9,0.8,1.4,2.2,2.9,1.8,0.6,0.1,2.3,21.5,1,0,-0.6,,,,
2021-22,CLE,11,28.8,16,6.2,13.7,45,1,4.1,24.4,2.6,3.5,74.4,1.2,2.1,3.3,2.1,2.8,0.9,0,2.3,23,0,0,-2.7,,,,
2020-21,CLE,60,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,1,2.2,3.1,4.4,2.8,1,0.2,2.6,35.4,1,0,-6.3,,,,
2019-20,CLE,65,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,0.9,2.2,3.1,3,2.4,1,0.1,2.2,29.8,0,0,-6.1,,,,
2018-19,CLE,82,31.8,16.7,6.3,14.7,43,1.5,3.6,40.2,2.6,3.1,83.9,0.7,2.2,2.9,3,2.3,0.5,0.1,2.3,24.2,2,0,-8.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,UTA,34,28.5,112.8,115.4,-2.7,21.8,1.49,18.5,3.1,6.3,4.7,12.4,55.7,60.2,24.9,100.59,10.1,,,,,,,,,,,
2023-24,UTA,78,26.6,117,120.4,-3.4,28.3,2.32,22,3.3,6.4,4.9,9.5,54.9,60.7,26.7,101.71,12,,,,,,,,,,,
2022-23,UTA,48,23.9,116.4,116.3,0.1,17.8,1.62,17.8,3.2,5.6,4.4,10.9,55.8,61.6,23,102.3,9.7,,,,,,,,,,,
2021-22,CLE,11,28.8,99.2,105,-5.8,12.5,0.74,10.4,4.1,6.6,5.4,14,48.7,52.3,26.4,99.96,7.4,,,,,,,,,,,
2020-21,CLE,60,35.3,104.8,114,-9.2,22.2,1.57,15.5,2.7,6.3,4.4,9.9,51.9,57.3,28.6,99.26,11.5,,,,,,,,,,,
2019-20,CLE,65,33,107.8,117,-9.2,14.6,1.22,12.4,2.8,6.9,4.8,10.2,51.7,56,26.4,100.37,9.5,,,,,,,,,,,
2018-19,CLE,82,31.8,105.6,118.1,-12.5,15.4,1.31,13.9,2.1,7.2,4.5,10.6,48,52,24.7,98.54,7.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
