Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CLE,34,30,20.5,7.4,14.9,49.5,2.9,6.8,43.1,2.9,3.1,91.5,0.5,2.1,2.6,6.6,2.3,1.1,0.2,2.1,35.4,4,0,7.7,,,,
2023-24,CLE,57,33.3,18,6.6,14.8,44.6,2.3,6.2,37.1,2.6,3.1,83.4,0.5,2.1,2.7,6.5,3.1,1.3,0.1,1.7,32.2,6,0,2,,,,
2022-23,CLE,69,35.5,21.6,7.6,16.4,46.2,2.4,6,41,4,4.7,86.3,0.4,2.3,2.7,7.8,2.9,1.2,0.1,2.1,37.7,18,0,6.3,,,,
2021-22,CLE,68,35.7,21.7,8,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,3.6,1.3,0.1,1.7,39.1,29,1,5.5,,,,
2020-21,CLE,54,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,0.4,2,2.4,6.1,3,1.2,0.1,2,30.4,6,0,-4.4,,,,
2019-20,CLE,59,30.9,12.3,4.7,11.8,40.1,1.8,5,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,2.6,0.7,0.1,1.6,20.2,1,0,-5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CLE,34,30,125.4,113.6,11.8,29.8,2.86,26.5,1.6,6.8,4.3,9.3,59.4,63.2,26,101.6,12.7,,,,,,,,,,,
2023-24,CLE,57,33.3,113.5,111.4,2.1,29.5,2.12,25.5,1.7,6.4,4.1,12,52.4,56,24.9,98.02,10.4,,,,,,,,,,,
2022-23,CLE,69,35.5,116.9,108.8,8,32.8,2.7,26.9,1.2,6.7,4,9.9,53.7,58.7,26.2,97.1,13,,,,,,,,,,,
2021-22,CLE,68,35.7,113.6,106.9,6.6,37.8,2.35,27.8,1.7,7.4,4.6,11.8,53.6,57.6,27.2,97.42,13.4,,,,,,,,,,,
2020-21,CLE,54,33.1,105.7,112.3,-6.6,29.8,2.01,24.4,1.3,6.2,3.7,12.1,51.7,54.7,24.5,98.78,10.1,,,,,,,,,,,
2019-20,CLE,59,30.9,105.2,113.8,-8.7,18.2,1.52,20.6,1.4,4.6,3,13.6,47.6,49.8,20.1,100.37,5.7,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,CLE,34,30,3.6,1.4,2.8,6.8,10,8.1,10.6,30.1,0.2,0.6,2.1,2.8,,,,,,,,,,,,,,
2023-24,CLE,57,33.3,2.4,1.8,2.3,6.7,12.1,9.4,9.5,31.6,0.1,0.8,1.7,2.9,,,,,,,,,,,,,,
2022-23,CLE,69,35.5,4,2,2.1,7.8,10.8,8.8,9.5,33.3,0.1,0.8,2.1,4.3,,,,,,,,,,,,,,
2021-22,CLE,68,35.7,3.1,1.5,1.9,7.8,12.6,9.5,8.6,34.7,0.1,0.8,1.7,3.4,,,,,,,,,,,,,,
2020-21,CLE,54,33.1,2.6,1.2,1.9,8,11.9,7.7,8.7,35,0.1,0.7,2,2.7,,,,,,,,,,,,,,
2019-20,CLE,59,30.9,1.7,1,1.1,4,13.1,8.2,9.7,35.4,0.1,0.6,1.6,1.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,CLE,34,30,54.1,45.9,43,9.8,43,13.8,14,17.4,33.3,33.3,66.7,60,40,44,56,,,,,,,,,,,
2023-24,CLE,57,33.3,57.7,42.3,47.3,9.9,38.5,12.5,14.2,13.3,37.4,34.6,65.4,65.2,34.8,45.3,54.7,,,,,,,,,,,
