Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,POR,26,30.5,14.3,6.7,11.8,56.9,0.2,1.1,21.4,0.7,1.1,62.1,2.8,7.3,10.2,1.5,1.8,0.8,1,2.3,32.4,15,0,-8,,,,
2023-24,POR,55,32.4,16.7,7.8,13.6,57,0,0.2,10,1.2,1.4,82.3,3.2,7.9,11.1,1.6,1.8,1,0.8,2,36,32,0,-5.8,,,,
2022-23,PHX,67,30.4,18,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3,76,2.6,7.4,10,1.7,1.8,0.6,0.8,2.8,34.7,36,0,-0.1,,,,
2021-22,PHX,58,29.5,17.2,7.6,12,63.4,0.1,0.3,36.8,1.8,2.4,74.6,2.6,7.7,10.2,1.4,1.6,0.7,0.7,2.4,34.2,30,0,5.9,,,,
2020-21,PHX,69,30.6,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,3.3,7.2,10.5,1.4,1.5,0.6,1.2,2.8,33.1,33,0,4,,,,
2019-20,PHX,38,32.5,18.2,8.2,14.9,54.6,0.1,0.3,23.1,1.8,2.3,75.3,3.9,7.6,11.5,1.9,2.1,0.7,1.5,3.1,39.3,23,0,2.6,,,,
2018-19,PHX,71,30.7,16.3,7.2,12.3,58.5,0,0.1,0,2,2.7,74.6,3.1,7.1,10.3,1.8,1.8,0.9,0.9,2.9,34.9,39,0,-5.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,POR,26,30.5,106.1,118.8,-12.7,7.7,0.81,9.5,8.6,24.4,16.2,11.7,57.8,58.4,19.3,99.63,12.3,,,,,,,,,,,
2023-24,POR,55,32.4,106.6,115.3,-8.7,8.6,0.91,9.3,9.6,25,17.1,10.2,57.1,58.7,21.1,97.76,14.1,,,,,,,,,,,
2022-23,PHX,67,30.4,113.2,113.2,0,9,0.96,9.5,8.4,24.7,16.4,9.9,59.2,61.7,23.1,98.63,14.5,,,,,,,,,,,
2021-22,PHX,58,29.5,117.2,107.7,9.6,7.1,0.92,9,9.3,24.1,17.2,9.7,63.9,65.6,21.7,100.62,14.8,,,,,,,,,,,
2020-21,PHX,69,30.6,117.1,110.8,6.3,6.6,0.96,10.3,11.7,23.6,17.9,10.7,62.9,65.3,17.9,98.05,13,,,,,,,,,,,
2019-20,PHX,38,32.5,112.5,108.5,4,9.1,0.9,9.5,12,22.5,17.4,10.6,54.8,56.8,23.1,101.95,13.7,,,,,,,,,,,
2018-19,PHX,71,30.7,105.2,113.3,-8.1,9.4,0.99,10.4,10.1,24,16.9,10.5,58.5,60.8,21,101.34,13.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,POR,26,30.5,2.3,3.7,0.7,10.8,13.5,8.7,12.9,29.4,1,0.4,2.3,1.5,,,,,,,,,,,,,,
2023-24,POR,55,32.4,2.3,3.7,0.9,11.5,13,9,11,36.3,0.8,0.7,2,1.4,,,,,,,,,,,,,,
2022-23,PHX,67,30.4,2.8,3.2,0.6,13.2,9.6,8.9,8.7,30.6,0.8,0.6,2.8,2.5,,,,,,,,,,,,,,
2021-22,PHX,58,29.5,2.2,2.3,0.6,13.2,8.5,9,7.2,27.3,0.7,0.6,2.4,2.1,,,,,,,,,,,,,,
2020-21,PHX,69,30.6,1.9,3.1,0.8,11.2,10,8.3,8,30,1.2,0.7,2.8,2.4,,,,,,,,,,,,,,
2019-20,PHX,38,32.5,2.8,3.3,1.7,13.5,10.6,8.4,9.3,33.4,1.5,1,3.1,2.4,,,,,,,,,,,,,,
2018-19,PHX,71,30.7,2.3,3.3,0.9,11.8,12.6,8.8,10.8,35,0.9,0.6,2.9,2.8,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,POR,26,30.5,90.8,9.2,90.3,15.1,4.8,4.8,4.9,15.9,75.3,72.6,27.4,100,0,73.6,26.4,,,,,,,,,,,
2023-24,POR,55,32.4,98.7,1.3,92.6,23.7,0.3,5.1,7.1,13.9,68.9,74.9,25.1,100,0,74.9,25.1,,,,,,,,,,,
2022-23,PHX,67,30.4,97.3,2.7,85.6,12.3,1.7,3.1,12.7,15.7,73.3,79.2,20.8,85.7,14.3,79.3,20.7,,,,,,,,,,,
2021-22,PHX,58,29.5,97.3,2.7,87.3,10.4,2.1,3.7,10.6,13,76.8,80.9,19.1,100,0,81.2,18.8,,,,,,,,,,,
2020-21,PHX,69,30.6,97.1,2.9,85.5,8,1.2,5.4,13.3,13.2,77.4,71.4,28.6,100,0,71.6,28.4,,,,,,,,,,,
2019-20,PHX,38,32.5,97.7,2.3,89,14.8,1.3,9.1,9.7,15.7,74.2,74.6,25.4,100,0,74.8,25.2,,,,,,,,,,,
2018-19,PHX,71,30.7,99.5,0.5,87.8,15.7,0,5.4,12.2,13.9,72.1,71.1,28.9,0,0,71.1,28.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,POR,26,792,19.3,26.1,20.8,3.3,4.9,7.9,9.9,39,36.2,36.9,9.8,17.9,16.7,35.1,11.5,20.6,13.1,21.3,,,,,,,,
2023-24,POR,55,1783,21.1,28.9,23,0.3,0.9,11.8,11.8,40.1,37.4,38.1,10.3,17.4,20,27.5,18.1,16.5,12.8,23.8,,,,,,,,
2022-23,PHX,67,2035,23.1,29,23.5,1.5,1.9,22.7,24.1,37.7,37,37.2,9.9,21.6,12,29.4,24.8,22.6,21.2,25.4,,,,,,,,
2021-22,PHX,58,1713,21.7,27.3,22,1.7,1.8,19.1,21.2,56.9,35.4,39.1,8.1,22.5,13,34.8,33.9,21.7,19.6,23.7,,,,,,,,
2020-21,PHX,69,2115,17.9,22.2,17.9,0.8,1.5,20.1,21.9,57.6,34,39,8.5,18.1,13.1,39.1,33.1,24.4,21.2,19.7,,,,,,,,
2019-20,PHX,38,1236,23.1,28.2,24.9,1.2,1.9,13.1,14.8,53.8,32.8,37.8,10.1,21.5,13,47.5,27.2,21.3,16.1,23.4,,,,,,,,
2018-19,PHX,71,2183,21,27.6,22,0,0.3,19.5,20.6,52.6,36.1,39.9,11.1,18.1,14.8,34.7,19.5,20.4,22.7,23.9,,,,,,,,
