Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ATL,25,27.9,19.8,6.4,13.4,47.9,2.7,6.3,43.3,4.2,4.9,86.1,0.6,3.4,4,1.4,1.4,0.9,0.1,2.3,28.3,0,0,0.5,,,,
2023-24,ATL,57,29.5,15.6,5.3,11.6,45.9,2.1,5.3,38.5,2.9,3.4,84.7,0.5,3.4,3.9,1.5,1.5,0.7,0.3,2.6,24.1,3,0,-0.9,,,,
2022-23,ATL,67,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5,0.3,3,23.7,1,0,-0.3,,,,
2021-22,ATL,53,29.8,13.4,4.8,10.8,44.2,1.4,3.7,37.9,2.4,3.1,76.5,0.5,2.8,3.3,1.3,1.3,0.7,0.4,2.9,21.2,2,0,0.5,,,,
2020-21,ATL,23,29.5,15,5.2,10.8,48.4,1.3,4.1,32.6,3.2,3.7,85.9,0.7,4,4.8,1.9,1.3,0.8,0.5,2.6,26.3,1,0,3.7,,,,
2019-20,ATL,63,32,12.3,4.4,10.8,41,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,1.6,0.7,0.3,2.9,21.8,3,0,-4.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ATL,25,27.9,113.7,113.1,0.6,7.8,1,7.6,2.2,11.5,6.8,7.6,58,63.5,23.9,107.01,11.2,,,,,,,,,,,
2023-24,ATL,57,29.5,116.7,117.9,-1.3,7.3,1.05,9.5,1.8,11.6,6.6,9.1,54.7,59.5,20.4,101.11,7.9,,,,,,,,,,,
2022-23,ATL,67,31.7,114.9,115.5,-0.6,5.9,1.15,8.6,2.1,11.2,6.6,7.5,52.2,56.3,19.3,102.79,6.9,,,,,,,,,,,
2021-22,ATL,53,29.8,114.6,113.9,0.7,6,0.99,8.7,1.6,9.3,5.5,8.8,50.6,54.7,19.4,100.17,5.8,,,,,,,,,,,
2020-21,ATL,23,29.5,111.3,105.9,5.5,9.8,1.52,12.2,2.4,12.5,7.6,8.1,54.6,60.3,19.4,101.8,10.4,,,,,,,,,,,
2019-20,ATL,63,32,108,113.6,-5.5,7.9,1.09,11.7,2.1,11.6,6.8,10.7,48.9,52.1,17.3,103.96,5.8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ATL,25,27.9,3.4,1.6,3.2,6,12.2,7.6,10.2,28.7,0.1,0.8,2.3,4.2,,,,,,,,,,,,,,
2023-24,ATL,57,29.5,2.1,1.5,1.4,4.6,10.2,8.5,9.9,32.6,0.3,0.5,2.6,3.4,,,,,,,,,,,,,,
2022-23,ATL,67,31.7,2.3,1.4,2,5.1,9.9,8.9,10.6,36.6,0.3,0.7,3,3.3,,,,,,,,,,,,,,
2021-22,ATL,53,29.8,2,0.9,1.4,5.2,9.5,8.2,7.9,29.8,0.4,0.7,2.9,2.9,,,,,,,,,,,,,,
2020-21,ATL,23,29.5,2,1.6,1.1,5.6,9.2,8.5,8.1,28.8,0.5,0.3,2.6,3.2,,,,,,,,,,,,,,
2019-20,ATL,63,32,1.6,1.3,1.7,4,12.7,9.4,10.6,35.9,0.3,0.9,2.9,2.1,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ATL,25,27.9,53.3,46.7,37.6,7.3,41.2,16.2,21.2,17.4,30.3,68.8,31.2,94.1,5.9,79.5,20.5,,,,,,,,,,,
2023-24,ATL,57,29.5,54.1,45.9,42,12.3,39.4,9.2,18.6,13.7,29.6,67.4,32.6,90.6,9.4,76.3,23.7,,,,,,,,,,,
2022-23,ATL,67,31.7,65.2,34.8,54.2,20.8,29.2,13.3,16.6,14.9,33.4,58.8,41.2,91,9,67.3,32.7,,,,,,,,,,,
2021-22,ATL,53,29.8,66.1,33.9,50.8,11.8,31.3,10.3,17.9,15,38.9,66.1,33.9,93.2,6.8,74,26,,,,,,,,,,,
2020-21,ATL,23,29.5,61.7,38.3,51.7,14.5,27,7.3,21.3,13.1,37.2,62.9,37.1,90.3,9.7,70,30,,,,,,,,,,,
2019-20,ATL,63,32,55.5,44.5,44.2,11.8,41.6,13.4,14.2,13,32.4,56.4,43.6,94.4,5.6,71.1,28.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,ATL,25,697,23.9,26.4,25.6,33.7,28.7,30.6,28.8,9.6,17.1,15.2,8.2,15.4,15.1,3.8,27,22.1,30.8,28,,,,,,,,
