Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NOP,20,33.7,16.1,6.1,16,37.9,1.3,5.3,24.8,2.7,3.4,80.6,0.5,5.9,6.4,7.9,3.8,2.5,0.5,2.3,40.7,6,1,-9.7,,,,
2023-24,ATL,78,35.7,22.5,8.6,18.8,45.9,2.6,7.1,36.3,2.7,3.4,79.4,0.8,4.5,5.3,6.4,2.6,1.4,0.3,1.8,41.1,20,1,-2,,,,
2022-23,ATL,74,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,2.2,1.5,0.3,1.4,39,8,1,-0.8,,,,
2021-22,SAS,68,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.6,2,0.3,2,49.4,39,13,0.7,,,,
2020-21,SAS,67,31.9,15.7,6.6,14.5,45.3,0.9,3,31.7,1.6,2,79.1,0.9,6.2,7.1,5.4,1.7,1.5,0.1,2,35.4,13,4,1.3,,,,
2019-20,SAS,66,25.6,10.9,4.5,9.7,46.2,0.6,1.7,36.9,1.4,1.7,79.8,1,4.8,5.8,4.1,1.9,1.7,0.3,2.2,28,6,0,-2.9,,,,
2017-18,SAS,81,21.5,8.1,3.3,7.5,44.3,0.1,0.4,26.5,1.3,1.8,70.9,1.4,4.3,5.7,2.9,1.7,1.2,0.4,1.9,22.2,7,0,1.9,,,,
2016-17,SAS,38,8.5,3.4,1.3,3.1,43.1,0.2,0.6,39.1,0.6,0.8,70,0.2,0.9,1.1,1.3,1,0.2,0.2,0.8,6.7,0,0,0,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NOP,20,33.7,105.5,118.4,-12.9,35.8,2.07,27.1,1.3,18.5,9.2,13.1,42,46.2,25.4,103.25,10.8,,,,,,,,,,,
2023-24,ATL,78,35.7,116.8,119.5,-2.7,27.4,2.5,22.1,2.1,13,7.2,8.8,52.8,55.5,25.9,101.33,12.2,,,,,,,,,,,
2022-23,ATL,74,36.4,114.3,115.4,-1.1,23.9,2.8,22.4,1.9,12.7,7.1,8,51.4,54,23.9,101.67,12,,,,,,,,,,,
2021-22,SAS,68,34.8,112.9,111,1.9,38.8,3.48,29.2,3.1,19.6,11.2,8.4,50,53.3,26.8,101.61,16.3,,,,,,,,,,,
2020-21,SAS,67,31.9,111.8,109.5,2.3,24.6,3.1,24,2.6,19,10.8,7.7,48.5,50.9,23.1,100.02,12.4,,,,,,,,,,,
2019-20,SAS,66,25.6,109.2,113.5,-4.2,23.2,2.17,25,4,18.4,11.2,11.6,49.4,52.4,20.7,101.68,11.1,,,,,,,,,,,
2017-18,SAS,81,21.5,103,98.7,4.3,20.2,1.72,22.2,6.1,19.6,12.8,12.9,45.1,48.5,20.1,97.27,11.7,,,,,,,,,,,
2016-17,SAS,38,8.5,100.2,100.5,-0.3,23.6,1.26,22.2,2,10.6,6.6,17.6,47,50.3,23,97.42,7.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NOP,20,33.7,3.1,1.3,3,7.4,14.7,10.2,14.2,38.8,0.5,0.7,2.3,2.4,,,,,,,,,,,,,,
2023-24,ATL,78,35.7,3,1.7,2.6,8.8,12.6,10.4,12.5,40.5,0.3,0.9,1.8,2.5,,,,,,,,,,,,,,
2022-23,ATL,74,36.4,3.1,1.1,2.4,8.4,11.2,9.6,11.7,42.1,0.3,0.8,1.4,2.1,,,,,,,,,,,,,,
2021-22,SAS,68,34.8,3.2,1.4,2.9,10.1,10.1,10.2,8.7,36.6,0.3,0.9,2,3.3,,,,,,,,,,,,,,
2020-21,SAS,67,31.9,2.3,1.2,2.4,7.2,8.9,8.6,7.4,32.8,0.1,0.8,2,2,,,,,,,,,,,,,,
2019-20,SAS,66,25.6,1.9,0.8,2.1,5,8.1,7,7.3,26.3,0.3,0.6,2.2,1.6,,,,,,,,,,,,,,
2017-18,SAS,81,21.5,1.5,1,1.5,5.3,6.5,5,5.5,18.9,0.4,0.6,1.9,1.8,,,,,,,,,,,,,,
2016-17,SAS,38,8.5,0.7,0.2,0.6,2.1,2.7,2.2,1.6,7.2,0.2,0.2,0.8,0.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,NOP,20,33.7,67.1,32.9,59,13,24.2,18.3,16.8,18.9,46,27.4,72.6,65.4,34.6,35.5,64.5,,,,,,,,,,,
2023-24,ATL,78,35.7,62.1,37.9,53.7,14.6,34.4,11.8,11.9,13.4,39.1,26.1,73.9,70.6,29.4,39.4,60.6,,,,,,,,,,,
2022-23,ATL,74,36.4,70.7,29.3,63.2,22,26.3,11.7,10.5,15,41.2,19.4,80.6,72.9,27.1,31,69,,,,,,,,,,,
2021-22,SAS,68,34.8,76.3,23.7,66.3,18.6,20,13.7,13.7,15,47.7,18.9,81.1,69.8,30.2,27.4,72.6,,,,,,,,,,,
2020-21,SAS,67,31.9,79.6,20.4,71.9,26.1,18,15.6,10.1,14.9,45.9,27.5,72.5,85.7,14.3,35.8,64.2,,,,,,,,,,,
2019-20,SAS,66,25.6,82.6,17.4,70.3,24.4,17.1,19.2,12.6,17.2,45.8,28.1,71.9,97.6,2.4,37.8,62.2,,,,,,,,,,,
2017-18,SAS,81,21.5,94.4,5.6,79.8,14.7,4.1,19.1,16.1,18.3,65.1,32.6,67.4,100,0,34.8,65.2,,,,,,,,,,,
2016-17,SAS,38,8.5,80.2,19.8,63.1,3.1,20.8,16.9,16.1,20,60,41.5,58.5,88.9,11.1,50,50,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,NOP,20,673,25.4,21.6,25,16.6,21.3,21.6,20.8,6,29,22.3,45.6,35.3,32.5,13.7,21.2,16.4,18.6,21.1,,,,,,,,
2023-24,ATL,78,2783,25.9,26.8,27.2,25.8,26.2,19.3,19.3,8,19.1,15.8,33.2,25.9,26.2,9.4,20.4,12.8,17.3,25.5,,,,,,,,
2022-23,ATL,74,2693,23.9,24.6,25.5,22.9,23.6,16.4,16,8.3,18,15.6,33,22.3,27.8,7.1,19.7,10.3,14.5,23.2,,,,,,,,
2021-22,SAS,68,2366,26.8,26.2,26.8,17.5,18.8,28,26.4,14.4,29,25.4,45.4,31.1,35.1,9.2,25.2,16,25.9,25.5,,,,,,,,
2020-21,SAS,67,2139,23.1,23,24.2,14.3,16.3,15,14.9,14.3,26.9,24.3,32.7,23.9,30.8,3.2,25.9,18,17.4,21.1,,,,,,,,
2019-20,SAS,66,1687,20.7,20.1,20.6,11.2,11.8,15.4,15.6,22.5,25.7,25.1,31.3,28.7,40.7,9,26.1,20.5,16.8,18.5,,,,,,,,
2017-18,SAS,81,1743,20.1,19.1,19.5,3.2,4.3,19.7,20.9,27.1,27.4,27.3,28,27.7,32.6,13.4,28.4,24.9,20.6,18,,,,,,,,
2016-17,SAS,38,321,23,19.8,21.6,22,17.4,19.4,22.6,10.3,15.5,14.4,32.7,38.8,14.3,15,31,24,21.7,19.8,,,,,,,,
