Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,TOT,34,31.7,15.5,5.4,12.9,41.6,2.1,6,35.5,2.6,3.1,85.7,0.3,2.5,2.8,6,2.4,0.9,0.1,2.4,28.7,4,0,-3.2,,,,
2024-25,GSW,11,27.9,9.5,3.3,10.5,31.3,1.3,4.8,26.4,1.6,2.2,75,0.5,1.8,2.4,4.6,2,0.5,0.1,2.4,19.2,0,0,-9.7,,,,
2024-25,BKN,23,33.6,18.4,6.4,14.1,45.2,2.5,6.5,38.7,3.1,3.5,88.9,0.2,2.8,3,6.6,2.6,1.1,0.2,2.4,33.2,4,0,-0.1,,,,
2023-24,TOT,80,31.1,14,5,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,0.5,2.5,3,6.1,1.9,0.8,0.2,2.1,27.9,8,0,-1.6,,,,
2023-24,BKN,29,32,14.6,5.4,12.7,42.4,2.1,5.1,41.2,1.8,2.2,79.7,0.6,2.9,3.5,6,2.4,0.6,0.3,2,28.2,2,0,-3.3,,,,
2023-24,TOR,51,30.6,13.7,4.8,11,44.2,1.5,4.3,35,2.5,2.9,85.2,0.4,2.3,2.7,6.1,1.6,0.9,0.2,2.1,27.7,6,0,-0.6,,,,
2022-23,LAL,66,30.1,12.6,4.1,9.8,41.5,1.1,3.4,32.9,3.3,3.8,85.7,0.3,2.2,2.5,4.5,1.7,0.8,0.2,2.2,23.4,2,0,1.9,,,,
2021-22,TOT,64,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,2.2,0.8,0.1,2.4,25.1,1,0,-0.5,,,,
2021-22,HOU,15,27,10.9,3.7,9.3,39.3,1.3,3.9,32.8,2.3,2.6,87.2,0.4,2.9,3.3,5.9,2.6,0.8,0.2,2.5,24.1,1,0,-6.8,,,,
2021-22,BOS,49,29.2,14.4,5.2,11.9,44,1.4,3.9,34.9,2.5,3,84.8,0.6,2.8,3.3,4.2,2.1,0.8,0.1,2.4,25.4,0,0,1.4,,,,
2020-21,LAL,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,0.5,3,3.5,5.8,2.7,1.1,0.2,2.6,29.6,6,0,1.4,,,,
2019-20,OKC,65,30.8,18.9,7,14.8,46.9,1.9,5,38.5,3,3.6,83.9,0.3,3.3,3.6,4,2.6,0.7,0.2,2.2,29.5,0,0,3.6,,,,
2018-19,OKC,79,29.3,15.5,5.8,14,41.4,1.6,4.6,34.1,2.4,2.9,81.9,0.5,3.1,3.6,4.1,2.2,0.8,0.2,2.4,26.7,3,0,2.1,,,,
