Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BOS,35,34.3,17.1,5.9,13.1,45.2,3.6,9.1,39.2,1.7,2.1,82.2,0.9,3.6,4.5,4.4,1.7,0.9,1.3,2.1,34.1,1,0,7.7,,,,
2023-24,BOS,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,0.7,3.5,4.2,5.2,1.5,1,1.2,2.1,33.1,5,1,8.5,,,,
2022-23,BOS,82,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2,2.3,87.5,0.6,2.9,3.6,3.9,1.2,0.7,0.9,2.2,26.2,7,0,6,,,,
2021-22,TOT,75,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,0.5,3,3.5,4.9,1.6,0.9,0.8,2.3,28,2,0,2.7,,,,
2021-22,BOS,26,27.4,11,3.6,8.8,40.9,1.3,4.3,30.6,2.5,2.9,85.3,0.5,2.9,3.4,3.5,1.2,0.6,0.6,2.2,22.7,0,0,6.5,,,,
2021-22,SAS,49,30.3,14.4,5,11.6,42.6,1.7,5.3,31.4,2.8,3.3,86.9,0.5,3,3.5,5.6,1.8,1,0.9,2.4,30.8,2,0,0.7,,,,
2020-21,SAS,36,29.5,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,0.4,2.6,3,3.5,1.3,0.7,1,2.5,28.1,0,0,2.6,,,,
2019-20,SAS,68,24.7,11.3,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,0.5,2.8,3.3,3.5,1.3,0.6,0.9,2.2,23.7,0,0,0.6,,,,
2018-19,SAS,67,25.8,9.9,3.9,8.1,47.9,0.7,2.1,33.8,1.4,1.8,77.2,0.5,3.2,3.7,3.9,1.4,1,0.7,2.2,23.9,0,0,2.3,,,,
2017-18,SAS,17,8.2,3.2,0.9,1.9,48.5,0.5,0.8,61.5,0.8,1.2,70,0.3,1.2,1.5,0.5,0.4,0.2,0.2,0.5,6.7,0,0,1.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BOS,35,34.3,119.4,108.6,10.8,18.4,2.58,22,2.7,9.9,6.3,8.5,58.8,61.1,19.7,99.09,10.5,,,,,,,,,,,
2023-24,BOS,73,32.6,122.4,109.9,12.5,20.9,3.37,27.1,2.2,10,6.3,8.1,57.8,61.1,18.3,99.48,10.6,,,,,,,,,,,
2022-23,BOS,82,28.3,118.2,107.2,11,19.1,3.38,25.6,2.3,9.8,6.2,7.6,56,60.4,17.4,99.87,10,,,,,,,,,,,
2021-22,TOT,75,29.3,111.3,106.4,4.9,23.1,3.08,26.5,1.7,9.4,5.6,8.6,49.3,54.9,19.6,100.43,10.1,,,,,,,,,,,
2021-22,BOS,26,27.4,118.2,105.7,12.6,17.9,2.88,23.8,1.9,9.9,6.1,8.3,48.3,54.4,18.2,98.21,8.5,,,,,,,,,,,
2021-22,SAS,49,30.3,108.1,106.7,1.4,25.6,3.15,27.5,1.6,9.2,5.4,8.7,49.7,55.1,20.2,101.5,10.8,,,,,,,,,,,
2020-21,SAS,36,29.5,113.9,108.8,5.1,16.8,2.82,18.9,1.2,8.6,4.9,6.7,50.3,55,22.3,99.29,9,,,,,,,,,,,
2019-20,SAS,68,24.7,110.1,109.2,1,20.3,2.71,24.8,2,10.5,6.4,9.2,53,59.3,18.3,103.36,10.2,,,,,,,,,,,
2018-19,SAS,67,25.8,111.9,107.1,4.8,20.6,2.71,27.5,2.2,11.6,7.2,10.1,52.3,55.5,17.8,98.72,9.6,,,,,,,,,,,
2017-18,SAS,17,8.2,101,87.5,13.5,9.8,1.5,15.5,3.4,12.8,8.4,10.3,60.6,64.6,14.6,103.45,12.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BOS,35,34.3,2.2,1.9,1.8,4.1,9.3,9.4,10.5,34.5,1.3,0.5,2.1,2.3,,,,,,,,,,,,,,
2023-24,BOS,73,32.6,1.8,1.6,1.9,4.7,8.5,9.4,8.6,32.5,1.2,0.4,2.1,2.1,,,,,,,,,,,,,,
2022-23,BOS,82,28.3,1.7,1.5,1.4,4.5,8.5,7.5,7.2,28.6,0.9,0.4,2.2,2.5,,,,,,,,,,,,,,
2021-22,TOT,75,29.3,1.6,0.9,1.8,5.2,8.3,8.9,6.7,29.6,0.8,0.4,2.3,3.6,,,,,,,,,,,,,,
2021-22,BOS,26,27.4,1.1,0.5,1.3,4.2,7.5,7.6,6.3,26.8,0.6,0.4,2.2,3.2,,,,,,,,,,,,,,
2021-22,SAS,49,30.3,1.9,1.1,2,5.8,8.7,9.6,6.9,31.1,0.9,0.4,2.4,3.8,,,,,,,,,,,,,,
2020-21,SAS,36,29.5,2.3,1.4,1.5,5,8.7,8.3,6.2,29.9,1,0.8,2.5,3.2,,,,,,,,,,,,,,
2019-20,SAS,68,24.7,1.2,0.8,1.5,4.5,7.6,6.8,6,23.4,0.9,0.4,2.2,3.2,,,,,,,,,,,,,,
2018-19,SAS,67,25.8,1.4,0.6,1.2,4.8,7,6.8,6.5,23.2,0.7,0.5,2.2,2.1,,,,,,,,,,,,,,
2017-18,SAS,17,8.2,0.5,0.3,0.2,0.7,1.8,2.5,1.4,7.3,0.2,0.1,0.5,0.8,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
