Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MEM,28,29,16.7,6.2,13.2,46.8,2,5.9,34.8,2.3,2.7,85.3,0.8,5.1,5.9,5.2,2.6,1.2,0.5,2.5,34,3,0,5.3,,,,
2023-24,MEM,42,34.4,23.7,8.6,18.5,46.4,3.3,8.6,38.1,3.3,3.8,87,0.9,3.5,4.4,5.5,2.7,1,0.5,2.9,39.2,3,0,-4.8,,,,
2022-23,MEM,58,31.7,21.5,7.8,16.2,47.9,2.9,7,40.8,3.1,3.5,88.3,0.7,4.3,5,4.4,2.2,1,0.4,2.6,36,1,0,6.1,,,,
2021-22,MEM,76,29.8,18.2,6.7,14.5,46.1,3,6.9,43.6,1.8,2,90.3,0.6,3.8,4.4,2.7,1.5,1.2,0.4,2.6,30.9,0,0,4.8,,,,
2020-21,MEM,68,22.3,9.2,3.4,7.3,46.9,1.7,4,43.2,0.6,0.7,81.6,0.5,2.6,3.1,1.7,0.9,0.6,0.2,1.8,17.1,0,0,0.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MEM,28,29,115.2,108,7.2,23.9,2.01,23.7,2.7,15.4,9.2,11.7,54.5,57.9,22.3,106.7,12.7,,,,,,,,,,,
2023-24,MEM,42,34.4,108.2,115.4,-7.2,27.2,2.05,19.5,2.3,10.4,6.2,9.5,55.2,58.9,27.3,100.82,12.8,,,,,,,,,,,
2022-23,MEM,58,31.7,116.4,107.4,9,20.2,2.02,18.2,2.2,12.3,7.4,9,56.8,60.6,25.2,103.27,13.1,,,,,,,,,,,
2021-22,MEM,76,29.8,114.7,107.8,6.9,13.6,1.87,14.1,1.8,11.8,6.8,7.5,56.5,59.2,22.6,100.73,11.6,,,,,,,,,,,
2020-21,MEM,68,22.3,110.1,109.7,0.4,10.5,2,17.1,1.9,11.6,6.6,8.5,58.6,60,15.5,101.71,8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,MEM,28,29,2.4,2.2,3.9,6.7,14.3,8.3,9.3,28.4,0.5,0.9,2.5,1.6,,,,,,,,,,,,,,
2023-24,MEM,42,34.4,4.1,2.4,3.9,8.6,13.5,9.9,10.9,32.3,0.5,1.5,2.9,3,,,,,,,,,,,,,,
2022-23,MEM,58,31.7,3.9,2.2,4.8,8.4,10.1,9.5,8.9,31,0.4,1.3,2.6,2.6,,,,,,,,,,,,,,
2021-22,MEM,76,29.8,2.7,2.2,3.4,5.4,8.6,8,8.5,28.3,0.4,0.9,2.6,1.5,,,,,,,,,,,,,,
2020-21,MEM,68,22.3,1.8,0.8,1.8,2.9,7.9,5.4,6.3,22,0.2,0.5,1.8,0.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,MEM,28,29,55.7,44.3,49.7,9.4,36.6,23.6,13.7,14.3,40.3,44.8,55.2,78.9,21.1,56.1,43.9,,,,,,,,,,,
2023-24,MEM,42,34.4,53.6,46.4,44.7,8.4,41.2,16.2,14.1,17.4,36.3,40.4,59.6,61.3,38.7,48.3,51.7,,,,,,,,,,,
2022-23,MEM,58,31.7,56.7,43.3,45.5,6.6,39.9,22.5,14.6,18,39,52.1,47.9,72.9,27.1,59.8,40.2,,,,,,,,,,,
2021-22,MEM,76,29.8,52.5,47.5,40.5,11,49.4,18.9,10.1,14.8,29.5,59.6,40.4,83.3,16.7,70.3,29.7,,,,,,,,,,,
2020-21,MEM,68,22.3,45.7,54.3,37.4,6.1,56.2,19.5,6.4,19.4,31.4,70.9,29.1,93.2,6.8,82.1,17.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,MEM,28,812,22.3,22.2,23.1,24.8,26.1,21.5,19.3,10.4,23.2,19.8,27.9,24.6,22,13,26.3,18.8,13.1,22.4,,,,,,,,
2023-24,MEM,42,1443,27.3,29.9,28.7,33.6,30.3,30,26.5,11.1,15.3,14.2,30.7,25.1,18.8,12.4,28.4,19.7,22,30.3,,,,,,,,
2022-23,MEM,58,1841,25.2,26.3,26.5,32.8,30.5,26.4,22.7,9.6,18.5,16.3,24.1,25.5,16.6,9.3,33.3,19.4,19.9,27,,,,,,,,
2021-22,MEM,76,2266,22.6,25,25,40.1,33.8,16.8,14.4,7,17.3,14.4,17.6,18.7,20.7,9.3,21.9,21.3,12.2,25.3,,,,,,,,
2020-21,MEM,68,1519,15.5,17.2,17.2,31.8,27,8.7,8.1,8.5,16.5,14.5,13.8,13.4,14.6,9.8,19.4,20.8,8.3,17.6,,,,,,,,
