Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,SAS,21,28.8,15.4,5.9,13.3,43.9,2,5.7,34.2,1.8,2.2,78.7,0.9,2.6,3.5,3.1,1.6,1.2,0.5,1.6,27.6,0,0,-5.6,,,,
2023-24,SAS,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3,80.1,0.4,3.4,3.8,4.1,1.6,1.1,0.3,1.1,32.8,0,0,-4.3,,,,
2022-23,SAS,38,31,18.5,6.9,15.7,43.9,2.7,7,38.7,2.1,2.6,78,0.2,3.7,3.9,3.6,1.5,1.1,0.4,1.5,31.8,0,0,-7.8,,,,
2021-22,SAS,71,27.3,12.3,4.6,10.8,42.7,1.9,5.4,36.1,1.2,1.4,83.8,0.6,3.7,4.3,1.9,0.8,1.1,0.6,2,24.5,1,0,0.5,,,,
2020-21,SAS,62,17,5.5,2,4.9,40.6,0.8,2.4,34.7,0.7,0.8,84.3,0.4,2.4,2.8,0.9,0.4,0.7,0.3,1.4,12.8,0,0,-1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,SAS,21,28.8,106,115.7,-9.7,17.7,1.91,16.4,2.8,8.2,5.5,8.6,51.3,53.9,22.9,100.54,9.6,,,,,,,,,,,
2023-24,SAS,68,33.1,108.5,114.6,-6,19.2,2.56,18.3,1.2,10.2,5.6,7.1,55,57.8,22.9,102.42,11.2,,,,,,,,,,,
2022-23,SAS,38,31,107.1,118.8,-11.7,17.3,2.39,16.5,0.6,12.5,6.2,6.9,52.5,55,24,103.67,10.8,,,,,,,,,,,
2021-22,SAS,71,27.3,111.2,110.2,1,9.6,2.34,13.6,2.1,12.8,7.4,5.8,51.6,54,18.4,102.5,8.7,,,,,,,,,,,
2020-21,SAS,62,17,106.5,108.9,-2.4,7.1,2.55,14,2.1,13.8,7.9,5.5,49.2,52.4,13.8,102.37,7.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,SAS,21,28.8,2.4,1.2,3,4.6,12.2,9.1,9.4,32,0.5,0.4,1.6,1.9,,,,,,,,,,,,,,
2023-24,SAS,68,33.1,2.2,1.2,3,6.7,13.5,9.7,10.1,39.5,0.3,0.5,1.1,2.2,,,,,,,,,,,,,,
2022-23,SAS,38,31,3.1,1.1,3.8,4.5,12.6,9.4,10.6,37.4,0.4,0.5,1.5,1.8,,,,,,,,,,,,,,
2021-22,SAS,71,27.3,2,1.5,1.8,3.5,9.1,7.7,6.5,28,0.6,0.4,2,1.3,,,,,,,,,,,,,,
2020-21,SAS,62,17,0.9,0.3,0.7,1.5,4.9,4.1,3.9,17,0.3,0.1,1.4,0.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
