Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,SAC,34,35.9,20.6,8.1,13.7,59.2,1.1,2.4,44.4,3.3,4.2,77.8,3.8,10,13.8,6.3,2.9,0.7,0.5,3.6,47.4,32,5,3.9,,,,
2023-24,SAC,82,35.7,19.4,7.7,13,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,3.3,0.9,0.6,3,49.3,77,26,0.8,,,,
2022-23,SAC,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,2.9,0.8,0.5,3.5,45.8,65,14,2.7,,,,
2021-22,TOT,62,34.4,18.9,7.1,12.5,57.3,0.6,2,31.2,4,5.4,74.1,3.2,8.9,12.1,5.2,3.1,1,0.4,3.3,42.3,46,5,-0.2,,,,
2021-22,SAC,15,33.6,18.9,7.5,13.5,55.4,0.3,1.1,23.5,3.7,4.9,74.3,3.1,9.3,12.3,5.8,3.5,0.9,0.3,3.8,42.5,12,0,-1.8,,,,
2021-22,IND,47,34.7,18.9,7,12.1,58,0.7,2.3,32.4,4.1,5.5,74,3.3,8.8,12.1,5,3,1,0.5,3.1,42.2,34,5,0.3,,,,
2020-21,IND,62,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12,6.7,3.4,1.2,0.5,3.3,46.6,48,9,-1.5,,,,
2019-20,IND,62,34.8,18.5,7.4,13.7,54,0.3,1.1,25.4,3.5,4.8,72.3,3,9.4,12.4,5,2.7,0.8,0.5,3.1,41.9,50,4,2.6,,,,
2018-19,IND,74,24.8,14.1,5.6,9.5,59,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,30.6,30,0,2.6,,,,
2017-18,IND,74,24.5,11.6,4.6,8.9,51.4,0.2,0.5,35.1,2.3,3,75,2.2,5.5,7.7,2,1.9,0.5,0.4,3,25,15,0,0.5,,,,
2016-17,OKC,81,20.1,5.9,2.4,5.9,39.9,0.6,2,32.1,0.5,0.8,65.7,0.6,3,3.6,1,1,0.5,0.4,2.5,13.3,2,0,0.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,SAC,34,35.9,115.9,110.6,5.3,25.8,2.18,25.4,10.5,27.7,19,11.7,63.1,66.1,21.6,100.48,17.1,,,,,,,,,,,
2023-24,SAC,82,35.7,116,115.2,0.8,33.4,2.47,30.8,9.7,29.5,19.2,12.4,60.9,63.7,22,99.61,16.9,,,,,,,,,,,
2022-23,SAC,79,34.6,120.7,116.8,3.9,29.7,2.49,29.6,9.6,27.5,18.5,11.9,63.2,66.8,21.3,100.46,16.1,,,,,,,,,,,
2021-22,TOT,62,34.4,109.5,110.1,-0.6,23.9,1.66,22.5,9.2,26.4,17.6,13.6,59.8,63.7,22.1,99.2,16.1,,,,,,,,,,,
2021-22,SAC,15,33.6,112.5,114.4,-1.9,27.1,1.67,23.4,9.4,29.3,19.2,14,56.4,60.3,24,101.93,14.9,,,,,,,,,,,
2021-22,IND,47,34.7,108.5,108.7,-0.2,22.8,1.65,22.2,9.2,25.5,17.2,13.5,61,64.9,21.5,98.35,16.6,,,,,,,,,,,
2020-21,IND,62,36,109.6,111.5,-1.9,28.3,1.95,24.9,6.6,25.9,16.2,12.8,56.4,60.1,23.9,102.1,15.4,,,,,,,,,,,
2019-20,IND,62,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55,58.6,22.9,99.02,15.6,,,,,,,,,,,
2018-19,IND,74,24.8,108.8,103.6,5.2,18,1.33,17.8,9.9,26.9,18.4,13.4,59.6,63,22.6,99.33,16.2,,,,,,,,,,,
2017-18,IND,74,24.5,107.2,105.8,1.4,12.7,1.1,14.4,9.3,22.7,16,13.1,52.4,56.7,21.4,97.76,12.1,,,,,,,,,,,
2016-17,OKC,81,20.1,104.2,102.5,1.7,7.3,0.99,12.1,2.7,14.6,8.6,12.3,45.2,46.9,15.6,98.25,4.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,SAC,34,35.9,3.6,4.2,1.5,13.1,12.9,9.3,8.7,32.5,0.5,1.1,3.6,4.2,,,,,,,,,,,,,,
2023-24,SAC,82,35.7,2.4,3.6,1.4,13.9,12,7.6,8.8,36.6,0.6,1,3,4.6,,,,,,,,,,,,,,
2022-23,SAC,79,34.6,2.6,3.3,1.4,12.9,11.7,8.8,8.5,38.9,0.5,0.8,3.5,4.7,,,,,,,,,,,,,,
2021-22,TOT,62,34.4,2.1,3.5,1.3,12.5,11.7,8.6,9.2,34.9,0.4,0.7,3.3,5.2,,,,,,,,,,,,,,
2021-22,SAC,15,33.6,2.9,2.2,1.2,13.5,12.7,7.9,10.1,33.9,0.3,0.6,3.8,4.8,,,,,,,,,,,,,,
2021-22,IND,47,34.7,1.8,3.9,1.3,12.3,11.4,8.8,9,35.2,0.5,0.8,3.1,5.4,,,,,,,,,,,,,,
2020-21,IND,62,36,3.1,2.8,1.8,13,12.3,10.4,10.3,39.6,0.5,0.9,3.3,4.8,,,,,,,,,,,,,,
2019-20,IND,62,34.8,2.6,2.9,0.7,12.2,10.2,8.5,9.7,33.5,0.5,0.9,3.1,4.9,,,,,,,,,,,,,,
2018-19,IND,74,24.8,2.1,3,0.7,9.6,7.4,5.7,7,22.8,0.4,0.4,3.2,3.9,,,,,,,,,,,,,,
2017-18,IND,74,24.5,1.8,1.7,0.8,7.5,8.4,6.3,6.3,22.4,0.4,0.6,3,2.9,,,,,,,,,,,,,,
2016-17,OKC,81,20.1,0.9,0.5,0.5,2.7,6.6,5,4,19.2,0.4,0.4,2.5,0.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,SAC,34,35.9,82.6,17.4,68.6,4.9,15.4,7.1,16,17.3,63.7,64.2,35.8,100,0,68.8,31.2,,,,,,,,,,,
2023-24,SAC,82,35.7,91.9,8.1,75.5,4.1,6.2,7.3,18.3,12.4,71.3,60.7,39.3,90.9,9.1,62.3,37.7,,,,,,,,,,,
2022-23,SAC,79,34.6,91.2,8.8,72.3,4.6,6.2,7.2,21.5,13.7,67.7,58.1,41.9,100,0,60.3,39.7,,,,,,,,,,,
2021-22,TOT,62,34.4,83.8,16.2,69,2.6,10,6.7,21,11,66.4,61.6,38.4,97.4,2.6,64.8,35.2,,,,,,,,,,,
2021-22,SAC,15,33.6,91.6,8.4,76.3,4.9,4.2,6.4,19.5,15.2,71.4,60.2,39.8,75,25,60.7,39.3,,,,,,,,,,,
2021-22,IND,47,34.7,81.1,18.9,66.7,1.8,11.8,6.9,21.5,9.7,64.9,62.2,37.8,100,0,66.2,33.8,,,,,,,,,,,
2020-21,IND,62,36,82.1,17.9,68.6,4.4,12.4,9,19,15.2,64.1,60.6,39.4,96.2,3.8,64.5,35.5,,,,,,,,,,,
2019-20,IND,62,34.8,92.1,7.9,76.9,10.8,4.4,3.9,18.7,13.9,66.1,65.1,34.9,100,0,66.4,33.6,,,,,,,,,,,
2018-19,IND,74,24.8,97.6,2.4,77.5,9.4,2.6,4.7,19.9,15.1,68.1,65.6,34.4,100,0,66.3,33.7,,,,,,,,,,,
2017-18,IND,74,24.5,94.4,5.6,76,11.6,4.5,7.1,19.5,15.7,64.3,73.7,26.3,100,0,74.7,25.3,,,,,,,,,,,
2016-17,OKC,81,20.1,66.9,33.1,58.9,13.8,31.9,7.9,9.2,15.9,45.1,62.4,37.6,100,0,72.4,27.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,SAC,34,1221,21.6,25,20.4,12.6,9.5,24,25.6,48.3,40.6,42.4,30.8,29.2,11.2,16.5,30.8,24.4,29.4,23.6,,,,,,,,
2023-24,SAC,82,2928,22,24,19.4,3.8,3.7,32.3,34.3,46.2,41.3,42.5,38,34.6,15.5,21.6,30.6,21.5,34,22.6,,,,,,,,
2022-23,SAC,79,2736,21.3,23,18.8,3.9,3.9,29.6,31.3,47.2,39.2,41,35.8,31.1,16.7,25,27.2,26.1,32.2,21.9,,,,,,,,
2021-22,TOT,62,2136,22.1,24.7,20,7.5,8.1,34,35.4,43.7,36.2,38,29.2,29.8,19.3,13.2,23.6,24.6,36.9,24.2,,,,,,,,
2021-22,SAC,15,504,24,25.9,22.5,3.4,5.1,25.3,27.1,48.4,38,40.1,32.1,32.9,19.4,15.2,24.3,30,29.8,23.5,,,,,,,,
2021-22,IND,47,1632,21.5,24.3,19.2,8.7,9,37.7,38.9,42.5,35.7,37.3,28.2,28.8,19.2,12.8,23.4,23,39.6,24.4,,,,,,,,
2020-21,IND,62,2231,23.9,24.8,21.9,9.1,10.2,33.1,35.6,39.3,38.2,38.4,33.1,32.8,19.2,13.3,22.5,23.4,36.6,24.2,,,,,,,,
2019-20,IND,62,2159,22.9,24.1,21.5,3.9,5.7,31.7,35.1,46.1,38.3,40,26.6,29.2,14.4,14.9,27.9,22.8,35.9,23.4,,,,,,,,
2018-19,IND,74,1838,22.6,26,20.9,2.7,1.8,33.2,34.2,47.3,38.2,40.3,21.3,30.4,14.7,21.4,17.3,30.1,36.1,25.2,,,,,,,,
2017-18,IND,74,1810,21.4,22.2,20.4,4.1,4.2,30,31.1,42.7,33.1,35.4,17.9,26,12.5,25,24.9,29.5,30.3,21.8,,,,,,,,
2016-17,OKC,81,1631,15.6,14.5,16.5,17.7,18.8,8.3,9.2,12.9,20.8,18.9,11.3,16.2,14,19.6,16.3,29.5,10.9,13.8,,,,,,,,
