Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CLE,33,30.2,18.8,7.3,12.7,57.1,1.2,2.8,41.8,3.2,4,78.2,2.1,6.6,8.7,2.8,2.1,1,1.5,2.2,38.9,14,0,9.9,,,,
2023-24,CLE,50,30.6,15.7,6.4,11.1,57.9,0.4,1.2,37.3,2.5,3.4,71.9,2.2,7.1,9.4,3.2,1.8,0.9,1.4,2.7,37,22,0,0.7,,,,
2022-23,CLE,79,34.4,16.2,6.6,12,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9,2.8,1.8,0.8,1.5,2.8,36.2,24,0,4.3,,,,
2021-22,CLE,69,33.8,15,6.1,12,50.8,0.3,1.3,25,2.4,3.7,66.3,2.1,6.2,8.3,2.5,1.9,0.8,1.7,2.1,34.2,21,0,1.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CLE,33,30.2,120.8,104.8,16,13.3,1.36,14.7,7.1,20.2,14,10.8,61.7,65,23.2,102.02,15.2,,,,,,,,,,,
2023-24,CLE,50,30.6,111.2,110.1,1.2,15.5,1.78,18.2,7.4,22,15,10.3,59.9,62.5,20,100.58,13.9,,,,,,,,,,,
2022-23,CLE,79,34.4,115.5,109,6.5,12.2,1.53,15.4,7.3,20,13.7,10.1,56.6,59.1,19.9,97.02,12.4,,,,,,,,,,,
2021-22,CLE,69,33.8,108.5,106.8,1.7,11.7,1.31,14,6.3,17.4,12,10.7,52.2,54.9,20.1,97.5,11.6,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,CLE,33,30.2,3.2,2.7,1.7,12.1,9.6,7.5,9.1,27.4,1.5,0.8,2.2,3.5,,,,,,,,,,,,,,
2023-24,CLE,50,30.6,2.2,2.7,1.4,11.6,11,8.8,9.2,29.2,1.4,0.8,2.7,2.7,,,,,,,,,,,,,,
2022-23,CLE,79,34.4,2.6,2.4,1.2,11.8,10.9,8.5,9,31.1,1.5,0.8,2.8,3.2,,,,,,,,,,,,,,
2021-22,CLE,69,33.8,1.9,2.6,0.9,10.1,11.9,8.9,8.2,32.1,1.7,0.7,2.1,3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,CLE,33,30.2,78.3,21.7,65,1,18.3,9.2,16.7,17,64,67.8,32.2,89.5,10.5,71.3,28.8,,,,,,,,,,,
2023-24,CLE,50,30.6,89.3,10.7,75.9,2,8.4,8.7,15.7,13.9,73.9,72.5,27.5,100,0,74.4,25.6,,,,,,,,,,,
2022-23,CLE,79,34.4,89.2,10.8,78.8,5.6,5.2,7.4,16,16.1,73.1,74,26,100,0,75,25,,,,,,,,,,,
2021-22,CLE,69,33.8,88.9,11.1,77.2,9.9,6.7,5.7,16.1,12.8,67.3,65.2,34.8,95.7,4.3,66.8,33.2,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,CLE,33,998,23.2,25.3,22.6,10.6,10.7,34.4,35,36.8,30.3,31.6,15.8,25.4,18,45,30,18.7,31.3,24.3,,,,,,,,
2023-24,CLE,50,1532,20,23.7,19.8,5.8,5.6,25.1,27.4,36.8,32.7,33.6,17.4,20.5,18.6,45,24.1,24.3,24.4,22,,,,,,,,
2022-23,CLE,79,2715,19.9,22.2,19.8,3.6,6.1,20.7,23.9,33.7,29.7,30.7,15.8,20,14.9,43.8,24,20.8,21.9,20.2,,,,,,,,
2021-22,CLE,69,2331,20.1,22.1,20.5,4.6,6.4,20,22.8,29.7,26.2,27,14.3,19.6,16.7,48.1,22.1,17.6,20.8,20.1,,,,,,,,
