Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,HOU,34,35.5,14.9,5.2,13.8,38,2.5,7.8,31.8,2,2.5,81,0.8,3.5,4.3,6,1.5,1.6,0.5,2.4,34,4,0,5.4,,,,
2023-24,HOU,73,36.8,17.4,5.8,13.9,41.6,3.1,8,38.7,2.7,3.1,86,0.5,3.4,3.8,8.1,1.7,1.4,0.8,2.5,38.9,20,0,2.5,,,,
2022-23,TOR,69,36.7,19.3,6.3,16.1,39.3,3,8.8,34.2,3.7,4.1,89.8,0.4,3.6,4.1,7.2,2,1.8,0.6,2.8,39.9,10,1,2.8,,,,
2021-22,TOR,65,37.9,20.3,6.8,16.9,40.3,3.7,9.9,37.7,3,3.4,87.4,0.7,3.8,4.4,6.7,2.6,1.7,0.5,2.5,39.8,10,1,3.3,,,,
2020-21,TOR,52,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,0.6,3.6,4.2,6.3,1.8,1.7,0.7,2.3,39.5,5,0,2.7,,,,
2019-20,TOR,54,35.7,17.6,5.9,14.3,41.3,2.7,6.9,39,3.1,3.7,84.8,0.3,3.4,3.8,6.6,2.2,1.9,0.3,2.4,36.3,8,0,3.8,,,,
2018-19,TOR,64,27.5,11,3.8,9.4,41,1.8,4.6,37.8,1.5,1.8,84.3,0.3,2.3,2.6,4.8,1.3,0.9,0.3,1.7,23.6,1,0,4.7,,,,
2017-18,TOR,76,20,8.6,3.1,7.2,42.6,1.4,3.4,41.4,1.1,1.3,83.2,0.3,2.1,2.4,3.2,1,0.9,0.3,1.7,18.8,0,0,4.6,,,,
2016-17,TOR,37,7.9,2.9,1.1,3,35.1,0.3,0.8,37.9,0.5,0.6,81.8,0.1,1,1.1,0.9,0.4,0.4,0.1,1,6.8,0,0,1.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,HOU,34,35.5,114.7,107.1,7.6,23.7,4.08,27,1.9,9.6,5.6,6.6,46.9,50.2,18.8,97.93,10.3,,,,,,,,,,,
2023-24,HOU,73,36.8,114.6,111.6,3,31.2,4.67,32.4,1.2,8.9,5,6.9,52.7,56.8,19.4,99.44,11.8,,,,,,,,,,,
2022-23,TOR,69,36.7,116.1,112.8,3.3,27.6,3.54,26.7,1.1,11,5.6,7.5,48.6,54,22.5,98.23,11.3,,,,,,,,,,,
2021-22,TOR,65,37.9,112.2,108.5,3.7,26.6,2.55,24.3,1.6,10,5.7,9.5,51.3,55.2,23.3,96.97,11.8,,,,,,,,,,,
2020-21,TOR,52,36.5,113.6,110.2,3.3,26.4,3.45,23.8,1.6,10.1,5.7,6.9,48.9,53.4,23.7,99.17,11.5,,,,,,,,,,,
2019-20,TOR,54,35.7,109.1,104.3,4.8,28.1,2.95,26.7,0.9,8.8,5,9.1,50.7,55.3,21.8,100.95,11.6,,,,,,,,,,,
2018-19,TOR,64,27.5,113.1,105,8.1,24.3,3.74,29.6,1.2,7.8,4.6,7.9,50.3,53.9,17.7,99.87,9.5,,,,,,,,,,,
2017-18,TOR,76,20,112.2,101.1,11.1,23.1,3.28,26.9,1.6,10.2,6,8.2,52.5,55.6,18.8,97.76,11.1,,,,,,,,,,,
