Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,TOR,30,31.7,17.2,5.8,14.2,41,2.5,7,35.1,3.1,3.4,89.3,0.8,2.7,3.5,2.1,1.7,1,0.2,2.4,26.6,0,0,-2.9,,,,
2023-24,TOR,60,21.1,8.5,3.2,7.4,42.5,1.5,4,36.5,0.7,0.9,86.3,0.5,1.8,2.2,1.1,0.8,0.6,0,1.5,13.8,0,0,-6.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,TOR,30,31.7,112.7,116.3,-3.6,9.5,1.23,10.9,2.5,8.3,5.4,8.8,49.6,54.6,22.5,101.66,7.7,,,,,,,,,,,
2023-24,TOR,60,21.1,105.1,119.1,-13.9,7.8,1.36,11.6,2,8.5,5.1,8.6,52.4,54.6,16.7,102.01,5.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,TOR,30,31.7,2.7,2.4,2.6,4.8,12.6,10.1,10.9,33.9,0.2,0.7,2.4,2.8,,,,,,,,,,,,,,
2023-24,TOR,60,21.1,1.3,1.3,1.6,2.6,8.5,7,7.1,24.8,0,0.4,1.5,0.8,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,TOR,30,31.7,50.6,49.4,39.1,11.2,43,14.9,17.9,15.9,27.9,78.2,21.8,94.6,5.4,85.1,14.9,,,,,,,,,,,
2023-24,TOR,60,21.1,45.8,54.2,39.6,9.4,51.8,19.2,8.6,14.7,30.2,84.2,15.8,97.7,2.3,90.5,9.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,TOR,30,951,22.5,20.6,23.7,32.3,32.8,27.8,24.3,10.3,12.9,12.2,10.9,17.3,20.3,7.5,15.7,16.2,22.6,22.8,,,,,,,,
2023-24,TOR,60,1268,16.7,17.8,18.7,29.3,26,10.9,9.7,8.9,13.3,12,9.4,12.3,16.2,2.2,16.5,17.5,10,18,,,,,,,,
