Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,TOR,6,27.2,14.8,5,14.2,35.3,1.8,6.2,29.7,3,3.2,94.7,0.2,2.3,2.5,6.8,1.7,0.7,0,2.2,28.4,2,0,-5.2,,,,
2023-24,TOT,68,29.2,17,5.7,13.1,43.4,2.5,6.4,39.5,3.1,3.6,85.3,0.3,3.6,3.8,4.9,1.5,0.7,0.1,1.8,30,8,0,-0.5,,,,
2023-24,TOR,38,33.3,18.6,6.2,14.7,42.2,2.8,7.1,39.5,3.3,4,84.1,0.3,4.5,4.8,6.8,1.8,0.9,0.2,2,35.9,8,0,-4.1,,,,
2023-24,NYK,30,24,15,5.1,11.2,45.4,2.1,5.4,39.5,2.7,3.1,87.2,0.2,2.4,2.6,2.5,1,0.5,0.1,1.5,22.6,0,0,4,,,,
2022-23,NYK,81,28.9,14.9,5.2,11.6,44.8,2.1,5.6,37,2.5,3.1,81.9,0.7,3.4,4.2,3.4,1.2,1,0.2,2,27.3,4,0,3.9,,,,
2021-22,NYK,78,23.1,11.3,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,0.4,2.8,3.2,3.5,1.3,0.7,0,2.1,21.3,4,2,3.4,,,,
2020-21,NYK,64,19.4,11.4,3.6,9.1,39.5,1.8,4.7,38.9,2.4,2.7,89.1,0.4,1.8,2.1,2,0.9,0.5,0.2,1.8,18,0,0,2.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,TOR,6,27.2,109.5,118.3,-8.8,36.9,4.1,28.5,0.6,8.9,4.7,6.9,41.8,47.7,26.8,99.69,9.6,,,,,,,,,,,
2023-24,TOT,68,29.2,113.2,114.2,-1,24.5,3.28,23.1,0.8,12,6.4,7.1,53,57.7,23.3,100.43,11.9,,,,,,,,,,,
2023-24,TOR,38,33.3,110.9,117,-6.1,29.3,3.67,27,0.9,13.2,7,7.4,51.8,56.4,23.1,101.3,11.8,,,,,,,,,,,
2023-24,NYK,30,24,117.4,109.2,8.2,15.6,2.39,15.4,0.7,9.8,5.3,6.5,54.9,59.8,23.6,98.91,12,,,,,,,,,,,
2022-23,NYK,81,28.9,114.3,108.1,6.2,17.8,2.79,19.8,2.4,11,6.8,7.1,53.7,57.8,20.3,98.08,11.8,,,,,,,,,,,
2021-22,NYK,78,23.1,111.4,104.8,6.6,24.4,2.78,23.3,1.7,11.4,6.6,8.4,48.7,54.3,21.7,96.27,11,,,,,,,,,,,
2020-21,NYK,64,19.4,111.6,104.5,7.1,16.4,2.19,15.3,2,8.6,5.4,7,49.7,55.7,24.6,97.18,10.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
