Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,LAC,36,32.2,15.1,6.8,11.1,61.6,0,0,0,1.5,2.8,52,3.9,8.8,12.6,2.5,1.8,0.7,1.2,2,37.7,24,0,2.9,,,,
2023-24,LAC,68,26.4,11.7,5,7.6,64.9,0,0,0,1.8,2.4,72.3,2.9,6.3,9.2,1.4,1.2,0.3,1.2,2.6,28.2,23,0,2.7,,,,
2022-23,LAC,76,28.5,10.8,4.3,6.8,63.4,0,0,0,2.2,3.1,69.7,3.1,6.8,9.9,1,1.5,0.4,1.3,2.9,27.7,27,0,-0.4,,,,
2021-22,LAC,76,24.4,10.3,4.1,6.5,62.6,0,0,0,2.2,3,72.7,2.9,5.6,8.5,1.6,1.5,0.5,1,2.7,25.8,25,0,-1.7,,,,
2020-21,LAC,72,22.3,9,3.6,5.5,65.2,0,0.1,25,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,22,13,0,2.5,,,,
2019-20,LAC,72,18.4,8.3,3.3,5.3,61.3,0,0,0,1.7,2.3,74.7,2.7,4.8,7.5,1.1,0.8,0.2,0.9,2.3,21.6,10,0,3.2,,,,
2018-19,TOT,59,17.6,8.9,3.6,6.4,55.9,0,0,0,1.7,2.1,80.2,1.9,4.2,6.1,1.1,1.2,0.2,0.9,2.3,20,8,0,0.7,,,,
2018-19,LAC,26,20.1,9.4,3.8,7.2,53.8,0,0,0,1.7,2.3,73.3,2.3,5.3,7.7,1.5,1.4,0.4,0.9,2.5,23.3,4,0,0.7,,,,
2018-19,LAL,33,15.6,8.5,3.4,5.8,58,0,0,0,1.7,2,86.4,1.6,3.3,4.9,0.8,1,0.1,0.8,2.2,17.4,4,0,0.7,,,,
2017-18,LAL,43,9.5,3.7,1.4,2.8,50,0,0,0,0.9,1.2,76.5,1,1.8,2.9,0.6,0.6,0.2,0.3,1.1,9,1,0,1,,,,
2016-17,LAL,38,16,7.5,3.3,6.3,52.9,0,0.1,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,LAC,36,32.2,110.9,106.4,4.5,12.2,1.4,15.3,12.3,27,19.8,10.9,61.6,61.3,18.6,99.23,15,,,,,,,,,,,
2023-24,LAC,68,26.4,117.1,112.4,4.7,7.5,1.18,12.1,11.7,23.5,17.9,10.3,64.9,67.1,16.5,96.89,12.5,,,,,,,,,,,
2022-23,LAC,76,28.5,112.8,113.4,-0.6,5,0.66,9.4,11.4,23.8,17.8,14.3,63.4,66.1,14.9,98.37,10.9,,,,,,,,,,,
2021-22,LAC,76,24.4,108.7,112.2,-3.5,9.7,1.05,14.4,11.5,22.3,17,13.7,62.6,66,16.8,98.13,12.3,,,,,,,,,,,
2020-21,LAC,72,22.3,114.3,109.3,5,7.9,1.11,13.9,12.1,20,16.2,12.5,65.4,69.3,14.7,98.99,11.7,,,,,,,,,,,
2019-20,LAC,72,18.4,113,104.1,8.9,9.1,1.34,13.6,14,24,19.1,10.1,61.3,65.1,16.3,101.14,14.3,,,,,,,,,,,
2018-19,TOT,59,17.6,106.5,104.7,1.8,9.3,0.9,11.1,10.8,21.6,16.4,12.3,55.9,60.4,19.9,104.36,12.7,,,,,,,,,,,
2018-19,LAC,26,20.1,108.2,106.1,2,11.1,1.03,13.1,11.4,25.5,18.5,12.8,53.8,57.4,19.8,104.53,12.4,,,,,,,,,,,
2018-19,LAL,33,15.6,104.8,103.3,1.5,7.4,0.76,9,10.3,18,14.4,11.8,58,63.3,20.1,104.2,13.1,,,,,,,,,,,
2017-18,LAL,43,9.5,99.8,94.7,5,9.5,0.96,12.8,10.1,16.8,13.5,13.3,50,55.7,17.2,102.02,10.8,,,,,,,,,,,
2016-17,LAL,38,16,103.1,113.7,-10.5,7.8,1,9.4,6.5,18.8,12.6,9.4,52.9,54.7,20.1,102.82,10,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,LAC,36,32.2,2.3,3.5,0.4,13.3,13.7,7.9,11.3,30.5,1.2,0.8,2,3.3,,,,,,,,,,,,,,
2023-24,LAC,68,26.4,1.3,2.6,0.4,9.9,8.2,7.1,7.4,24.9,1.2,0.6,2.6,2,,,,,,,,,,,,,,
2022-23,LAC,76,28.5,1.2,2.5,0.5,8.5,10.6,7.4,9,29.4,1.3,0.6,2.9,2.8,,,,,,,,,,,,,,
