Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MEM,20,27.7,21.2,7.1,15.7,45.4,1.6,4.8,32.3,5.5,6.5,83.8,0.7,3.8,4.4,7.9,3.8,1.1,0.4,1.6,39,7,1,7.6,,,,
2023-24,MEM,9,35.3,25.1,8.9,18.9,47.1,1.6,5.7,27.5,5.8,7.1,81.3,0.7,4.9,5.6,8.1,3,0.8,0.6,2.1,44.9,3,0,1.2,,,,
2022-23,MEM,61,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1,4.9,5.9,8.1,3.4,1.1,0.3,1.6,46,20,7,5,,,,
2021-22,MEM,57,33.1,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,1.4,4.4,5.7,6.7,3.4,1.2,0.4,1.5,45.6,10,1,3.3,,,,
2020-21,MEM,63,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4,7.4,3.2,0.9,0.2,1.4,35.1,14,1,1.7,,,,
2019-20,MEM,67,31,17.8,6.7,14,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,3.3,0.9,0.3,1.6,33.5,15,2,-0.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MEM,20,27.7,118.2,106,12.2,39.7,2.08,26.4,2.3,11.8,7.3,12.7,50.3,57.3,30.6,107.23,15.9,,,,,,,,,,,
2023-24,MEM,9,35.3,111,111.1,-0.2,38.4,2.7,24.5,1.9,13.4,7.7,9.1,51.2,57,29.6,101.08,15.7,,,,,,,,,,,
2022-23,MEM,61,31.9,115.8,108.5,7.3,41.2,2.39,23.2,2.9,13.9,8.4,9.7,50.4,55.7,33.8,102.51,17.5,,,,,,,,,,,
2021-22,MEM,57,33.1,115.3,111.2,4.1,33,1.96,19.8,3.7,12.4,8,10.1,53,57.5,33,101.46,16.3,,,,,,,,,,,
2020-21,MEM,63,32.6,114.7,112.1,2.6,32.1,2.29,25.9,2.7,9.1,5.9,11.3,48.7,53.7,26.7,102.16,11.3,,,,,,,,,,,
2019-20,MEM,67,31,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9,5.9,12.3,50.9,55.6,25.6,103.79,13,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
