Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DET,30,29.9,17.6,6.3,13.8,46,2.1,5.1,40.9,2.8,3.9,73.3,1.3,2.8,4.1,4,3,0.9,0.4,2.2,29.4,0,0,-2.1,,,,
2023-24,DET,77,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,1.1,2.3,3.4,3.8,2.5,0.7,0.5,2.6,26.6,2,0,-4.5,,,,
2022-23,DET,74,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8,0,-8.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DET,30,29.9,110.5,114.6,-4.1,20.7,1.34,17.7,4.3,9.1,6.7,13.2,53.6,56.9,25.6,99.52,9.9,,,,,,,,,,,
2023-24,DET,77,28.8,109.9,117.7,-7.7,19.6,1.56,18.6,3.8,8.1,5.9,11.9,49.2,53.6,24.4,101.74,7.6,,,,,,,,,,,
2022-23,DET,74,31.1,107.1,120.1,-13,26.9,1.63,21.9,3,9.4,6.2,13.4,47.7,52.8,25.1,100.5,8.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DET,30,29.9,2.4,2.3,2.9,7.5,11.1,8.9,9.1,27.7,0.4,0.9,2.2,3.2,,,,,,,,,,,,,,
2023-24,DET,77,28.8,1.9,1.3,3.1,6.7,11.8,8.2,8.5,33,0.5,1.1,2.6,2.9,,,,,,,,,,,,,,
2022-23,DET,74,31.1,2,1.4,2.1,6.1,12.3,9.4,9.7,35.1,0.2,1.2,3.3,4.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DET,30,29.9,62.7,37.3,48.1,5.3,35.8,16.7,16.1,13.4,42.8,42.5,57.5,74.6,25.4,53.2,46.8,,,,,,,,,,,
2023-24,DET,77,28.8,62.1,37.9,49.5,6.1,31.4,20,19.1,12.5,43.4,42.3,57.7,89.5,10.5,56.4,43.6,,,,,,,,,,,
2022-23,DET,74,31.1,64.4,35.6,48,10.5,29.9,13.1,22.1,12.3,37.5,24.6,75.4,73.3,26.7,38.9,61.1,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,DET,30,898,25.6,24.8,25.1,25.3,22.8,29.9,31.3,18,13.3,14.5,25.2,30.8,25.7,11.5,29.9,18.3,28.4,25.6,,,,,,,,
2023-24,DET,77,2217,24.4,21.7,23.9,24.3,26.2,27.9,29.2,17.6,11.4,12.9,24.8,26.9,20.6,19,30.3,21.1,27.2,22.9,,,,,,,,
2022-23,DET,74,2304,25.1,22.2,23.8,23.2,23.1,27.9,29.4,13.8,14.2,14.1,35.5,31.5,20.1,10.1,31.1,22.8,31.3,23.3,,,,,,,,
